placement,local_bsz,step_time,sync_time
1,16,0.1327736620687691,9.966878738998375e-09
1,32,0.15789808649751388,9.966542008355006e-09
1,64,0.20845484526516692,9.9660074914798e-09
1,96,0.26063878731971735,9.965590852534234e-09
1,128,0.3123448075049779,9.965249292420708e-09
1,160,0.3637045392581964,9.96495991278934e-09
1,192,0.4141833548650596,9.96470883585232e-09
1,224,0.463339626673606,9.964487124314303e-09
1,256,0.5159352214653763,9.9642886164375e-09
11,16,0.13275819490998894,3.3148314057540595e-07
11,32,0.157961847247041,3.314719405622668e-07
11,64,0.2091619667317073,3.314541649201974e-07
11,96,0.2597333250810468,3.314403072551819e-07
11,128,0.3111784415109652,3.31428948563417e-07
11,160,0.3642760782732269,3.314193238179719e-07
11,192,0.4147841719930411,3.314109731644699e-07
11,224,0.466685466059141,3.3140359845251766e-07
11,256,0.5163655226437284,3.313969950680118e-07
111,16,0.13237413364836786,3.424561610398946e-07
111,32,0.1574314511576013,3.4244459035104313e-07
111,64,0.20951141384774022,3.4242622623525953e-07
111,96,0.2601466123078808,3.4241190982609027e-07
111,128,0.31140932882543654,3.424001751017869e-07
111,160,0.3633834127011645,3.423902318888672e-07
111,192,0.4159014837087122,3.423816047343209e-07
111,224,0.46331923861554164,3.423739858288144e-07
111,256,0.5182790138503772,3.423671640634396e-07
1111,16,0.13192748167745308,3.5342924872838744e-07
1111,32,0.15774007356064235,3.534173072250457e-07
1111,64,0.20808225112471362,3.5339835471881464e-07
1111,96,0.2598171555166306,3.5338357950998045e-07
1111,128,0.31159655992508956,3.5337146886416093e-07
1111,160,0.3612312422352345,3.53361206961722e-07
1111,192,0.41405800688699557,3.5335230341715373e-07
1111,224,0.46733568924362545,3.533444404291153e-07
1111,256,0.5145628526092821,3.5333739989429347e-07
1112,16,0.1325515620801512,3.644024013371716e-07
1112,32,0.1576860307567289,3.643900890748508e-07
1112,64,0.20940629460293383,3.643705481226611e-07
1112,96,0.2597109250608995,3.643553141974287e-07
1112,128,0.3105273897341207,3.643428274635596e-07
1112,160,0.3616096481291931,3.6433224703813494e-07
1112,192,0.4123163190812255,3.6432306710354467e-07
1112,224,0.4638853116164311,3.643149599774631e-07
1112,256,0.5174497673811459,3.643077008952389e-07
1113,16,0.13270657974700367,3.753756168956013e-07
1113,32,0.15832438683016814,3.75362933902057e-07
1113,64,0.2094689477638878,3.7534280450390867e-07
1113,96,0.25932094166434433,3.7532711189003365e-07
1113,128,0.3109315157943617,3.7531424917913725e-07
1113,160,0.36215154223220897,3.753033500086822e-07
1113,192,0.41305948542205867,3.7529389368406996e-07
1113,224,0.4654179883879527,3.7528554241994527e-07
1113,256,0.5167850902089661,3.752780647348075e-07
1114,16,0.13201278859839857,3.863488936550752e-07
1114,32,0.1575978550608523,3.86335839958063e-07
1114,64,0.2097688266767892,3.863151221417116e-07
1114,96,0.2610882662572182,3.8629897075592723e-07
1114,128,0.3109895083119211,3.862857320124924e-07
1114,160,0.36434304989001476,3.862745142635404e-07
1114,192,0.41596999587396544,3.862647814378839e-07
1114,224,0.46454192038583425,3.8625618609122725e-07
1114,256,0.515849386871548,3.862484898586871e-07
112,16,0.1322094037259349,3.5342924872838744e-07
112,32,0.15852479942708564,3.534173072250457e-07
112,64,0.20986865915913433,3.5339835471881464e-07
112,96,0.25930044731202395,3.5338357950998045e-07
112,128,0.31125412276009995,3.5337146886416093e-07
112,160,0.3630352730363658,3.53361206961722e-07
112,192,0.4141078504240561,3.5335230341715373e-07
112,224,0.4639235353727861,3.533444404291153e-07
112,256,0.5184550492078824,3.5333739989429347e-07
1122,16,0.13243589642493162,3.753756168956013e-07
1122,32,0.15836192271724917,3.75362933902057e-07
1122,64,0.20983197654312472,3.7534280450390867e-07
1122,96,0.26098168187767806,3.7532711189003365e-07
1122,128,0.3113989705173409,3.7531424917913725e-07
