name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,75,329.79801893234253,374.79801893234253,2,9170,1
roberta-base@qnli-1,786,54,407.39900946617126,1193.3990094661713,1,261860,32
roberta-base@qnli-2,1280,40,393.39900946617126,1673.3990094661713,1,261860,32
roberta-base@sst2-3,1987,53,661.5960378646851,2648.596037864685,4,168380,1
roberta-base@qnli-4,2634,6,472.79801893234253,3106.7980189323425,2,261860,16
roberta-base@qnli-5,2660,100,735.1970283985138,3395.197028398514,3,261860,1
roberta-base@qnli-6,3002,118,476.39900946617126,3478.3990094661713,1,261860,24
roberta-base@stsb-7,3459,21,252.79801893234253,3711.7980189323425,2,12942.0,8
roberta-base@rte-8,4072,8,118.39900946617126,4190.399009466171,1,4984.0,8
roberta-base@qnli-9,4853,134,507.79801893234253,5293.7980189323425,2,261860,8
roberta-base@mnli-10,4906,81,454.79801893234253,5346.7980189323425,2,883584.0,2
roberta-base@qqp-11,6003,234,915.3990094661713,6801.399009466171,1,909620.0,16
roberta-base@mnli-12,6111,126,807.3990094661713,6909.399009466171,1,883584.0,2
roberta-base@qnli-13,7246,74,1442.389104127884,8688.389104127884,11,261860,1
roberta-base@sst2-14,7328,112,643.1970283985138,7971.197028398514,3,168380,2
roberta-base@wnli-15,7516,44,136.39900946617126,7652.399009466171,1,159.0,1
roberta-base@sst2-16,7774,26,641.5960378646851,8415.596037864685,4,168380,1
roberta-base@rte-17,8067,93,242.39900946617126,8309.399009466171,1,4984.0,1
roberta-base@sst2-18,8267,13,460.1970283985138,8727.197028398514,3,168380,24
roberta-base@rte-19,8364,36,185.39900946617126,8549.399009466171,1,4984.0,1
roberta-base@stsb-20,8718,84,187.39900946617126,8863.399009466171,1,12942.0,1
roberta-base@qnli-21,8748,54,157.39900946617126,8893.399009466171,1,261860,2
roberta-base@qnli-22,8768,112,465.39900946617126,9233.399009466171,1,261860,32
roberta-base@wnli-23,9147,93,184.39900946617126,9331.399009466171,1,159.0,8
roberta-base@wnli-24,9538,124,216.39900946617126,9692.399009466171,1,159.0,1
roberta-base@mrpc-25,9538,124,216.39900946617126,9692.399009466171,1,9170,1
roberta-base@wnli-26,9538,62,154.39900946617126,9692.399009466171,1,159.0,1
roberta-base@wnli-27,9539,61,153.39900946617126,9692.399009466171,1,159.0,1
roberta-base@qnli-28,9612,121,213.39900946617126,9717.399009466171,1,261860,1
roberta-base@wnli-29,9707,26,118.39900946617126,9812.399009466171,1,159.0,1
roberta-base@wnli-30,10052,28,119.39900946617126,10171.399009466171,1,159.0,8
roberta-base@rte-31,10462,98,208.39900946617126,10670.399009466171,1,4984.0,8
