name,finish_time_fairness
roberta-base@mrpc-0,0.73294
roberta-base@qnli-1,0.07341
roberta-base@qnli-2,0.03545
roberta-base@sst2-3,0.0856
roberta-base@qnli-4,0.14203
roberta-base@qnli-5,0.12017
roberta-base@qnli-6,0.19464
roberta-base@stsb-7,0.3429
roberta-base@rte-8,0.30147
roberta-base@qnli-9,0.24114
roberta-base@mnli-10,0.0272
roberta-base@qqp-11,0.09431
roberta-base@mnli-12,0.02987
roberta-base@qnli-13,0.18564
roberta-base@sst2-14,0.18039
roberta-base@wnli-15,10.09327
roberta-base@sst2-16,0.07257
roberta-base@rte-17,0.58169
roberta-base@sst2-18,0.08503
roberta-base@rte-19,0.45288
roberta-base@stsb-20,0.13937
roberta-base@qnli-21,0.01925
roberta-base@qnli-22,0.05514
roberta-base@wnli-23,13.35993
roberta-base@wnli-24,11.29327
roberta-base@mrpc-25,0.33215
roberta-base@wnli-26,11.29327
roberta-base@wnli-27,11.2266
roberta-base@qnli-28,0.00829
roberta-base@wnli-29,8.0266
roberta-base@wnli-30,8.95993
roberta-base@rte-31,0.76565
roberta-base@snli-32,0.05247
roberta-base@mnli-33,0.099
roberta-base@rte-34,1.02728
roberta-base@rte-35,0.66847
roberta-base@stsb-36,0.25862
roberta-base@stsb-37,0.27436
roberta-base@snli-38,0.0169
roberta-base@sst2-39,0.35236
roberta-base@stsb-40,0.31021
roberta-base@rte-41,0.4574
roberta-base@qnli-42,0.03697
roberta-base@wnli-43,7.69327
roberta-base@qqp-44,0.22286
roberta-base@qnli-45,0.06825
roberta-base@qqp-46,0.08059
roberta-base@sst2-47,0.03506
roberta-base@qnli-48,0.20213
roberta-base@sst2-49,0.03646
roberta-base@rte-50,0.48452
roberta-base@mrpc-51,0.63882
roberta-base@mrpc-52,0.27333
roberta-base@qnli-53,0.01684
roberta-base@qqp-54,0.06176
roberta-base@wnli-55,10.69327
roberta-base@sst2-56,0.11816
roberta-base@rte-57,0.38282
roberta-base@qnli-58,0.35047
roberta-base@qqp-59,0.02806
roberta-base@sst2-60,0.30705
roberta-base@stsb-61,0.36704
roberta-base@sst2-62,0.21242
roberta-base@sst2-63,0.52159
roberta-base@mnli-64,0.09734
roberta-base@stsb-65,0.1927
roberta-base@qnli-66,0.01518
roberta-base@qnli-67,0.15036
roberta-base@qnli-68,0.31108
roberta-base@sst2-69,0.23367
roberta-base@qnli-70,0.30639
roberta-base@sst2-71,0.48344
roberta-base@rte-72,0.52746
roberta-base@qnli-73,0.19529
roberta-base@mrpc-74,0.67411
roberta-base@qnli-75,0.23144
roberta-base@sst2-76,0.35967
roberta-base@qnli-77,0.55215
roberta-base@qnli-78,0.60034
roberta-base@sst2-79,0.72238
roberta-base@sst2-80,0.56622
roberta-base@qnli-81,0.57618
roberta-base@sst2-82,0.67471
roberta-base@sst2-83,0.72238
roberta-base@sst2-84,0.53313
roberta-base@qnli-85,0.50683
roberta-base@qnli-86,0.54623
roberta-base@qnli-87,0.54623
roberta-base@sst2-88,0.57816
roberta-base@sst2-89,0.52736
roberta-base@qnli-90,0.33934
roberta-base@qnli-91,0.3396
roberta-base@sst2-92,0.24076
roberta-base@sst2-93,0.03635
roberta-base@sst2-94,0.05871
roberta-base@qnli-95,0.03775
roberta-base@stsb-96,0.47265
roberta-base@qnli-97,0.2145
roberta-base@sst2-98,0.25644
roberta-base@sst2-99,0.08167
roberta-base@rte-100,0.58395
roberta-base@rte-101,0.78146
roberta-base@mrpc-102,0.67804
roberta-base@wnli-103,10.89327
roberta-base@sst2-104,0.05395
roberta-base@qnli-105,0.08751
roberta-base@qnli-106,0.06199
roberta-base@qnli-107,0.32071
roberta-base@wnli-108,12.69327
roberta-base@sst2-109,0.22355
roberta-base@sst2-110,0.07135
roberta-base@sst2-111,0.34581
roberta-base@qnli-112,0.22251
roberta-base@sst2-113,0.34581
roberta-base@sst2-114,0.34581
roberta-base@sst2-115,0.3453
roberta-base@qnli-116,0.22251
roberta-base@sst2-117,0.45318
roberta-base@sst2-118,0.45318
roberta-base@sst2-119,0.29844
