name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@qnli-0,1280,40,501.34559297561646,1781.3455929756165,1,235674.0,32
roberta-large@sst2-1,1987,53,264.6911859512329,2251.691185951233,2,84190.0,16
roberta-large@qnli-2,2634,6,467.34559297561646,3101.3455929756165,1,235674.0,32
roberta-large@mnli-3,4906,14,1190.3455929756165,6096.3455929756165,1,785408.0,32
roberta-large@qqp-4,6003,234,1380.3455929756165,7266.3455929756165,1,909620.0,8
roberta-large@mnli-5,6111,126,1272.3455929756165,7374.3455929756165,1,785408.0,8
roberta-large@wnli-6,7516,44,90.34559297561646,7606.3455929756165,1,1590.0,8
roberta-large@rte-7,8364,36,120.34559297561646,8484.345592975616,1,4984.0,4
roberta-large@qnli-8,8748,12,712.3823719024658,9460.382371902466,4,235674.0,16
roberta-large@qnli-9,8768,112,809.6911859512329,9577.691185951233,2,235674.0,2
roberta-large@rte-10,9147,93,177.34559297561646,9324.345592975616,1,4984.0,4
roberta-large@wnli-11,9538,124,209.34559297561646,9685.345592975616,1,1590.0,1
roberta-large@mrpc-12,9538,124,209.34559297561646,9685.345592975616,1,9170,1
roberta-large@wnli-13,9539,61,147.34559297561646,9686.345592975616,1,1590.0,1
roberta-large@wnli-14,10052,28,74.34559297561646,10126.345592975616,1,1590.0,8
roberta-large@mrpc-15,10462,98,175.34559297561646,10637.345592975616,1,9170,8
roberta-large@sst2-16,10617,126,338.6911859512329,10892.691185951233,2,84190.0,2
roberta-large@qnli-17,10618,125,337.6911859512329,10893.691185951233,2,235674.0,2
roberta-large@rte-18,11696,128,183.34559297561646,11815.345592975616,1,4984.0,1
roberta-large@stsb-19,11714,110,165.34559297561646,11833.345592975616,1,12942.0,1
roberta-large@sst2-20,12456,24,235.6911859512329,12691.691185951233,2,84190.0,16
roberta-large@sst2-21,13470,90,301.6911859512329,13771.691185951233,2,84190.0,16
roberta-large@qqp-22,14031,9,2487.0735578536987,16518.0735578537,6,909620.0,16
roberta-large@qqp-23,14109,51,2544.382371902466,16653.382371902466,4,909620.0,8
roberta-large@sst2-24,14275,5,521.0367789268494,14796.03677892685,3,84190.0,1
roberta-large@rte-25,16030,50,134.34559297561646,16164.345592975616,1,4984.0,4
roberta-large@mrpc-26,17132,28,105.34559297561646,17237.345592975616,1,9170,8
roberta-large@sst2-27,19137,63,287.34559297561646,19424.345592975616,1,84190.0,16
roberta-large@sst2-28,19137,63,397.03677892684937,19534.03677892685,3,84190.0,16
roberta-large@sst2-29,19247,73,372.6911859512329,19619.691185951233,2,84190.0,16
roberta-large@qnli-30,20006,34,495.34559297561646,20501.345592975616,1,235674.0,32
roberta-large@stsb-31,21258,102,191.34559297561646,21449.345592975616,1,12942.0,8
roberta-large@sst2-32,21548,104,316.6911859512329,21812.691185951233,2,84190.0,8
roberta-large@qnli-33,21548,104,316.6911859512329,21812.691185951233,2,235674.0,8
roberta-large@mrpc-34,21891,69,146.34559297561646,22037.345592975616,1,9170,8
roberta-large@qnli-35,22260,60,1127.0735578536987,23387.0735578537,6,235674.0,12
roberta-large@wnli-36,22395,45,131.34559297561646,22526.345592975616,1,1590.0,1
roberta-large@qnli-37,22654,51,505.6911859512329,23133.691185951233,2,235674.0,8
roberta-large@sst2-38,22654,26,727.3823719024658,23381.382371902466,4,84190.0,2
roberta-large@sst2-39,22655,50,504.6911859512329,23134.691185951233,2,84190.0,8
roberta-large@sst2-40,22655,25,726.3823719024658,23381.382371902466,4,84190.0,2
roberta-large@qnli-41,22655,50,504.6911859512329,23134.691185951233,2,235674.0,8
roberta-large@sst2-42,22655,50,504.6911859512329,23134.691185951233,2,84190.0,8
roberta-large@sst2-43,22655,25,737.0367789268494,23392.03677892685,3,84190.0,4
roberta-large@sst2-44,23166,114,457.03677892684937,23623.03677892685,3,84190.0,8
roberta-large@sst2-45,23298,102,332.6911859512329,23630.691185951233,2,84190.0,24
roberta-large@qnli-46,23833,47,508.34559297561646,24341.345592975616,1,235674.0,32
roberta-large@qnli-47,24715,5,466.34559297561646,25181.345592975616,1,235674.0,32
roberta-large@sst2-48,25326,114,325.6911859512329,25651.691185951233,2,84190.0,16
roberta-large@sst2-49,25475,85,306.6911859512329,25781.691185951233,2,84190.0,32
roberta-large@rte-50,25946,94,178.34559297561646,26124.345592975616,1,4984.0,4
roberta-large@wnli-51,26099,61,107.34559297561646,26206.345592975616,1,1590.0,8
roberta-large@stsb-52,26344,56,145.34559297561646,26489.345592975616,1,12942.0,8
roberta-large@qnli-53,26539,101,673.6911859512329,27212.691185951233,2,235674.0,16
roberta-large@qnli-54,26857,23,709.3823719024658,27566.382371902466,4,235674.0,8
roberta-large@qnli-55,27150,173,258.34559297561646,27318.345592975616,1,235674.0,8
roberta-large@wnli-56,27157,166,251.34559297561646,27325.345592975616,1,1590.0,1
roberta-large@sst2-57,28092,108,325.6911859512329,28417.691185951233,2,84190.0,20
roberta-large@qnli-58,28092,215,548.0367789268494,28532.03677892685,3,235674.0,8
roberta-large@sst2-59,28093,214,547.0367789268494,28533.03677892685,3,84190.0,8
