name,finish_time_fairness
roberta-large@qnli-0,0.04563
roberta-large@sst2-1,0.07893
roberta-large@qnli-2,0.13144
roberta-large@mnli-3,0.15084
roberta-large@qqp-4,0.09753
roberta-large@mnli-5,0.14738
roberta-large@wnli-6,0.61716
roberta-large@rte-7,0.24672
roberta-large@qnli-8,0.07743
roberta-large@qnli-9,0.06519
roberta-large@rte-10,0.34026
roberta-large@wnli-11,0.90946
roberta-large@mrpc-12,0.2529
roberta-large@wnli-13,0.90946
roberta-large@wnli-14,0.53511
roberta-large@mrpc-15,0.29283
roberta-large@sst2-16,0.15502
roberta-large@qnli-17,0.05246
roberta-large@rte-18,0.24508
roberta-large@stsb-19,0.17391
roberta-large@sst2-20,0.30966
roberta-large@sst2-21,0.16184
roberta-large@qqp-22,0.1983
roberta-large@qqp-23,0.21023
roberta-large@sst2-24,0.07692
roberta-large@rte-25,0.2697
roberta-large@mrpc-26,0.19301
roberta-large@sst2-27,0.57125
roberta-large@sst2-28,0.49848
roberta-large@sst2-29,0.41639
roberta-large@qnli-30,0.08202
roberta-large@stsb-31,0.25775
roberta-large@sst2-32,0.4596
roberta-large@qnli-33,0.1259
roberta-large@mrpc-34,0.25147
roberta-large@qnli-35,0.44151
roberta-large@wnli-36,0.82741
roberta-large@qnli-37,0.20028
roberta-large@sst2-38,0.93879
roberta-large@sst2-39,0.9378
roberta-large@sst2-40,0.7311
roberta-large@qnli-41,0.20028
roberta-large@sst2-42,0.7311
roberta-large@sst2-43,0.70947
roberta-large@sst2-44,0.53667
roberta-large@sst2-45,0.52471
roberta-large@qnli-46,0.2051
roberta-large@qnli-47,0.04348
roberta-large@sst2-48,0.62642
roberta-large@sst2-49,0.54368
roberta-large@rte-50,0.3419
roberta-large@wnli-51,0.70434
roberta-large@stsb-52,0.20419
roberta-large@qnli-53,0.05023
roberta-large@qnli-54,0.10766
roberta-large@qnli-55,0.05417
roberta-large@wnli-56,1.01716
roberta-large@sst2-57,0.61147
roberta-large@qnli-58,0.2133
roberta-large@sst2-59,0.77864
