name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.03663
vit-large@imagenet-split-1-1,0.01499
vit-large@food101-2,0.08289
vit-large@imagenet-split-0-3,0.07054
vit-large@imagenet-split-0-4,0.09185
vit-large@imagenet-split-1-5,0.10967
vit-large@imagenet-split-1-6,0.07466
vit-large@imagenet-split-0-7,0.11197
vit-large@mnist-8,0.15725
vit-large@frgfm#imagenette-9,0.07413
vit-large@frgfm#imagenette-10,0.10071
vit-large@frgfm#imagenette-11,0.06757
vit-large@mnist-12,0.15003
vit-large@food101-13,0.08963
vit-large@fashion_mnist-14,0.14936
vit-large@imagenet-split-2-15,0.07698
vit-large@food101-16,0.03012
vit-large@imagenet-split-0-17,0.17461
vit-large@cifar100-18,0.14118
vit-large@imagenet-split-1-19,0.07386
vit-large@cifar100-20,0.09498
vit-large@imagenet-split-1-21,0.06072
vit-large@cifar100-22,0.02322
vit-large@cifar100-23,0.13626
vit-large@mnist-24,0.12843
vit-large@mnist-25,0.03369
vit-large@Bingsu#Cat_and_Dog-26,0.2728
vit-large@imagenet-split-1-27,0.029
vit-large@Bingsu#Cat_and_Dog-28,0.11463
vit-large@fashion_mnist-29,0.02373
vit-large@cifar100-30,0.05365
vit-large@cifar100-31,0.03638
vit-large@frgfm#imagenette-32,0.09004
vit-large@frgfm#imagenette-33,0.08982
vit-large@food101-34,0.01872
vit-large@frgfm#imagenette-35,0.03641
vit-large@frgfm#imagenette-36,0.08307
vit-large@frgfm#imagenette-37,0.08307
vit-large@frgfm#imagenette-38,0.08307
vit-large@frgfm#imagenette-39,0.0892
vit-large@Bingsu#Cat_and_Dog-40,0.13479
vit-large@imagenet-split-0-41,0.00688
vit-large@Bingsu#Cat_and_Dog-42,0.09608
vit-large@frgfm#imagenette-43,0.07193
vit-large@frgfm#imagenette-44,0.09875
vit-large@food101-45,0.14555
vit-large@food101-46,0.11134
vit-large@food101-47,0.12609
vit-large@frgfm#imagenette-48,0.15809
vit-large@frgfm#imagenette-49,0.15845
vit-large@frgfm#imagenette-50,0.04888
vit-large@Bingsu#Cat_and_Dog-51,0.10979
vit-large@frgfm#imagenette-52,0.09135
vit-large@frgfm#imagenette-53,0.07958
vit-large@frgfm#imagenette-54,0.08851
vit-large@Bingsu#Cat_and_Dog-55,0.09527
vit-large@imagenet-split-2-56,0.00379
vit-large@Bingsu#Cat_and_Dog-57,0.14124
vit-large@imagenet-split-1-58,0.04272
vit-large@Bingsu#Cat_and_Dog-59,0.15979
vit-large@frgfm#imagenette-60,0.06782
vit-large@fashion_mnist-61,0.02973
vit-large@Bingsu#Cat_and_Dog-62,0.09285
vit-large@food101-63,0.13025
vit-large@cifar100-64,0.03126
vit-large@food101-65,0.13139
vit-large@cifar100-66,0.02823
vit-large@imagenet-split-0-67,0.11741
vit-large@imagenet-split-1-68,0.02065
vit-large@Bingsu#Cat_and_Dog-69,0.12592
vit-large@frgfm#imagenette-70,0.07171
vit-large@frgfm#imagenette-71,0.05387
vit-large@frgfm#imagenette-72,0.07871
vit-large@cifar100-73,0.01587
vit-large@food101-74,0.1268
vit-large@frgfm#imagenette-75,0.09026
vit-large@Bingsu#Cat_and_Dog-76,0.0985
vit-large@Bingsu#Cat_and_Dog-77,0.12834
vit-large@cifar100-78,0.05895
vit-large@Bingsu#Cat_and_Dog-79,0.08963
vit-large@cifar100-80,0.15481
vit-large@food101-81,0.03029
vit-large@cifar100-82,0.16266
vit-large@Bingsu#Cat_and_Dog-83,0.15898
vit-large@fashion_mnist-84,0.09914
vit-large@imagenet-split-1-85,0.11384
vit-large@food101-86,0.16651
vit-large@Bingsu#Cat_and_Dog-87,0.14205
vit-large@fashion_mnist-88,0.16458
vit-large@Bingsu#Cat_and_Dog-89,0.16785
vit-large@imagenet-split-0-90,0.086
vit-large@mnist-91,0.42004
vit-large@fashion_mnist-92,0.42004
vit-large@imagenet-split-1-93,0.14931
vit-large@mnist-94,0.25997
vit-large@cifar100-95,0.40927
vit-large@cifar100-96,0.24188
vit-large@imagenet-split-0-97,0.15472
vit-large@fashion_mnist-98,0.28965
vit-large@imagenet-split-0-99,0.17828
vit-large@Bingsu#Cat_and_Dog-100,0.78329
vit-large@cifar100-101,0.29489
vit-large@frgfm#imagenette-102,0.14734
vit-large@mnist-103,0.38818
vit-large@imagenet-split-1-104,0.35239
vit-large@cifar100-105,0.36824
vit-large@imagenet-split-0-106,0.21299
vit-large@fashion_mnist-107,0.38818
vit-large@cifar100-108,0.30161
vit-large@imagenet-split-1-109,0.43992
vit-large@cifar100-110,0.30161
vit-large@imagenet-split-1-111,0.22852
vit-large@mnist-112,0.31568
vit-large@imagenet-split-0-113,0.20604
vit-large@fashion_mnist-114,0.35052
vit-large@mnist-115,0.29269
vit-large@mnist-116,0.29269
vit-large@cifar100-117,0.36704
vit-large@imagenet-split-1-118,0.23623
vit-large@fashion_mnist-119,0.29269
vit-large@cifar100-120,0.30161
vit-large@imagenet-split-1-121,0.45239
vit-large@fashion_mnist-122,0.32838
vit-large@mnist-123,0.32838
vit-large@imagenet-split-1-124,0.3517
vit-large@fashion_mnist-125,0.26164
vit-large@imagenet-split-1-126,0.05708
vit-large@mnist-127,0.04005
vit-large@imagenet-split-1-128,0.04811
vit-large@frgfm#imagenette-129,0.08328
vit-large@fashion_mnist-130,0.15318
vit-large@imagenet-split-1-131,0.17591
vit-large@fashion_mnist-132,0.18779
vit-large@frgfm#imagenette-133,0.11684
vit-large@imagenet-split-0-134,0.06065
vit-large@cifar100-135,0.03707
vit-large@frgfm#imagenette-136,0.09004
vit-large@Bingsu#Cat_and_Dog-137,0.2228
vit-large@Bingsu#Cat_and_Dog-138,0.13479
vit-large@frgfm#imagenette-139,0.08176
vit-large@imagenet-split-0-140,0.06793
vit-large@food101-141,0.08966
vit-large@imagenet-split-0-142,0.02621
vit-large@imagenet-split-1-143,0.11892
vit-large@Bingsu#Cat_and_Dog-144,0.15253
vit-large@cifar100-145,0.15236
vit-large@fashion_mnist-146,0.04244
vit-large@mnist-147,0.23557
vit-large@cifar100-148,0.32541
vit-large@fashion_mnist-149,0.23557
vit-large@imagenet-split-1-150,0.36708
vit-large@mnist-151,0.20245
vit-large@fashion_mnist-152,0.20245
vit-large@imagenet-split-1-153,0.40076
vit-large@fashion_mnist-154,0.20231
vit-large@imagenet-split-1-155,0.29206
vit-large@imagenet-split-0-156,0.26332
vit-large@fashion_mnist-157,0.22937
vit-large@cifar100-158,0.20404
vit-large@imagenet-split-1-159,0.3114
