name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,150,399.2757420539856,369.2757420539856,2,66283.0,1
vit-large@imagenet-split-1-1,92,103,352.2757420539856,416.2757420539856,2,749250.0,4
vit-large@food101-2,786,54,2690.2757420539856,3476.2757420539856,2,757500,4
vit-large@imagenet-split-0-3,1280,40,1097.2757420539856,2377.2757420539856,2,250000.0,4
vit-large@imagenet-split-0-4,1987,53,1238.689355134964,3225.689355134964,5,250000.0,1
vit-large@imagenet-split-1-5,2229,51,1160.8272261619568,3389.827226161957,6,749250.0,1
vit-large@imagenet-split-1-6,2634,6,935.5514841079712,3569.551484107971,4,749250.0,12
vit-large@imagenet-split-0-7,2660,100,902.1378710269928,3562.137871026993,1,250000.0,4
vit-large@mnist-8,3002,118,1149.4136130809784,4151.413613080978,3,600000.0,16
vit-large@frgfm#imagenette-9,3459,21,638.5514841079712,4097.551484107971,4,66283.0,1
vit-large@frgfm#imagenette-10,3853,107,716.5514841079712,4569.551484107971,4,66283.0,1
vit-large@frgfm#imagenette-11,4072,8,517.4136130809784,4589.413613080978,3,66283.0,2
vit-large@mnist-12,4853,67,1234.689355134964,6087.689355134964,5,600000.0,16
vit-large@food101-13,4906,14,2730.551484107971,7636.551484107971,4,757500,4
vit-large@fashion_mnist-14,5098,62,1348.8272261619568,6446.827226161957,6,600000.0,12
vit-large@imagenet-split-2-15,6003,126,1568.9650971889496,7454.96509718895,7,1000000.0,8
vit-large@food101-16,6111,18,1460.9650971889496,7562.96509718895,7,757500,2
vit-large@imagenet-split-0-17,7246,74,1183.5514841079712,8429.551484107971,4,250000.0,1
vit-large@cifar100-18,7246,74,1270.5514841079712,8516.551484107971,4,500000.0,4
vit-large@imagenet-split-1-19,7328,122,1140.689355134964,8356.689355134964,5,749250.0,4
vit-large@cifar100-20,7430,20,1038.689355134964,8458.689355134964,5,500000.0,4
vit-large@imagenet-split-1-21,7490,114,1458.2408392429352,8878.240839242935,9,749250.0,4
vit-large@cifar100-22,7516,88,1432.2408392429352,8904.240839242935,9,500000.0,1
vit-large@cifar100-23,7670,10,1308.689355134964,8978.689355134964,5,500000.0,1
vit-large@mnist-24,7719,81,1573.689355134964,9292.689355134964,5,600000.0,4
vit-large@mnist-25,7774,26,1307.4136130809784,9081.413613080978,3,600000.0,4
vit-large@Bingsu#Cat_and_Dog-26,8067,93,367.2757420539856,8434.275742053986,2,31680.0,1
vit-large@imagenet-split-1-27,8267,13,945.2757420539856,9212.275742053986,2,749250.0,8
vit-large@Bingsu#Cat_and_Dog-28,8364,36,310.2757420539856,8674.275742053986,2,31680.0,1
vit-large@fashion_mnist-29,8718,54,1033.689355134964,9709.689355134964,5,600000.0,1
vit-large@cifar100-30,8748,24,1003.689355134964,9739.689355134964,5,500000.0,2
vit-large@cifar100-31,8768,112,1416.9650971889496,10184.96509718895,7,500000.0,16
vit-large@frgfm#imagenette-32,9026,94,585.4136130809784,9611.413613080978,3,66283.0,1
vit-large@frgfm#imagenette-33,9147,93,584.4136130809784,9731.413613080978,3,66283.0,1
vit-large@food101-34,9491,170,800.689355134964,10182.689355134964,5,757500,8
vit-large@frgfm#imagenette-35,9538,123,396.2757420539856,9872.275742053986,2,66283.0,1
vit-large@frgfm#imagenette-36,9538,62,553.4136130809784,10091.413613080978,3,66283.0,1
vit-large@frgfm#imagenette-37,9538,62,553.4136130809784,10091.413613080978,3,66283.0,1
vit-large@frgfm#imagenette-38,9538,62,553.4136130809784,10091.413613080978,3,66283.0,1
vit-large@frgfm#imagenette-39,9539,122,752.689355134964,10230.689355134964,5,66283.0,1
vit-large@Bingsu#Cat_and_Dog-40,9539,122,395.2757420539856,9873.275742053986,2,31680.0,1
vit-large@imagenet-split-0-41,9612,121,394.2757420539856,9898.275742053986,2,250000.0,1
vit-large@Bingsu#Cat_and_Dog-42,9707,26,299.2757420539856,9993.275742053986,2,31680.0,1
vit-large@frgfm#imagenette-43,10052,28,360.1378710269928,10412.137871026993,1,66283.0,12
vit-large@frgfm#imagenette-44,10462,98,430.1378710269928,10892.137871026993,1,66283.0,12
vit-large@food101-45,10617,63,3059.9650971889496,13676.96509718895,7,757500,12
vit-large@food101-46,10618,62,3896.930194377899,14514.9301943779,14,757500,1
vit-large@food101-47,10618,62,2894.9650971889496,13512.96509718895,7,757500,4
vit-large@frgfm#imagenette-48,10835,85,417.1378710269928,11252.137871026993,1,66283.0,12
vit-large@frgfm#imagenette-49,11194,86,570.4136130809784,11764.413613080978,3,66283.0,1
vit-large@frgfm#imagenette-50,11370,60,333.2757420539856,11673.275742053986,2,66283.0,2
vit-large@Bingsu#Cat_and_Dog-51,11370,60,333.2757420539856,11673.275742053986,2,31680.0,1
vit-large@frgfm#imagenette-52,11696,64,396.1378710269928,12092.137871026993,1,66283.0,12
vit-large@frgfm#imagenette-53,11714,46,431.2757420539856,12145.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-54,12033,87,578.4136130809784,12611.413613080978,3,66283.0,1
vit-large@Bingsu#Cat_and_Dog-55,12079,82,192.1378710269928,12230.137871026993,1,31680.0,1
vit-large@imagenet-split-2-56,12082,79,189.1378710269928,12233.137871026993,1,1000000.0,2
vit-large@Bingsu#Cat_and_Dog-57,12378,204,308.1378710269928,12584.137871026993,1,31680.0,1
vit-large@imagenet-split-1-58,12456,126,230.1378710269928,12662.137871026993,1,749250.0,16
vit-large@Bingsu#Cat_and_Dog-59,13108,92,366.2757420539856,13474.275742053986,2,31680.0,1
vit-large@frgfm#imagenette-60,13468,184,676.5514841079712,14052.551484107971,4,66283.0,1
vit-large@fashion_mnist-61,13470,182,674.5514841079712,14054.551484107971,4,600000.0,4
vit-large@Bingsu#Cat_and_Dog-62,13911,9,355.4136130809784,14266.413613080978,3,31680.0,2
vit-large@food101-63,14031,9,2768.689355134964,16799.689355134964,5,757500,12
vit-large@cifar100-64,14066,94,901.2757420539856,14967.275742053986,2,500000.0,12
vit-large@food101-65,14109,51,2956.827226161957,17065.827226161957,6,757500,1
vit-large@cifar100-66,14275,5,915.4136130809784,15190.413613080978,3,500000.0,16
vit-large@imagenet-split-0-67,15165,75,1260.689355134964,16425.689355134964,5,250000.0,1
vit-large@imagenet-split-1-68,15342,18,998.689355134964,16340.689355134964,5,749250.0,1
vit-large@Bingsu#Cat_and_Dog-69,16030,50,324.2757420539856,16354.275742053986,2,31680.0,1
vit-large@frgfm#imagenette-70,16773,27,359.1378710269928,17132.137871026993,1,66283.0,12
vit-large@frgfm#imagenette-71,17132,56,548.5514841079712,17652.55148410797,4,66283.0,1
