name,finish_time_fairness
vit@frgfm#imagenette-0,0.02003
vit@imagenet-split-1-1,0.00933
vit@Bingsu#Cat_and_Dog-2,0.04774
vit@food101-3,0.06091
vit@imagenet-split-0-4,0.01882
vit@Bingsu#Cat_and_Dog-5,0.0634
vit@mnist-6,0.06506
vit@Bingsu#Cat_and_Dog-7,0.04027
vit@imagenet-split-2-8,0.04097
vit@imagenet-split-1-9,0.06081
vit@imagenet-split-2-10,0.04217
vit@imagenet-split-1-11,0.0323
vit@imagenet-split-0-12,0.03543
vit@mnist-13,0.06588
vit@mnist-14,0.06588
vit@imagenet-split-0-15,0.06767
vit@imagenet-split-1-16,0.03284
vit@frgfm#imagenette-17,0.03306
vit@frgfm#imagenette-18,0.04704
vit@frgfm#imagenette-19,0.02786
vit@Bingsu#Cat_and_Dog-20,0.04419
vit@Bingsu#Cat_and_Dog-21,0.03031
vit@mnist-22,0.04934
vit@fashion_mnist-23,0.06327
vit@food101-24,0.02646
vit@food101-25,0.04001
vit@fashion_mnist-26,0.06207
vit@imagenet-split-2-27,0.02426
vit@food101-28,0.03202
vit@fashion_mnist-29,0.01365
vit@mnist-30,0.0598
vit@frgfm#imagenette-31,0.0316
vit@mnist-32,0.02593
vit@cifar100-33,0.01338
vit@frgfm#imagenette-34,0.03127
vit@imagenet-split-0-35,0.05916
vit@cifar100-36,0.043
vit@imagenet-split-1-37,0.01639
vit@cifar100-38,0.02524
vit@imagenet-split-1-39,0.00774
vit@Bingsu#Cat_and_Dog-40,0.03636
vit@cifar100-41,0.02676
vit@mnist-42,0.06429
vit@mnist-43,0.02418
vit@imagenet-split-0-44,0.06729
vit@Bingsu#Cat_and_Dog-45,0.04205
vit@fashion_mnist-46,0.01148
vit@cifar100-47,0.01861
vit@imagenet-split-1-48,0.00971
vit@Bingsu#Cat_and_Dog-49,0.04561
vit@imagenet-split-1-50,0.01533
vit@imagenet-split-1-51,0.00863
vit@cifar100-52,0.01457
vit@imagenet-split-0-53,0.01223
vit@imagenet-split-1-54,0.01506
vit@Bingsu#Cat_and_Dog-55,0.02532
vit@imagenet-split-1-56,0.00191
vit@Bingsu#Cat_and_Dog-57,0.02283
vit@cifar100-58,0.00504
vit@imagenet-split-2-59,0.00398
vit@cifar100-60,0.01502
vit@frgfm#imagenette-61,0.02751
vit@Bingsu#Cat_and_Dog-62,0.05379
vit@Bingsu#Cat_and_Dog-63,0.05344
vit@frgfm#imagenette-64,0.04493
vit@frgfm#imagenette-65,0.04168
vit@food101-66,0.00534
vit@frgfm#imagenette-67,0.03973
vit@frgfm#imagenette-68,0.03973
vit@frgfm#imagenette-69,0.02799
vit@frgfm#imagenette-70,0.03973
vit@frgfm#imagenette-71,0.03973
vit@frgfm#imagenette-72,0.03973
vit@frgfm#imagenette-73,0.03956
vit@Bingsu#Cat_and_Dog-74,0.04312
vit@imagenet-split-0-75,0.00436
vit@Bingsu#Cat_and_Dog-76,0.02568
vit@frgfm#imagenette-77,0.03111
vit@mnist-78,0.00471
vit@Bingsu#Cat_and_Dog-79,0.05319
vit@frgfm#imagenette-80,0.04558
vit@Bingsu#Cat_and_Dog-81,0.05451
vit@food101-82,0.0337
vit@imagenet-split-2-83,0.02553
vit@food101-84,0.0415
vit@food101-85,0.0415
vit@imagenet-split-2-86,0.04113
vit@frgfm#imagenette-87,0.03485
vit@fashion_mnist-88,0.0216
vit@frgfm#imagenette-89,0.07412
vit@frgfm#imagenette-90,0.02491
vit@Bingsu#Cat_and_Dog-91,0.03209
vit@frgfm#imagenette-92,0.04005
vit@frgfm#imagenette-93,0.03713
vit@mnist-94,0.02122
vit@frgfm#imagenette-95,0.04379
vit@Bingsu#Cat_and_Dog-96,0.0513
vit@frgfm#imagenette-97,0.04314
vit@Bingsu#Cat_and_Dog-98,0.036
vit@imagenet-split-2-99,0.03188
vit@Bingsu#Cat_and_Dog-100,0.0449
vit@imagenet-split-1-101,0.02157
vit@frgfm#imagenette-102,0.0744
vit@Bingsu#Cat_and_Dog-103,0.02141
vit@imagenet-split-1-104,0.06731
vit@Bingsu#Cat_and_Dog-105,0.05415
vit@fashion_mnist-106,0.0157
vit@frgfm#imagenette-107,0.02116
vit@fashion_mnist-108,0.01265
vit@imagenet-split-2-109,0.0413
vit@Bingsu#Cat_and_Dog-110,0.02461
vit@food101-111,0.05885
vit@Bingsu#Cat_and_Dog-112,0.05486
vit@food101-113,0.04154
vit@cifar100-114,0.01017
vit@frgfm#imagenette-115,0.03729
vit@imagenet-split-1-116,0.01305
vit@imagenet-split-0-117,0.08672
vit@imagenet-split-1-118,0.01203
vit@fashion_mnist-119,0.06943
vit@Bingsu#Cat_and_Dog-120,0.0392
vit@Bingsu#Cat_and_Dog-121,0.03814
vit@frgfm#imagenette-122,0.0342
vit@frgfm#imagenette-123,0.03062
vit@fashion_mnist-124,0.05231
vit@frgfm#imagenette-125,0.01336
vit@frgfm#imagenette-126,0.0342
vit@frgfm#imagenette-127,0.03062
vit@cifar100-128,0.00646
vit@food101-129,0.05922
vit@frgfm#imagenette-130,0.03924
vit@Bingsu#Cat_and_Dog-131,0.0271
vit@food101-132,0.00351
vit@Bingsu#Cat_and_Dog-133,0.04027
vit@food101-134,0.06496
vit@Bingsu#Cat_and_Dog-135,0.04525
vit@imagenet-split-2-136,0.0648
vit@Bingsu#Cat_and_Dog-137,0.02319
vit@cifar100-138,0.12659
vit@cifar100-139,0.13069
vit@cifar100-140,0.15287
vit@food101-141,0.03412
vit@cifar100-142,0.15267
vit@imagenet-split-2-143,0.01748
vit@Bingsu#Cat_and_Dog-144,0.0602
vit@fashion_mnist-145,0.10345
vit@imagenet-split-1-146,0.06531
vit@mnist-147,0.00979
vit@imagenet-split-1-148,0.07829
vit@cifar100-149,0.13148
vit@imagenet-split-0-150,0.18979
vit@imagenet-split-0-151,0.15833
vit@fashion_mnist-152,0.11358
vit@frgfm#imagenette-153,0.03404
vit@fashion_mnist-154,0.00424
vit@frgfm#imagenette-155,0.01824
vit@food101-156,0.04063
vit@frgfm#imagenette-157,0.02458
vit@cifar100-158,0.00685
vit@Bingsu#Cat_and_Dog-159,0.02426
vit@fashion_mnist-160,0.00258
vit@frgfm#imagenette-161,0.03729
vit@Bingsu#Cat_and_Dog-162,0.04632
vit@fashion_mnist-163,0.04937
vit@imagenet-split-1-164,0.03604
vit@Bingsu#Cat_and_Dog-165,0.04596
vit@imagenet-split-0-166,0.00781
vit@mnist-167,0.0621
vit@fashion_mnist-168,0.17009
vit@imagenet-split-1-169,0.10833
vit@mnist-170,0.07926
vit@fashion_mnist-171,0.18376
vit@imagenet-split-1-172,0.06904
vit@cifar100-173,0.17796
vit@fashion_mnist-174,0.18496
vit@imagenet-split-1-175,0.06027
vit@cifar100-176,0.19042
vit@cifar100-177,0.19042
vit@imagenet-split-0-178,0.14611
vit@fashion_mnist-179,0.18479
vit@imagenet-split-0-180,0.14611
vit@imagenet-split-1-181,0.14023
vit@cifar100-182,0.19042
vit@imagenet-split-0-183,0.16737
vit@mnist-184,0.10931
vit@fashion_mnist-185,0.18479
vit@fashion_mnist-186,0.18479
vit@imagenet-split-1-187,0.06027
vit@Bingsu#Cat_and_Dog-188,0.05557
vit@Bingsu#Cat_and_Dog-189,0.05201
vit@Bingsu#Cat_and_Dog-190,0.06483
vit@food101-191,0.03642
vit@cifar100-192,0.16317
vit@frgfm#imagenette-193,0.03582
vit@imagenet-split-1-194,0.34328
vit@mnist-195,0.13962
vit@imagenet-split-1-196,0.1069
vit@cifar100-197,0.34582
vit@imagenet-split-0-198,0.25975
vit@fashion_mnist-199,0.34386
vit@mnist-200,0.15659
vit@imagenet-split-1-201,0.10702
vit@fashion_mnist-202,0.34506
vit@fashion_mnist-203,0.33019
vit@imagenet-split-1-204,0.10715
vit@imagenet-split-1-205,0.30119
vit@cifar100-206,0.34582
vit@mnist-207,0.15262
vit@imagenet-split-0-208,0.2307
vit@cifar100-209,0.34562
vit@imagenet-split-1-210,0.3139
vit@cifar100-211,0.34562
vit@imagenet-split-1-212,0.3139
vit@mnist-213,0.01691
vit@imagenet-split-0-214,0.25944
vit@fashion_mnist-215,0.33002
vit@mnist-216,0.16722
vit@mnist-217,0.16785
vit@cifar100-218,0.34562
vit@imagenet-split-1-219,0.33158
vit@fashion_mnist-220,0.3107
vit@cifar100-221,0.34562
vit@imagenet-split-1-222,0.33158
vit@imagenet-split-1-223,0.33158
vit@cifar100-224,0.34562
vit@imagenet-split-0-225,0.2304
vit@cifar100-226,0.34562
vit@cifar100-227,0.34562
vit@imagenet-split-1-228,0.35202
vit@cifar100-229,0.34562
vit@fashion_mnist-230,0.32765
vit@imagenet-split-0-231,0.25914
vit@fashion_mnist-232,0.34472
vit@imagenet-split-1-233,0.36012
vit@Bingsu#Cat_and_Dog-234,0.08511
vit@frgfm#imagenette-235,0.0519
vit@imagenet-split-1-236,0.30158
vit@mnist-237,0.14298
vit@cifar100-238,0.31793
