name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,150,243.16124963760376,213.16124963760376,1,85221.0,1
vit@imagenet-split-1-1,92,103,196.16124963760376,260.16124963760376,1,750000,4
vit@Bingsu#Cat_and_Dog-2,766,74,179.16124963760376,945.1612496376038,1,63680.0,4
vit@food101-3,786,54,1424.3224992752075,2210.3224992752075,2,757500.0,1
vit@imagenet-split-0-4,1280,40,385.3224992752075,1665.3224992752075,2,250000.0,4
vit@Bingsu#Cat_and_Dog-5,1322,118,223.16124963760376,1545.1612496376038,1,63680.0,4
vit@mnist-6,1576,104,1160.1612496376038,2736.1612496376038,1,600000.0,4
vit@Bingsu#Cat_and_Dog-7,1747,53,158.16124963760376,1905.1612496376038,1,63680.0,4
vit@imagenet-split-2-8,1987,53,1846.3224992752075,3833.3224992752075,2,1000000.0,2
vit@imagenet-split-1-9,2229,51,753.8062481880188,2982.806248188019,5,750000,2
vit@imagenet-split-2-10,2296,104,1897.3224992752075,4193.3224992752075,2,1000000.0,2
vit@imagenet-split-1-11,2634,6,714.8062481880188,3348.806248188019,5,750000,4
vit@imagenet-split-0-12,2660,100,422.3224992752075,3082.3224992752075,2,250000.0,2
vit@mnist-13,3002,118,1174.1612496376038,4176.161249637604,1,600000.0,4
vit@mnist-14,3002,118,1174.1612496376038,4176.161249637604,1,600000.0,4
vit@imagenet-split-0-15,3014,106,459.4837489128113,3473.4837489128113,3,250000.0,8
vit@imagenet-split-1-16,3350,10,569.4837489128113,3919.4837489128113,3,750000,16
vit@frgfm#imagenette-17,3459,21,213.16124963760376,3672.1612496376038,1,85221.0,4
vit@frgfm#imagenette-18,3853,107,299.16124963760376,4152.161249637604,1,85221.0,4
vit@frgfm#imagenette-19,4072,8,200.16124963760376,4272.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-20,4256,64,169.16124963760376,4425.161249637604,1,63680.0,4
vit@Bingsu#Cat_and_Dog-21,4295,25,130.16124963760376,4425.161249637604,1,63680.0,4
vit@mnist-22,4853,134,1212.9674978256226,5998.967497825623,6,600000.0,8
vit@fashion_mnist-23,4853,67,534.644998550415,5387.644998550415,4,600000.0,8
vit@food101-24,4906,81,1159.9674978256226,6051.967497825623,6,757500.0,2
vit@food101-25,4906,14,1384.3224992752075,6290.3224992752075,2,757500.0,1
vit@fashion_mnist-26,5098,62,497.4837489128113,5595.483748912811,3,600000.0,1
vit@imagenet-split-2-27,6003,246,1546.9674978256226,7432.967497825623,6,1000000.0,2
vit@food101-28,6111,138,1438.9674978256226,7540.967497825623,6,757500.0,2
vit@fashion_mnist-29,6432,48,403.3224992752075,6835.3224992752075,2,600000.0,12
vit@mnist-30,6467,13,1174.4837489128113,7641.483748912811,3,600000.0,4
vit@frgfm#imagenette-31,6828,12,204.16124963760376,7032.161249637604,1,85221.0,4
vit@mnist-32,6858,102,1263.4837489128113,8121.483748912811,3,600000.0,4
vit@cifar100-33,7000,80,616.8062481880188,7616.806248188019,5,500000.0,1
vit@frgfm#imagenette-34,7190,10,202.16124963760376,7392.161249637604,1,85221.0,4
vit@imagenet-split-0-35,7246,74,529.644998550415,7775.644998550415,4,250000.0,2
vit@cifar100-36,7246,74,394.16124963760376,7640.161249637604,1,500000.0,8
vit@imagenet-split-1-37,7328,122,571.644998550415,7787.644998550415,4,750000,4
vit@cifar100-38,7430,20,469.64499855041504,7889.644998550415,4,500000.0,4
vit@imagenet-split-1-39,7490,114,287.3224992752075,7707.3224992752075,2,750000,4
vit@Bingsu#Cat_and_Dog-40,7516,88,261.3224992752075,7733.3224992752075,2,63680.0,1
vit@cifar100-41,7670,10,340.3224992752075,8010.3224992752075,2,500000.0,8
vit@mnist-42,7719,81,1253.4837489128113,8972.483748912811,3,600000.0,4
vit@mnist-43,7774,26,1198.4837489128113,8972.483748912811,3,600000.0,4
vit@imagenet-split-0-44,7814,106,410.3224992752075,8224.322499275208,2,250000.0,8
vit@Bingsu#Cat_and_Dog-45,7949,182,254.16124963760376,8112.161249637604,1,63680.0,1
vit@fashion_mnist-46,8016,115,187.16124963760376,8179.161249637604,1,600000.0,4
vit@cifar100-47,8044,209,288.16124963760376,8216.161249637604,1,500000.0,1
vit@imagenet-split-1-48,8065,95,909.8062481880188,8974.806248188019,5,750000,3
vit@Bingsu#Cat_and_Dog-49,8067,186,265.16124963760376,8239.161249637604,1,63680.0,1
vit@imagenet-split-1-50,8169,131,593.4837489128113,8651.483748912811,3,750000,4
vit@imagenet-split-1-51,8245,35,732.644998550415,8977.644998550415,4,750000,4
vit@cifar100-52,8260,40,502.4837489128113,8742.483748912811,3,500000.0,1
vit@imagenet-split-0-53,8264,272,627.4837489128113,8875.483748912811,3,250000.0,1
vit@imagenet-split-1-54,8267,269,624.4837489128113,8878.483748912811,3,750000,1
vit@Bingsu#Cat_and_Dog-55,8364,72,152.16124963760376,8480.161249637604,1,63680.0,1
vit@imagenet-split-1-56,8389,47,127.16124963760376,8505.161249637604,1,750000,1
vit@Bingsu#Cat_and_Dog-57,8718,84,163.16124963760376,8839.161249637604,1,63680.0,1
vit@cifar100-58,8748,54,133.16124963760376,8869.161249637604,1,500000.0,2
vit@imagenet-split-2-59,8767,172,396.3224992752075,9050.322499275208,2,1000000.0,2
vit@cifar100-60,8768,112,542.644998550415,9310.644998550415,4,500000.0,1
vit@frgfm#imagenette-61,8821,118,342.3224992752075,9104.322499275208,2,85221.0,1
vit@Bingsu#Cat_and_Dog-62,8909,91,196.16124963760376,9105.161249637604,1,63680.0,4
vit@Bingsu#Cat_and_Dog-63,8910,90,195.16124963760376,9105.161249637604,1,63680.0,4
vit@frgfm#imagenette-64,9026,94,286.16124963760376,9312.161249637604,1,85221.0,4
vit@frgfm#imagenette-65,9147,93,285.16124963760376,9432.161249637604,1,85221.0,4
vit@food101-66,9491,171,395.3224992752075,9777.322499275208,2,757500.0,2
vit@frgfm#imagenette-67,9538,62,254.16124963760376,9792.161249637604,1,85221.0,4
vit@frgfm#imagenette-68,9538,62,254.16124963760376,9792.161249637604,1,85221.0,4
vit@frgfm#imagenette-69,9538,124,348.3224992752075,9824.322499275208,2,85221.0,1
vit@frgfm#imagenette-70,9538,62,254.16124963760376,9792.161249637604,1,85221.0,4
vit@frgfm#imagenette-71,9538,62,254.16124963760376,9792.161249637604,1,85221.0,4
vit@frgfm#imagenette-72,9538,62,254.16124963760376,9792.161249637604,1,85221.0,4
vit@frgfm#imagenette-73,9539,61,253.16124963760376,9792.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-74,9539,61,166.16124963760376,9705.161249637604,1,63680.0,4
vit@imagenet-split-0-75,9612,121,225.16124963760376,9729.161249637604,1,250000.0,1
vit@Bingsu#Cat_and_Dog-76,9707,26,130.16124963760376,9824.161249637604,1,63680.0,1
vit@frgfm#imagenette-77,10052,28,220.16124963760376,10272.161249637604,1,85221.0,4
vit@mnist-78,10408,58,163.16124963760376,10539.161249637604,1,600000.0,12
vit@Bingsu#Cat_and_Dog-79,10414,52,157.16124963760376,10545.161249637604,1,63680.0,2
vit@frgfm#imagenette-80,10462,98,290.16124963760376,10752.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-81,10587,93,198.16124963760376,10785.161249637604,1,63680.0,4
vit@food101-82,10617,126,1401.8062481880188,11955.806248188019,5,757500.0,2
vit@imagenet-split-2-83,10617,126,1401.8062481880188,11955.806248188019,5,1000000.0,2
vit@food101-84,10618,62,1432.3224992752075,12050.322499275208,2,757500.0,1
vit@food101-85,10618,62,1432.3224992752075,12050.322499275208,2,757500.0,1
vit@imagenet-split-2-86,10620,60,1853.3224992752075,12473.322499275208,2,1000000.0,2
vit@frgfm#imagenette-87,10835,170,256.16124963760376,11006.161249637604,1,85221.0,2
vit@fashion_mnist-88,10851,154,240.16124963760376,11022.161249637604,1,600000.0,8
vit@frgfm#imagenette-89,11194,86,278.16124963760376,11472.161249637604,1,85221.0,4
vit@frgfm#imagenette-90,11370,60,165.16124963760376,11505.161249637604,1,85221.0,2
vit@Bingsu#Cat_and_Dog-91,11370,60,165.16124963760376,11505.161249637604,1,63680.0,1
vit@frgfm#imagenette-92,11696,64,256.16124963760376,11952.161249637604,1,85221.0,4
vit@frgfm#imagenette-93,11714,46,238.16124963760376,11952.161249637604,1,85221.0,4
vit@mnist-94,12013,214,1162.4837489128113,13068.483748912811,3,600000.0,1
vit@frgfm#imagenette-95,12033,87,279.16124963760376,12312.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-96,12036,84,189.16124963760376,12225.161249637604,1,63680.0,4
