name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,255,325.39900946617126,370.39900946617126,1,9170,16
roberta-base@sst2-1,92,208,453.39900946617126,545.3990094661713,1,168380,16
roberta-base@rte-2,766,134,209.39900946617126,975.3990094661713,1,4984.0,12
roberta-base@snli-3,786,114,2737.3940567970276,3523.3940567970276,6,1373440,10
roberta-base@qnli-4,1280,220,568.3990094661713,1848.3990094661713,1,261860,16
roberta-base@qqp-5,1987,113,1905.596037864685,3892.596037864685,4,909620.0,10
roberta-base@sst2-6,2229,171,416.39900946617126,2645.3990094661713,1,168380,16
roberta-base@qnli-7,2634,66,463.39900946617126,3097.3990094661713,1,261860,12
roberta-base@qnli-8,2660,40,437.39900946617126,3097.3990094661713,1,261860,12
roberta-base@qnli-9,3002,298,732.3990094661713,3734.3990094661713,1,261860,10
roberta-base@sst2-10,3002,298,672.7980189323425,3674.7980189323425,2,168380,10
roberta-base@sst2-11,3014,586,1003.7980189323425,4017.7980189323425,2,168380,2
roberta-base@mrpc-12,3459,441,553.3990094661713,4012.3990094661713,1,9170,2
roberta-base@wnli-13,3853,47,108.39900946617126,3961.3990094661713,1,159.0,2
roberta-base@rte-14,4072,128,208.39900946617126,4280.399009466171,1,4984.0,4
roberta-base@qnli-15,4853,247,644.3990094661713,5497.399009466171,1,261860,12
roberta-base@mnli-16,4906,194,1256.3990094661713,6162.399009466171,1,883584.0,12
roberta-base@qqp-17,4906,194,1892.1970283985138,6798.197028398514,3,909620.0,12
roberta-base@sst2-18,5098,2,279.39900946617126,5377.399009466171,1,168380,12
roberta-base@qqp-19,6003,297,2437.3940567970276,8440.394056797028,6,909620.0,4
roberta-base@mnli-20,6111,189,1210.1970283985138,7321.197028398514,3,883584.0,21
roberta-base@sst2-21,6467,133,410.39900946617126,6877.399009466171,1,168380,12
roberta-base@qnli-22,7246,254,917.1970283985138,8163.197028398514,3,261860,4
roberta-base@sst2-23,7246,554,978.7980189323425,8224.798018932343,2,168380,4
roberta-base@sst2-24,7328,172,837.1970283985138,8165.197028398514,3,168380,4
roberta-base@qnli-25,7430,70,733.1970283985138,8163.197028398514,3,261860,4
roberta-base@sst2-26,7490,10,675.1970283985138,8165.197028398514,3,168380,4
roberta-base@sst2-27,7516,284,791.7980189323425,8307.798018932343,2,168380,4
roberta-base@sst2-28,7670,130,637.7980189323425,8307.798018932343,2,168380,4
roberta-base@sst2-29,7719,81,588.7980189323425,8307.798018932343,2,168380,4
roberta-base@qnli-30,7774,326,1061.7980189323425,8835.798018932343,2,261860,16
roberta-base@rte-31,8067,33,113.39900946617126,8180.399009466171,1,4984.0,4
roberta-base@qnli-32,8264,136,689.7980189323425,8953.798018932343,2,261860,16
roberta-base@sst2-33,8267,133,584.7980189323425,8851.798018932343,2,168380,16
roberta-base@rte-34,8364,36,116.39900946617126,8480.399009466171,1,4984.0,4
roberta-base@qnli-35,8718,282,888.7980189323425,9606.798018932343,2,261860,2
roberta-base@qnli-36,8748,252,858.7980189323425,9606.798018932343,2,261860,2
roberta-base@qnli-37,8768,232,838.7980189323425,9606.798018932343,2,261860,2
roberta-base@mrpc-38,9026,274,386.39900946617126,9412.399009466171,1,9170,2
roberta-base@wnli-39,9147,153,214.39900946617126,9361.399009466171,1,159.0,2
roberta-base@mnli-40,9491,109,2272.19207572937,11763.19207572937,8,883584.0,4
roberta-base@wnli-41,9538,62,123.39900946617126,9661.399009466171,1,159.0,2
roberta-base@mrpc-42,9538,62,174.39900946617126,9712.399009466171,1,9170,2
roberta-base@mrpc-43,9538,62,174.39900946617126,9712.399009466171,1,9170,2
roberta-base@rte-44,9538,62,155.39900946617126,9693.399009466171,1,4984.0,2
roberta-base@wnli-45,9539,61,122.39900946617126,9661.399009466171,1,159.0,2
roberta-base@wnli-46,9539,61,122.39900946617126,9661.399009466171,1,159.0,2
roberta-base@qnli-47,9612,288,988.1970283985138,10600.197028398514,3,261860,4
roberta-base@mrpc-48,9707,193,264.39900946617126,9971.399009466171,1,9170,14
roberta-base@wnli-49,10052,148,209.39900946617126,10261.399009466171,1,159.0,2
roberta-base@rte-50,10462,38,118.39900946617126,10580.399009466171,1,4984.0,4
roberta-base@mrpc-51,10587,513,587.3990094661713,11174.399009466171,1,9170,9
roberta-base@snli-52,10617,183,3643.389104127884,14260.389104127884,11,1373440,12
roberta-base@mnli-53,10618,182,2128.3940567970276,12746.394056797028,6,883584.0,8
roberta-base@qqp-54,10618,182,2562.793066263199,13180.793066263199,7,909620.0,12
roberta-base@mrpc-55,10835,565,644.3990094661713,11479.399009466171,1,9170,6
roberta-base@rte-56,11194,206,290.39900946617126,11484.399009466171,1,4984.0,6
roberta-base@mrpc-57,11370,330,416.39900946617126,11786.399009466171,1,9170,4
roberta-base@mrpc-58,11370,330,416.39900946617126,11786.399009466171,1,9170,4
roberta-base@rte-59,11696,4,84.39900946617126,11780.399009466171,1,4984.0,4
roberta-base@stsb-60,11714,286,397.39900946617126,12111.399009466171,1,12942.0,4
roberta-base@wnli-61,12033,267,329.39900946617126,12362.399009466171,1,159.0,1
roberta-base@stsb-62,12079,521,632.3990094661713,12711.399009466171,1,12942.0,8
roberta-base@snli-63,12082,218,3460.9900946617126,15542.990094661713,10,1373440,12
roberta-base@wnli-64,12378,222,284.39900946617126,12662.399009466171,1,159.0,1
roberta-base@sst2-65,12456,144,552.7980189323425,13008.798018932343,2,168380,12
roberta-base@stsb-66,13108,92,203.39900946617126,13311.399009466171,1,12942.0,4
roberta-base@rte-67,13468,32,107.39900946617126,13575.399009466171,1,4984.0,12
roberta-base@qnli-68,13470,30,473.79801893234253,13943.798018932343,2,261860,16
roberta-base@wnli-69,13911,189,251.39900946617126,14162.399009466171,1,159.0,1
roberta-base@qqp-70,14031,69,2170.3940567970276,16201.394056797028,6,909620.0,12
roberta-base@qnli-71,14066,34,754.1970283985138,14820.197028398514,3,261860,10
roberta-base@qqp-72,14109,291,2563.793066263199,16672.7930662632,7,909620.0,12
roberta-base@sst2-73,14275,425,947.7980189323425,15222.798018932343,2,168380,12
roberta-base@wnli-74,14353,47,108.39900946617126,14461.399009466171,1,159.0,2
roberta-base@qnli-75,15165,135,603.7980189323425,15768.798018932343,2,261860,10
roberta-base@sst2-76,15342,258,631.7980189323425,15973.798018932343,2,168380,12
roberta-base@qnli-77,15496,404,975.7980189323425,16471.798018932343,2,261860,4
roberta-base@rte-78,16030,170,250.39900946617126,16280.399009466171,1,4984.0,4
roberta-base@wnli-79,16773,27,88.39900946617126,16861.39900946617,1,159.0,2
roberta-base@mrpc-80,17132,268,340.39900946617126,17472.39900946617,1,9170,12
roberta-base@wnli-81,17154,246,306.39900946617126,17460.39900946617,1,159.0,12
roberta-base@sst2-82,17159,241,518.3990094661713,17677.39900946617,1,168380,12
roberta-base@qqp-83,17263,137,2400.19207572937,19663.19207572937,8,909620.0,8
roberta-base@stsb-84,17581,119,230.39900946617126,17811.39900946617,1,12942.0,4
roberta-base@wnli-85,17864,136,197.39900946617126,18061.39900946617,1,159.0,2
roberta-base@wnli-86,18187,113,173.39900946617126,18360.39900946617,1,159.0,16
