name,finish_time_fairness
roberta-base@mrpc-0,0.63804
roberta-base@sst2-1,0.12876
roberta-base@rte-2,0.47322
roberta-base@snli-3,0.04726
roberta-base@qnli-4,0.03915
roberta-base@qqp-5,0.22094
roberta-base@sst2-6,0.2107
roberta-base@qnli-7,0.08464
roberta-base@qnli-8,0.05283
roberta-base@qnli-9,0.23847
roberta-base@sst2-10,0.34044
roberta-base@sst2-11,0.28507
roberta-base@mrpc-12,1.0851
roberta-base@wnli-13,7.2266
roberta-base@rte-14,0.47096
roberta-base@qnli-15,0.20982
roberta-base@mnli-16,0.12768
roberta-base@qqp-17,0.04932
roberta-base@sst2-18,0.14138
roberta-base@qqp-19,0.19822
roberta-base@mnli-20,0.12299
roberta-base@sst2-21,0.20767
roberta-base@qnli-22,0.16752
roberta-base@sst2-23,0.27797
roberta-base@sst2-24,0.23776
roberta-base@qnli-25,0.13392
roberta-base@sst2-26,0.19175
roberta-base@sst2-27,0.0848
roberta-base@sst2-28,0.18113
roberta-base@sst2-29,0.16721
roberta-base@qnli-30,0.07313
roberta-base@rte-31,0.25627
roberta-base@qnli-32,0.04751
roberta-base@sst2-33,0.06263
roberta-base@rte-34,0.26305
roberta-base@qnli-35,0.06121
roberta-base@qnli-36,0.10372
roberta-base@qnli-37,0.05777
roberta-base@mrpc-38,0.75765
roberta-base@wnli-39,14.29327
roberta-base@mnli-40,0.08344
roberta-base@wnli-41,8.2266
roberta-base@mrpc-42,0.34196
roberta-base@mrpc-43,0.34196
roberta-base@rte-44,0.35118
roberta-base@wnli-45,8.15993
roberta-base@wnli-46,8.15993
roberta-base@qnli-47,0.06806
roberta-base@mrpc-48,0.51843
roberta-base@wnli-49,13.95993
roberta-base@rte-50,0.26757
roberta-base@mrpc-51,1.15176
roberta-base@snli-52,0.19624
roberta-base@mnli-53,0.07816
roberta-base@qqp-54,0.20842
roberta-base@mrpc-55,2.23168
roberta-base@rte-56,1.19138
roberta-base@mrpc-57,1.44207
roberta-base@mrpc-58,0.81647
roberta-base@rte-59,0.19073
roberta-base@stsb-60,0.34745
roberta-base@wnli-61,21.95993
roberta-base@stsb-62,0.55292
roberta-base@snli-63,0.18641
roberta-base@wnli-64,18.95993
roberta-base@sst2-65,0.45639
roberta-base@stsb-66,0.17784
roberta-base@rte-67,0.24271
roberta-base@qnli-68,0.08654
roberta-base@wnli-69,16.75993
roberta-base@qqp-70,0.05658
roberta-base@qnli-71,0.05194
roberta-base@qqp-72,0.2085
roberta-base@sst2-73,0.1015
roberta-base@wnli-74,7.2266
roberta-base@qnli-75,0.1966
roberta-base@sst2-76,0.06766
roberta-base@qnli-77,0.31772
roberta-base@rte-78,0.56587
roberta-base@wnli-79,5.89327
roberta-base@mrpc-80,0.66745
roberta-base@wnli-81,20.4266
roberta-base@sst2-82,0.09735
roberta-base@qqp-83,0.06257
roberta-base@stsb-84,0.20144
roberta-base@wnli-85,13.15993
roberta-base@wnli-86,11.55993
roberta-base@sst2-87,0.05472
roberta-base@sst2-88,0.03324
roberta-base@qnli-89,0.17901
roberta-base@qqp-90,0.05264
roberta-base@sst2-91,0.17224
roberta-base@rte-92,0.92294
roberta-base@sst2-93,0.32729
roberta-base@sst2-94,0.32729
roberta-base@sst2-95,0.33892
roberta-base@qnli-96,0.05391
roberta-base@mnli-97,0.04095
roberta-base@sst2-98,0.05755
roberta-base@stsb-99,0.31598
roberta-base@sst2-100,0.34581
roberta-base@qnli-101,0.3075
roberta-base@stsb-102,0.13412
roberta-base@qnli-103,0.07289
roberta-base@qnli-104,0.27494
roberta-base@sst2-105,0.29521
roberta-base@sst2-106,0.29521
roberta-base@sst2-107,0.29521
roberta-base@sst2-108,0.2947
roberta-base@qnli-109,0.27461
roberta-base@sst2-110,0.2947
roberta-base@qnli-111,0.33947
roberta-base@sst2-112,0.44691
roberta-base@sst2-113,0.44691
roberta-base@rte-114,0.88
roberta-base@qnli-115,0.24706
roberta-base@mrpc-116,0.34588
roberta-base@qnli-117,0.43311
roberta-base@sst2-118,0.63261
roberta-base@qnli-119,0.43311
roberta-base@qnli-120,0.41345
roberta-base@qnli-121,0.41345
roberta-base@qnli-122,0.56088
roberta-base@sst2-123,0.66682
roberta-base@sst2-124,0.66682
roberta-base@qnli-125,0.56661
roberta-base@sst2-126,0.66682
roberta-base@sst2-127,0.66682
roberta-base@sst2-128,0.66682
roberta-base@qnli-129,0.50396
roberta-base@qnli-130,0.50396
roberta-base@qnli-131,0.50396
roberta-base@qnli-132,0.51145
roberta-base@sst2-133,0.66682
roberta-base@qnli-134,0.51145
roberta-base@sst2-135,0.66682
roberta-base@wnli-136,17.69327
roberta-base@wnli-137,16.55993
roberta-base@sst2-138,0.55499
roberta-base@sst2-139,0.58484
roberta-base@qnli-140,0.41573
roberta-base@qnli-141,0.29949
roberta-base@sst2-142,0.27294
roberta-base@qnli-143,0.03442
roberta-base@sst2-144,0.08775
roberta-base@qnli-145,0.06431
roberta-base@stsb-146,0.14636
roberta-base@stsb-147,0.128
roberta-base@qnli-148,0.20116
roberta-base@sst2-149,0.22841
roberta-base@sst2-150,0.15302
roberta-base@stsb-151,0.24516
roberta-base@sst2-152,0.03828
roberta-base@qnli-153,0.0609
roberta-base@rte-154,0.5139
roberta-base@rte-155,0.24949
roberta-base@mrpc-156,0.81059
roberta-base@wnli-157,7.8266
roberta-base@sst2-158,0.04352
roberta-base@mnli-159,0.07882
roberta-base@qnli-160,0.32599
roberta-base@sst2-161,0.43932
roberta-base@wnli-162,13.6266
roberta-base@sst2-163,0.26353
roberta-base@rte-164,0.22915
roberta-base@sst2-165,0.09204
roberta-base@sst2-166,0.32304
roberta-base@qnli-167,0.30404
roberta-base@sst2-168,0.32304
roberta-base@sst2-169,0.32304
roberta-base@qnli-170,0.30404
roberta-base@sst2-171,0.32304
roberta-base@qnli-172,0.30404
roberta-base@sst2-173,0.49073
roberta-base@qnli-174,0.38492
roberta-base@sst2-175,0.49073
roberta-base@qnli-176,0.38492
roberta-base@sst2-177,0.59243
roberta-base@sst2-178,0.59598
roberta-base@qnli-179,0.36285
