full_resource,free_resource,pending_num,running_num,submit_num
48,48,0,0,0
48,16,0,2,2
48,48,0,0,0
48,24,0,2,2
48,36,0,1,0
48,16,0,2,1
48,16,0,2,0
48,24,0,2,1
48,0,0,3,1
48,0,0,4,2
48,0,0,4,0
48,9,1,4,3
48,9,1,4,1
48,42,0,3,1
48,44,0,1,1
48,48,0,0,0
48,48,0,0,0
48,0,0,4,4
48,12,0,3,0
48,24,0,2,0
48,24,0,2,0
48,0,0,3,2
48,0,0,4,1
48,0,0,2,0
48,0,0,2,0
48,0,0,6,5
48,10,2,8,4
48,4,0,11,1
48,28,0,5,3
48,0,0,3,0
48,0,0,3,3
48,38,0,5,2
48,28,0,10,7
48,6,0,3,2
48,42,0,3,1
48,36,0,3,1
48,8,1,4,4
48,7,1,5,1
48,12,2,6,3
48,20,0,7,1
48,32,0,4,1
48,7,1,5,3
48,0,0,7,2
48,0,0,4,0
48,36,0,3,1
48,0,0,4,2
48,0,0,3,0
48,0,0,5,3
48,36,0,6,3
48,9,1,4,0
48,0,0,4,0
48,0,0,4,1
48,9,1,4,2
48,0,0,4,0
48,36,0,3,1
48,36,0,1,0
48,46,0,1,1
48,48,0,0,0
48,0,0,4,4
48,40,0,2,1
48,44,0,2,1
48,0,0,3,2
48,36,0,1,0
48,16,0,2,1
48,0,0,4,3
48,0,0,7,4
48,9,1,4,1
48,0,0,3,1
48,0,0,4,1
48,0,0,2,0
48,0,0,2,0
48,32,0,4,4
48,0,0,13,11
48,3,1,12,1
48,20,0,7,0
48,6,0,3,2
48,0,0,20,19
48,6,0,21,2
48,0,0,22,3
48,8,2,20,0
48,12,3,8,1
48,0,0,5,0
48,0,0,3,2
48,32,0,4,3
48,36,0,3,1
48,0,0,4,3
48,0,0,3,2
48,10,1,3,4
48,42,0,3,1
48,16,0,2,1
48,21,0,1,1
48,40,0,4,3
48,28,0,5,2
48,9,1,4,1
48,0,0,15,13
48,0,0,15,0
48,12,3,8,1
48,9,1,4,0
48,32,0,1,0
48,32,0,1,0
48,48,0,0,0
