name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,255,337.34559297561646,382.34559297561646,1,9170,12
roberta-large@qnli-1,1280,220,1403.691185951233,2683.691185951233,2,235674.0,9
roberta-large@sst2-2,1987,113,488.34559297561646,2475.3455929756165,1,84190.0,9
roberta-large@qnli-3,2634,66,1249.691185951233,3883.691185951233,2,235674.0,9
roberta-large@qnli-4,2660,40,1223.691185951233,3883.691185951233,2,235674.0,9
roberta-large@sst2-5,3002,298,673.3455929756165,3675.3455929756165,1,84190.0,9
roberta-large@qnli-6,4853,247,1195.3455929756165,6048.3455929756165,1,235674.0,9
roberta-large@mnli-7,4906,194,3509.0367789268494,8415.03677892685,3,785408.0,8
roberta-large@qqp-8,6003,297,4913.455929756165,10916.455929756165,10,909620.0,9
roberta-large@mnli-9,6111,189,4088.419150829315,10199.419150829315,7,785408.0,6
roberta-large@qnli-10,7246,254,1517.3823719024658,8763.382371902466,4,235674.0,6
roberta-large@sst2-11,7328,172,646.6911859512329,7974.691185951233,2,84190.0,5
roberta-large@wnli-12,7516,284,348.34559297561646,7864.3455929756165,1,1590.0,5
roberta-large@rte-13,8067,33,120.34559297561646,8187.3455929756165,1,4984.0,8
roberta-large@rte-14,8364,36,123.34559297561646,8487.345592975616,1,4984.0,8
roberta-large@qnli-15,8748,252,1854.0735578536987,10602.073557853699,6,235674.0,10
roberta-large@qnli-16,8768,232,1834.0735578536987,10602.073557853699,6,235674.0,10
roberta-large@rte-17,9147,153,240.34559297561646,9387.345592975616,1,4984.0,8
roberta-large@wnli-18,9538,62,126.34559297561646,9664.345592975616,1,1590.0,5
roberta-large@mrpc-19,9538,62,174.34559297561646,9712.345592975616,1,9170,5
roberta-large@wnli-20,9539,61,125.34559297561646,9664.345592975616,1,1590.0,5
roberta-large@qnli-21,9612,288,1557.3823719024658,11169.382371902466,4,235674.0,9
roberta-large@wnli-22,10052,148,212.34559297561646,10264.345592975616,1,1590.0,5
roberta-large@mrpc-23,10462,338,426.34559297561646,10888.345592975616,1,9170,9
roberta-large@sst2-24,10617,183,558.3455929756165,11175.345592975616,1,84190.0,9
roberta-large@mnli-25,10618,182,3422.0367789268494,14040.03677892685,3,785408.0,9
roberta-large@rte-26,11194,206,293.34559297561646,11487.345592975616,1,4984.0,8
roberta-large@rte-27,11696,4,91.34559297561646,11787.345592975616,1,4984.0,8
roberta-large@stsb-28,11714,286,385.34559297561646,12099.345592975616,1,12942.0,9
roberta-large@sst2-29,12456,144,519.3455929756165,12975.345592975616,1,84190.0,9
roberta-large@stsb-30,13108,92,191.34559297561646,13299.345592975616,1,12942.0,9
roberta-large@rte-31,13468,32,115.34559297561646,13583.345592975616,1,4984.0,9
roberta-large@sst2-32,13470,30,405.34559297561646,13875.345592975616,1,84190.0,9
roberta-large@rte-33,13911,189,286.34559297561646,14197.345592975616,1,4984.0,6
roberta-large@qqp-34,14031,69,4618.073557853699,18649.0735578537,6,909620.0,9
roberta-large@qqp-35,14109,291,4705.727964878082,18814.727964878082,5,909620.0,9
roberta-large@sst2-36,14275,125,500.34559297561646,14775.345592975616,1,84190.0,9
roberta-large@rte-37,16030,170,257.34559297561646,16287.345592975616,1,4984.0,8
roberta-large@mrpc-38,17132,268,356.34559297561646,17488.345592975616,1,9170,9
roberta-large@snli-39,17263,137,3934.382371902466,21197.382371902466,4,824064.0,6
roberta-large@wnli-40,18835,65,129.34559297561646,18964.345592975616,1,1590.0,5
roberta-large@qnli-41,19136,64,1086.691185951233,20222.691185951233,2,235674.0,6
roberta-large@qqp-42,19137,63,5123.764743804932,24260.76474380493,8,909620.0,1
roberta-large@sst2-43,19137,63,438.34559297561646,19575.345592975616,1,84190.0,9
roberta-large@sst2-44,19247,253,627.3455929756165,19874.345592975616,1,84190.0,9
roberta-large@qnli-45,20006,94,1478.691185951233,21484.691185951233,2,235674.0,9
roberta-large@stsb-46,21258,42,141.34559297561646,21399.345592975616,1,12942.0,9
roberta-large@qnli-47,21547,53,1091.0367789268494,22638.03677892685,3,235674.0,5
