name,finish_time_fairness
roberta-large@mrpc-0,0.48106
roberta-large@qnli-1,0.08608
roberta-large@sst2-2,0.16038
roberta-large@qnli-3,0.23134
roberta-large@qnli-4,0.13599
roberta-large@sst2-5,0.67125
roberta-large@qnli-6,0.32643
roberta-large@mnli-7,0.12355
roberta-large@qqp-8,0.14147
roberta-large@mnli-9,0.14395
roberta-large@qnli-10,0.2809
roberta-large@sst2-11,0.37735
roberta-large@wnli-12,1.78639
roberta-large@rte-13,0.19749
roberta-large@rte-14,0.20241
roberta-large@qnli-15,0.20605
roberta-large@qnli-16,0.11247
roberta-large@rte-17,0.39441
roberta-large@wnli-18,0.64793
roberta-large@mrpc-19,0.24862
roberta-large@wnli-20,0.6428
roberta-large@qnli-21,0.0955
roberta-large@wnli-22,1.08895
roberta-large@mrpc-23,0.60798
roberta-large@sst2-24,0.18336
roberta-large@mnli-25,0.36582
roberta-large@rte-26,0.90434
roberta-large@rte-27,0.1499
roberta-large@stsb-28,0.44873
roberta-large@sst2-29,0.76095
roberta-large@stsb-30,0.22282
roberta-large@rte-31,0.18929
roberta-large@sst2-32,0.23653
roberta-large@rte-33,0.4699
roberta-large@qqp-34,0.3267
roberta-large@qqp-35,0.3329
roberta-large@sst2-36,0.08964
roberta-large@rte-37,0.42231
roberta-large@mrpc-38,0.50816
roberta-large@snli-39,0.40083
roberta-large@wnli-40,0.66331
roberta-large@qnli-41,0.29676
roberta-large@qqp-42,0.36247
roberta-large@sst2-43,0.43698
roberta-large@sst2-44,0.62539
roberta-large@qnli-45,0.16433
roberta-large@stsb-46,0.16459
roberta-large@qnli-47,0.29794
roberta-large@sst2-48,0.46524
roberta-large@qnli-49,0.29767
roberta-large@sst2-50,0.76331
roberta-large@mrpc-51,1.02866
roberta-large@qnli-52,0.57922
roberta-large@wnli-53,0.86844
roberta-large@qnli-54,0.52997
roberta-large@sst2-55,1.32655
roberta-large@sst2-56,1.32655
roberta-large@qnli-57,0.52997
roberta-large@sst2-58,1.66782
roberta-large@sst2-59,1.86785
roberta-large@qnli-60,0.56611
roberta-large@sst2-61,1.86785
roberta-large@sst2-62,1.86785
roberta-large@sst2-63,1.86785
roberta-large@sst2-64,1.57078
roberta-large@sst2-65,1.74658
roberta-large@sst2-66,1.41427
roberta-large@sst2-67,1.28268
roberta-large@qnli-68,0.46935
roberta-large@qnli-69,0.5327
roberta-large@qnli-70,0.08412
roberta-large@qnli-71,0.07774
roberta-large@stsb-72,0.15644
roberta-large@sst2-73,0.54763
roberta-large@sst2-74,0.3981
roberta-large@rte-75,0.41246
roberta-large@mrpc-76,0.20869
roberta-large@wnli-77,0.33511
roberta-large@stsb-78,0.1809
roberta-large@qnli-79,0.09955
roberta-large@qnli-80,0.17852
roberta-large@qnli-81,0.42684
roberta-large@wnli-82,1.06331
roberta-large@sst2-83,0.49016
roberta-large@qnli-84,0.0879
roberta-large@sst2-85,0.61742
roberta-large@qnli-86,0.413
roberta-large@qnli-87,0.413
roberta-large@sst2-88,0.91548
roberta-large@qnli-89,0.57658
