name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,459.16124963760376,504.16124963760376,1,85221.0,20
vit@imagenet-split-1-1,92,208,783.3224992752075,875.3224992752075,2,750000,4
vit@frgfm#imagenette-2,491,109,286.16124963760376,777.1612496376038,1,85221.0,4
vit@Bingsu#Cat_and_Dog-3,766,134,224.16124963760376,990.1612496376038,1,63680.0,4
vit@food101-4,786,114,1615.4837489128113,2401.4837489128113,3,757500.0,4
vit@imagenet-split-0-5,1280,220,469.16124963760376,1749.1612496376038,1,250000.0,16
vit@Bingsu#Cat_and_Dog-6,1322,178,239.16124963760376,1561.1612496376038,1,63680.0,16
vit@mnist-7,1576,224,1359.3224992752075,2935.3224992752075,2,600000.0,4
vit@Bingsu#Cat_and_Dog-8,1747,53,114.16124963760376,1861.1612496376038,1,63680.0,16
vit@imagenet-split-2-9,1987,113,1936.4837489128113,3923.4837489128113,3,1000000.0,4
vit@imagenet-split-1-10,2229,171,889.1612496376038,3118.1612496376038,1,750000,4
vit@imagenet-split-2-11,2296,104,1927.4837489128113,4223.483748912811,3,1000000.0,4
vit@food101-12,2296,104,1520.4837489128113,3816.4837489128113,3,757500.0,4
vit@mnist-13,2374,26,1135.3224992752075,3509.3224992752075,2,600000.0,5
vit@imagenet-split-1-14,2634,66,805.3224992752075,3439.3224992752075,2,750000,5
vit@imagenet-split-2-15,2660,40,1918.644998550415,4578.644998550415,4,1000000.0,14
vit@mnist-16,3002,298,1425.3224992752075,4427.3224992752075,2,600000.0,4
vit@mnist-17,3002,298,1425.3224992752075,4427.3224992752075,2,600000.0,4
vit@imagenet-split-0-18,3014,586,877.1612496376038,3891.1612496376038,1,250000.0,4
vit@imagenet-split-1-19,3350,250,968.1612496376038,4318.161249637604,1,750000,4
vit@frgfm#imagenette-20,3459,141,318.16124963760376,3777.1612496376038,1,85221.0,4
vit@frgfm#imagenette-21,3853,47,224.16124963760376,4077.1612496376038,1,85221.0,4
vit@imagenet-split-2-22,3999,201,2412.1287474632263,6411.128747463226,7,1000000.0,4
vit@frgfm#imagenette-23,4072,128,305.16124963760376,4377.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-24,4256,244,307.16124963760376,4563.161249637604,1,63680.0,11
vit@Bingsu#Cat_and_Dog-25,4295,505,566.1612496376038,4861.161249637604,1,63680.0,16
vit@mnist-26,4853,247,1541.644998550415,6394.644998550415,4,600000.0,4
vit@fashion_mnist-27,4853,247,653.3224992752075,5506.3224992752075,2,600000.0,6
vit@food101-28,4906,194,1753.644998550415,6659.644998550415,4,757500.0,4
vit@food101-29,4906,194,1753.644998550415,6659.644998550415,4,757500.0,4
vit@fashion_mnist-30,5098,2,408.3224992752075,5506.3224992752075,2,600000.0,6
vit@fashion_mnist-31,5295,405,835.3224992752075,6130.3224992752075,2,600000.0,4
vit@Bingsu#Cat_and_Dog-32,5345,355,424.16124963760376,5769.161249637604,1,63680.0,8
vit@frgfm#imagenette-33,5792,208,385.16124963760376,6177.161249637604,1,85221.0,4
vit@imagenet-split-2-34,6003,297,2009.1612496376038,8012.161249637604,1,1000000.0,4
vit@food101-35,6022,278,1738.3224992752075,7760.3224992752075,2,757500.0,1
vit@food101-36,6111,189,1649.3224992752075,7760.3224992752075,2,757500.0,1
vit@fashion_mnist-37,6432,168,729.1612496376038,7161.161249637604,1,600000.0,4
vit@mnist-38,6467,133,1370.3224992752075,7837.3224992752075,2,600000.0,1
vit@frgfm#imagenette-39,6828,72,249.16124963760376,7077.161249637604,1,85221.0,4
vit@mnist-40,6858,42,1083.1612496376038,7941.161249637604,1,600000.0,4
vit@fashion_mnist-41,6987,213,774.1612496376038,7761.161249637604,1,600000.0,4
vit@cifar100-42,7000,200,673.1612496376038,7673.161249637604,1,500000.0,4
vit@frgfm#imagenette-43,7190,10,187.16124963760376,7377.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-44,7206,294,539.1612496376038,7745.161249637604,1,63680.0,1
vit@imagenet-split-0-45,7246,254,545.1612496376038,7791.161249637604,1,250000.0,4
vit@cifar100-46,7246,254,727.1612496376038,7973.161249637604,1,500000.0,4
vit@imagenet-split-1-47,7328,172,890.1612496376038,8218.161249637604,1,750000,4
vit@fashion_mnist-48,7380,120,681.1612496376038,8061.161249637604,1,600000.0,4
