name,finish_time_fairness
vit@frgfm#imagenette-0,0.07466
vit@imagenet-split-1-1,0.05934
vit@frgfm#imagenette-2,0.04653
vit@Bingsu#Cat_and_Dog-3,0.07977
vit@food101-4,0.07404
vit@imagenet-split-0-5,0.02837
vit@Bingsu#Cat_and_Dog-6,0.08511
vit@mnist-7,0.07866
vit@Bingsu#Cat_and_Dog-8,0.04063
vit@imagenet-split-2-9,0.06722
vit@imagenet-split-1-10,0.11115
vit@imagenet-split-2-11,0.04532
vit@food101-12,0.04719
vit@mnist-13,0.02623
vit@imagenet-split-1-14,0.06101
vit@imagenet-split-2-15,0.0666
vit@mnist-16,0.08248
vit@mnist-17,0.08248
vit@imagenet-split-0-18,0.18198
vit@imagenet-split-1-19,0.07335
vit@frgfm#imagenette-20,0.05173
vit@frgfm#imagenette-21,0.03645
vit@imagenet-split-2-22,0.05672
vit@frgfm#imagenette-23,0.04962
vit@Bingsu#Cat_and_Dog-24,0.10931
vit@Bingsu#Cat_and_Dog-25,0.20148
vit@mnist-26,0.08922
vit@fashion_mnist-27,0.11187
vit@food101-28,0.08107
vit@food101-29,0.05443
vit@fashion_mnist-30,0.06992
vit@fashion_mnist-31,0.14303
vit@Bingsu#Cat_and_Dog-32,0.15095
vit@frgfm#imagenette-33,0.06263
vit@imagenet-split-2-34,0.04724
vit@food101-35,0.05395
vit@food101-36,0.05119
vit@fashion_mnist-37,0.02755
vit@mnist-38,0.0793
vit@frgfm#imagenette-39,0.04051
vit@mnist-40,0.02503
vit@fashion_mnist-41,0.07523
vit@cifar100-42,0.03052
vit@frgfm#imagenette-43,0.03043
vit@Bingsu#Cat_and_Dog-44,0.19187
vit@imagenet-split-0-45,0.1131
vit@cifar100-46,0.08485
vit@imagenet-split-1-47,0.06744
vit@fashion_mnist-48,0.0662
vit@cifar100-49,0.07332
vit@fashion_mnist-50,0.08634
vit@imagenet-split-1-51,0.06489
vit@Bingsu#Cat_and_Dog-52,0.13885
vit@imagenet-split-1-53,0.09869
vit@imagenet-split-2-54,0.0496
vit@cifar100-55,0.08965
vit@mnist-56,0.09817
vit@frgfm#imagenette-57,0.08409
vit@imagenet-split-0-58,0.1565
vit@imagenet-split-2-59,0.05516
vit@frgfm#imagenette-60,0.05775
vit@Bingsu#Cat_and_Dog-61,0.14098
vit@fashion_mnist-62,0.09422
vit@cifar100-63,0.04562
vit@imagenet-split-1-64,0.14293
vit@Bingsu#Cat_and_Dog-65,0.09899
vit@imagenet-split-0-66,0.04712
vit@imagenet-split-1-67,0.13906
vit@fashion_mnist-68,0.04955
vit@imagenet-split-1-69,0.13505
vit@frgfm#imagenette-70,0.08539
vit@imagenet-split-2-71,0.07962
vit@imagenet-split-1-72,0.04585
vit@mnist-73,0.03608
vit@cifar100-74,0.04652
vit@imagenet-split-0-75,0.03707
vit@imagenet-split-1-76,0.04558
vit@Bingsu#Cat_and_Dog-77,0.10006
vit@imagenet-split-1-78,0.04209
vit@fashion_mnist-79,0.22782
vit@Bingsu#Cat_and_Dog-80,0.1513
vit@cifar100-81,0.09722
vit@imagenet-split-2-82,0.05388
vit@cifar100-83,0.05515
vit@Bingsu#Cat_and_Dog-84,0.12746
vit@frgfm#imagenette-85,0.06621
vit@Bingsu#Cat_and_Dog-86,0.08333
vit@Bingsu#Cat_and_Dog-87,0.08298
vit@frgfm#imagenette-88,0.10019
vit@fashion_mnist-89,0.04543
vit@frgfm#imagenette-90,0.08051
vit@imagenet-split-1-91,0.14669
vit@food101-92,0.0732
vit@frgfm#imagenette-93,0.04718
vit@frgfm#imagenette-94,0.04718
vit@frgfm#imagenette-95,0.04718
vit@frgfm#imagenette-96,0.04718
vit@frgfm#imagenette-97,0.04718
vit@frgfm#imagenette-98,0.04718
vit@frgfm#imagenette-99,0.04718
vit@Bingsu#Cat_and_Dog-100,0.10931
vit@frgfm#imagenette-101,0.04702
vit@Bingsu#Cat_and_Dog-102,0.10895
vit@frgfm#imagenette-103,0.06851
vit@Bingsu#Cat_and_Dog-104,0.10895
vit@Bingsu#Cat_and_Dog-105,0.10575
vit@frgfm#imagenette-106,0.08393
vit@Bingsu#Cat_and_Dog-107,0.11963
vit@imagenet-split-0-108,0.16338
vit@frgfm#imagenette-109,0.05287
vit@Bingsu#Cat_and_Dog-110,0.12212
vit@imagenet-split-1-111,0.1199
vit@mnist-112,0.06189
vit@Bingsu#Cat_and_Dog-113,0.10874
vit@frgfm#imagenette-114,0.03499
vit@Bingsu#Cat_and_Dog-115,0.16305
vit@Bingsu#Cat_and_Dog-116,0.15379
vit@food101-117,0.04619
vit@imagenet-split-2-118,0.04656
vit@food101-119,0.04616
vit@food101-120,0.04616
vit@imagenet-split-2-121,0.07372
vit@imagenet-split-2-122,0.04761
vit@food101-123,0.04877
vit@imagenet-split-2-124,0.04652
vit@frgfm#imagenette-125,0.12601
vit@fashion_mnist-126,0.18279
vit@frgfm#imagenette-127,0.10881
vit@frgfm#imagenette-128,0.09986
vit@frgfm#imagenette-129,0.11993
vit@frgfm#imagenette-130,0.07132
vit@Bingsu#Cat_and_Dog-131,0.06162
vit@frgfm#imagenette-132,0.08927
vit@frgfm#imagenette-133,0.02946
vit@frgfm#imagenette-134,0.07531
vit@mnist-135,0.03525
vit@frgfm#imagenette-136,0.07222
vit@Bingsu#Cat_and_Dog-137,0.1812
vit@frgfm#imagenette-138,0.07157
vit@cifar100-139,0.03283
vit@imagenet-split-1-140,0.11781
vit@Bingsu#Cat_and_Dog-141,0.16589
vit@imagenet-split-2-142,0.05175
vit@fashion_mnist-143,0.06305
vit@mnist-144,0.07844
vit@Bingsu#Cat_and_Dog-145,0.16625
vit@Bingsu#Cat_and_Dog-146,0.1449
vit@imagenet-split-1-147,0.19886
vit@frgfm#imagenette-148,0.13209
