full_resource,free_resource,pending_num,running_num,submit_num
48,48,0,0,0
48,8,0,2,2
48,40,0,2,1
48,40,0,2,2
48,44,0,1,0
48,0,0,3,2
48,0,0,3,2
48,36,0,3,1
48,20,0,7,4
48,16,0,8,2
48,20,0,7,0
48,5,1,8,3
48,12,0,9,2
48,20,0,7,1
48,20,0,7,2
48,11,1,3,2
48,16,0,2,0
48,0,0,6,5
48,12,2,6,2
48,0,0,6,0
48,24,0,6,1
48,20,0,7,3
48,20,0,7,2
48,20,0,7,2
48,16,0,8,3
48,0,0,15,8
48,6,2,13,6
48,6,2,15,9
48,4,2,20,12
48,0,0,20,1
48,0,0,23,8
48,0,0,20,4
48,0,0,32,14
48,0,0,17,2
48,20,0,7,2
48,20,0,7,5
48,0,0,14,10
48,6,2,12,4
48,0,0,15,3
48,4,0,11,2
48,12,0,9,1
48,4,1,12,9
48,5,1,10,4
48,8,2,8,4
48,4,0,11,4
48,0,0,12,5
48,24,0,6,1
48,6,1,6,3
48,12,0,9,4
48,16,0,8,2
48,0,0,6,1
48,5,1,8,5
48,8,2,10,4
48,6,1,7,0
48,11,2,7,4
48,24,0,6,1
48,28,0,5,2
48,16,0,2,1
48,20,0,7,6
48,32,0,4,1
48,11,1,3,1
48,20,0,7,3
48,12,0,9,4
48,0,0,6,3
48,4,0,11,7
48,0,0,24,13
48,0,0,25,3
48,12,4,12,2
48,0,0,18,4
48,6,2,13,1
48,16,0,8,2
48,6,1,6,4
48,0,0,38,32
48,0,0,40,3
48,2,1,37,2
48,0,0,35,4
48,0,41,48,57
48,0,43,48,5
48,0,40,48,9
48,0,31,48,3
48,0,27,48,2
48,0,27,48,3
48,0,28,48,4
48,0,31,48,8
48,0,24,48,3
48,0,20,48,10
48,0,11,48,5
48,0,10,48,6
48,0,2,48,5
48,0,0,48,5
48,4,2,41,4
48,2,1,40,4
48,2,1,32,3
48,0,0,29,2
48,0,14,48,50
48,0,12,48,3
48,0,14,48,5
48,0,9,48,0
48,0,8,48,0
48,0,4,48,0
48,6,3,37,0
48,4,2,24,0
48,9,1,5,0
48,8,0,2,0
48,8,0,2,0
48,44,0,1,0
48,44,0,1,0
48,44,0,1,0
48,48,0,0,0
