name,finish_time_fairness
roberta-base@mrpc-0,0.63804
roberta-base@qnli-1,0.10163
roberta-base@wnli-2,12.95993
roberta-base@snli-3,0.18647
roberta-base@qnli-4,0.06076
roberta-base@wnli-5,15.95993
roberta-base@qqp-6,0.06302
roberta-base@qnli-7,0.19074
roberta-base@qnli-8,0.09184
roberta-base@mnli-9,0.08513
roberta-base@qnli-10,0.35008
roberta-base@sst2-11,0.33437
roberta-base@sst2-12,0.36856
roberta-base@wnli-13,13.49327
roberta-base@rte-14,0.28791
roberta-base@rte-15,0.47096
roberta-base@wnli-16,17.75993
roberta-base@qnli-17,0.19972
roberta-base@qnli-18,0.19972
roberta-base@mnli-19,0.1262
roberta-base@mnli-20,0.0456
roberta-base@qnli-21,0.30945
roberta-base@qqp-22,0.06599
roberta-base@mnli-23,0.04293
roberta-base@qnli-24,0.15674
roberta-base@wnli-25,4.75993
roberta-base@qnli-26,0.13549
roberta-base@sst2-27,0.15375
roberta-base@sst2-28,0.13046
roberta-base@sst2-29,0.12319
roberta-base@qnli-30,0.17549
roberta-base@sst2-31,0.07205
roberta-base@qnli-32,0.14261
roberta-base@qnli-33,0.13384
roberta-base@sst2-34,0.04464
roberta-base@sst2-35,0.23185
roberta-base@stsb-36,0.22942
roberta-base@sst2-37,0.0628
roberta-base@rte-38,0.25627
roberta-base@sst2-39,0.19391
roberta-base@qnli-40,0.04751
roberta-base@qnli-41,0.0473
roberta-base@rte-42,0.26305
roberta-base@stsb-43,0.34396
roberta-base@qnli-44,0.15775
roberta-base@qqp-45,0.276
roberta-base@qnli-46,0.09003
roberta-base@stsb-47,0.17696
roberta-base@wnli-48,22.35993
roberta-base@wnli-49,14.29327
roberta-base@snli-50,0.22478
roberta-base@wnli-51,8.2266
roberta-base@mrpc-52,0.34196
roberta-base@mrpc-53,0.34196
roberta-base@stsb-54,0.18133
roberta-base@rte-55,0.35118
roberta-base@wnli-56,8.15993
roberta-base@wnli-57,8.15993
roberta-base@qnli-58,0.07522
roberta-base@mrpc-59,1.18706
roberta-base@wnli-60,13.95993
roberta-base@rte-61,0.26757
roberta-base@wnli-62,18.29327
roberta-base@snli-63,0.06305
roberta-base@mnli-64,0.07831
roberta-base@snli-65,0.063
roberta-base@rte-66,1.41702
roberta-base@rte-67,1.17497
roberta-base@mrpc-68,0.40311
roberta-base@rte-69,0.24949
roberta-base@rte-70,0.19073
roberta-base@stsb-71,0.34745
roberta-base@rte-72,0.87322
roberta-base@stsb-73,0.28363
roberta-base@snli-74,0.21296
roberta-base@wnli-75,18.95993
roberta-base@sst2-76,1.01531
roberta-base@stsb-77,0.17784
roberta-base@qnli-78,0.05543
roberta-base@rte-79,0.34214
roberta-base@qnli-80,0.09859
roberta-base@qqp-81,0.07349
roberta-base@wnli-82,16.75993
roberta-base@qqp-83,0.0627
roberta-base@sst2-84,0.0863
roberta-base@qqp-85,0.21463
roberta-base@sst2-86,0.12892
roberta-base@rte-87,0.28791
roberta-base@qnli-88,0.3073
roberta-base@sst2-89,0.06788
roberta-base@qnli-90,0.44549
roberta-base@rte-91,0.59525
roberta-base@wnli-92,15.2266
roberta-base@stsb-93,0.121
roberta-base@sst2-94,0.15504
roberta-base@wnli-95,22.75993
roberta-base@mrpc-96,0.66745
roberta-base@wnli-97,20.4266
roberta-base@sst2-98,0.09735
roberta-base@qqp-99,0.21894
roberta-base@wnli-100,12.0266
roberta-base@mrpc-101,0.40666
roberta-base@wnli-102,11.55993
roberta-base@snli-103,0.21254
roberta-base@stsb-104,0.2609
roberta-base@rte-105,0.32859
roberta-base@qnli-106,0.25045
roberta-base@qnli-107,0.25045
roberta-base@qnli-108,0.25045
roberta-base@qqp-109,0.0689
roberta-base@sst2-110,0.4381
roberta-base@stsb-111,0.43926
roberta-base@sst2-112,0.38244
roberta-base@sst2-113,0.3625
roberta-base@sst2-114,0.3625
roberta-base@qnli-115,0.36396
roberta-base@qnli-116,0.52526
roberta-base@sst2-117,0.71843
roberta-base@wnli-118,22.4266
roberta-base@sst2-119,0.10001
roberta-base@mnli-120,0.07348
roberta-base@wnli-121,7.6266
roberta-base@sst2-122,0.0698
roberta-base@sst2-123,0.07762
roberta-base@rte-124,0.74666
roberta-base@sst2-125,0.34581
roberta-base@sst2-126,0.34581
roberta-base@stsb-127,0.13412
roberta-base@qnli-128,0.07289
roberta-base@qnli-129,0.27494
roberta-base@qnli-130,0.27494
roberta-base@sst2-131,0.29521
roberta-base@sst2-132,0.29521
roberta-base@sst2-133,0.38618
roberta-base@sst2-134,0.44691
roberta-base@qnli-135,0.36389
roberta-base@sst2-136,0.44691
roberta-base@sst2-137,0.44691
roberta-base@sst2-138,0.44691
roberta-base@qnli-139,0.36389
roberta-base@qnli-140,0.36389
roberta-base@qnli-141,0.36389
roberta-base@qnli-142,0.43552
roberta-base@qnli-143,0.43552
roberta-base@rte-144,0.88
roberta-base@qnli-145,0.68285
roberta-base@mrpc-146,1.11255
roberta-base@qnli-147,0.55456
roberta-base@sst2-148,0.67228
roberta-base@qnli-149,0.51178
roberta-base@qnli-150,0.51178
roberta-base@sst2-151,0.58363
roberta-base@sst2-152,0.58363
roberta-base@qnli-153,0.51178
roberta-base@sst2-154,0.58363
roberta-base@sst2-155,0.58312
roberta-base@sst2-156,0.58312
roberta-base@qnli-157,0.51145
roberta-base@sst2-158,0.58312
roberta-base@sst2-159,0.58312
roberta-base@sst2-160,0.66682
roberta-base@qnli-161,0.51145
roberta-base@qnli-162,0.51145
roberta-base@qnli-163,0.51145
roberta-base@qnli-164,0.51145
roberta-base@sst2-165,0.66682
roberta-base@qnli-166,0.51145
roberta-base@qnli-167,0.51145
roberta-base@sst2-168,0.66682
roberta-base@qnli-169,0.52903
roberta-base@sst2-170,0.7578
roberta-base@sst2-171,0.7578
roberta-base@qnli-172,0.57657
roberta-base@sst2-173,0.75729
roberta-base@wnli-174,17.69327
roberta-base@wnli-175,16.55993
roberta-base@sst2-176,0.62026
roberta-base@sst2-177,0.62026
roberta-base@rte-178,0.65175
roberta-base@stsb-179,0.31073
