full_resource,free_resource,pending_num,running_num,submit_num
64,64,0,0,0
64,32,0,2,2
64,48,0,1,0
64,40,0,2,2
64,52,0,1,0
64,58,0,3,2
64,32,0,2,0
64,28,0,3,1
64,16,0,3,1
64,12,1,4,2
64,0,0,4,0
64,10,1,5,3
64,50,0,7,1
64,40,0,6,1
64,44,0,5,1
64,60,0,2,1
64,37,0,1,0
64,12,1,4,5
64,12,1,4,0
64,16,0,3,0
64,16,0,3,0
64,10,0,2,2
64,16,0,3,1
64,16,0,3,0
64,58,0,3,1
64,10,1,5,5
64,0,0,8,4
64,24,0,10,4
64,24,0,10,4
64,16,0,3,0
64,44,0,5,5
64,54,0,5,2
64,42,0,11,8
64,10,1,5,2
64,54,0,5,1
64,48,0,4,1
64,0,0,6,4
64,40,0,6,1
64,32,0,8,3
64,40,0,6,1
64,40,0,6,1
64,10,1,6,3
64,10,1,6,2
64,12,1,4,0
64,40,0,6,1
64,0,0,8,3
64,10,1,5,1
64,10,1,6,3
64,36,0,7,3
64,10,1,5,0
64,12,1,4,0
64,10,1,5,1
64,9,1,6,2
64,10,1,6,0
64,52,0,6,2
64,32,0,2,0
64,56,0,2,1
64,48,0,1,1
64,4,0,5,5
64,60,0,2,1
64,36,0,2,1
64,28,0,3,2
64,52,0,3,1
64,52,0,3,1
64,9,1,6,5
64,8,2,12,7
64,15,3,12,2
64,48,0,8,2
64,0,0,8,2
64,9,1,5,0
64,0,0,4,0
64,36,0,7,4
64,0,0,21,16
64,9,3,16,1
64,4,0,15,0
64,14,2,6,2
64,0,0,31,27
64,4,0,30,2
64,0,0,35,7
64,0,0,34,1
64,0,0,24,2
64,7,1,10,1
64,10,1,5,3
64,36,0,7,4
64,36,0,7,2
64,9,1,6,3
64,10,1,5,2
64,9,1,6,6
64,50,0,7,2
64,10,1,5,3
64,0,0,3,1
64,56,0,4,3
64,44,0,5,2
64,12,1,4,1
64,0,0,21,19
64,15,5,17,1
64,0,0,23,1
64,12,2,9,0
64,16,0,3,0
64,52,0,2,0
64,37,0,1,0
64,37,0,1,0
64,64,0,0,0
