full_resource,free_resource,pending_num,running_num,submit_num
64,64,0,0,0
64,24,0,2,2
64,16,0,3,2
64,52,0,3,3
64,60,0,1,0
64,16,0,3,2
64,16,0,3,2
64,52,0,3,1
64,28,0,9,6
64,7,1,8,2
64,7,1,8,0
64,12,2,8,4
64,20,0,11,2
64,24,0,10,2
64,28,0,9,2
64,36,0,7,4
64,52,0,3,0
64,9,1,6,5
64,24,0,10,3
64,32,0,8,1
64,9,1,6,2
64,24,0,10,5
64,24,0,10,3
64,20,0,11,4
64,12,0,13,6
64,0,0,20,10
64,15,5,17,10
64,12,4,20,11
64,4,2,28,14
64,2,1,28,1
64,0,0,28,9
64,0,0,22,4
64,0,0,34,20
64,16,3,8,4
64,12,2,8,4
64,20,0,11,6
64,0,0,19,15
64,9,3,16,4
64,0,0,18,4
64,20,0,11,2
64,28,0,9,1
64,5,1,13,10
64,12,2,12,5
64,12,2,8,4
64,10,2,11,6
64,4,0,15,8
64,28,0,9,1
64,12,2,8,4
64,16,0,12,4
64,16,3,8,4
64,15,3,9,3
64,0,0,17,8
64,0,0,16,6
64,9,1,6,0
64,0,0,8,4
64,48,0,4,2
64,48,0,4,3
64,16,0,3,2
64,28,0,9,8
64,44,0,5,1
64,0,0,4,1
64,40,0,6,4
64,24,0,10,6
64,0,0,8,4
64,8,0,14,8
64,8,4,24,14
64,12,6,20,3
64,12,6,20,5
64,0,0,24,4
64,15,5,18,4
64,24,0,10,2
64,0,0,8,5
64,0,0,49,43
64,0,0,51,3
64,0,0,50,3
64,0,0,45,5
64,0,51,64,75
64,0,55,64,6
64,0,48,64,9
64,0,35,64,4
64,0,34,64,5
64,0,36,64,4
64,0,33,64,4
64,0,32,64,9
64,0,25,64,5
64,0,16,64,14
64,0,10,64,8
64,0,0,64,6
64,2,1,58,5
64,2,1,55,7
64,0,0,55,9
64,0,0,51,4
64,4,2,42,4
64,4,2,35,3
64,0,23,64,70
64,0,21,64,5
64,0,24,64,5
64,0,16,64,0
64,0,10,64,0
64,0,10,64,0
64,6,3,51,0
64,6,3,33,0
64,4,1,12,0
64,12,1,4,0
64,0,0,4,0
64,4,0,3,0
64,56,0,2,0
64,56,0,2,0
64,60,0,1,0
64,64,0,0,0
