full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,31,0,1,1
32,30,0,1,0
32,27,0,2,1
32,22,0,2,0
32,11,0,3,1
32,2,0,3,0
32,28,0,1,0
32,24,0,1,0
32,16,0,1,0
32,0,0,1,0
32,32,0,0,0
32,32,0,0,0
32,31,0,1,1
32,30,0,1,0
32,28,0,1,0
32,24,0,1,0
32,14,0,3,2
32,4,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,4,1
32,0,0,2,0
32,0,0,3,1
32,0,0,2,0
32,0,0,4,2
32,0,0,5,1
32,6,0,6,3
32,14,0,3,0
32,0,0,3,1
32,0,0,3,1
32,28,0,3,2
32,28,0,2,0
32,24,0,2,0
32,15,0,3,1
32,15,0,2,1
32,0,0,2,0
32,31,0,1,1
32,30,0,1,0
32,28,0,1,0
32,23,0,2,1
32,30,0,1,0
32,27,0,2,1
32,20,0,4,2
32,24,0,3,0
32,16,0,3,0
32,0,0,3,0
32,0,0,2,0
32,0,0,2,0
32,0,0,3,1
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,3,1
32,30,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,30,0,2,2
32,27,0,3,1
32,22,0,3,0
32,11,0,4,1
32,22,0,2,0
32,28,0,1,0
32,24,0,1,0
32,15,0,2,1
32,4,0,4,2
32,27,0,3,1
32,22,0,3,0
32,14,0,4,2
32,7,0,9,7
32,8,0,9,0
32,2,0,10,2
32,2,1,9,0
32,2,0,9,1
32,3,0,6,0
32,0,0,6,0
32,1,0,5,1
32,14,0,2,0
32,0,0,4,2
32,20,0,3,0
32,7,0,5,2
32,0,0,4,1
32,29,0,2,1
32,29,0,2,1
32,24,0,4,2
32,18,0,3,0
32,4,0,3,0
32,4,0,6,3
32,2,0,5,0
32,3,0,4,0
32,8,0,3,0
32,16,0,1,0
32,0,0,1,0
32,32,0,0,0
