name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,255,722.2757420539856,767.2757420539856,1,66283.0,2
vit-large@imagenet-split-1-1,92,208,1561.689355134964,1653.689355134964,4,749250.0,16
vit-large@food101-2,786,114,2783.689355134964,3569.689355134964,4,757500,4
vit-large@imagenet-split-0-3,1280,220,1391.5514841079712,2671.551484107971,3,250000.0,8
vit-large@imagenet-split-0-4,1987,113,1284.5514841079712,3271.551484107971,3,250000.0,8
vit-large@imagenet-split-1-5,2229,171,1541.689355134964,3770.689355134964,4,749250.0,12
vit-large@imagenet-split-1-6,2634,66,1419.689355134964,4053.689355134964,4,749250.0,16
vit-large@imagenet-split-0-7,2660,40,1211.5514841079712,3871.551484107971,3,250000.0,8
vit-large@mnist-8,3002,298,1720.689355134964,4722.689355134964,4,600000.0,16
vit-large@frgfm#imagenette-9,3459,141,608.2757420539856,4067.2757420539856,1,66283.0,2
vit-large@frgfm#imagenette-10,3853,47,514.2757420539856,4367.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-11,4072,128,595.2757420539856,4667.275742053986,1,66283.0,2
vit-large@mnist-12,4853,247,1679.689355134964,6532.689355134964,4,600000.0,15
vit-large@food101-13,4906,194,2863.689355134964,7769.689355134964,4,757500,4
vit-large@fashion_mnist-14,5098,2,1440.689355134964,6538.689355134964,4,600000.0,11
vit-large@imagenet-split-2-15,6003,297,2752.9650971889496,8755.96509718895,6,1000000.0,3
vit-large@food101-16,6111,189,3185.9650971889496,9296.96509718895,6,757500,2
vit-large@imagenet-split-0-17,7246,254,1493.2757420539856,8739.275742053986,1,250000.0,2
vit-large@cifar100-18,7246,554,1895.5514841079712,9141.551484107971,3,500000.0,4
vit-large@imagenet-split-1-19,7328,472,2089.551484107971,9417.551484107971,3,749250.0,4
vit-large@cifar100-20,7430,70,1465.5514841079712,8895.551484107971,3,500000.0,4
vit-large@imagenet-split-1-21,7490,10,1826.5514841079712,9316.551484107971,3,749250.0,4
vit-large@cifar100-22,7516,284,1905.5514841079712,9421.551484107971,3,500000.0,3
vit-large@cifar100-23,7670,130,1775.4136130809784,9445.413613080978,2,500000.0,3
vit-large@mnist-24,7719,81,1947.4136130809784,9666.413613080978,2,600000.0,3
vit-large@mnist-25,7774,26,1930.689355134964,9704.689355134964,4,600000.0,2
vit-large@Bingsu#Cat_and_Dog-26,8067,33,263.1378710269928,8330.137871026993,0,31680.0,1
vit-large@imagenet-split-1-27,8267,133,2112.827226161957,10379.827226161957,5,749250.0,7
vit-large@Bingsu#Cat_and_Dog-28,8364,36,266.1378710269928,8630.137871026993,0,31680.0,1
vit-large@fashion_mnist-29,8718,282,1962.689355134964,10680.689355134964,4,600000.0,5
vit-large@cifar100-30,8748,252,1803.5514841079712,10551.551484107971,3,500000.0,8
vit-large@cifar100-31,8768,232,1862.689355134964,10630.689355134964,4,500000.0,4
vit-large@frgfm#imagenette-32,9026,274,777.1378710269928,9803.137871026993,0,66283.0,1
vit-large@frgfm#imagenette-33,9147,153,620.2757420539856,9767.275742053986,1,66283.0,2
vit-large@food101-34,9491,109,2784.689355134964,12275.689355134964,4,757500,4
vit-large@frgfm#imagenette-35,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-36,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-37,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-38,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-39,9539,61,528.2757420539856,10067.275742053986,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-40,9539,61,291.1378710269928,9830.137871026993,0,31680.0,1
vit-large@imagenet-split-0-41,9612,288,1550.689355134964,11162.689355134964,4,250000.0,4
vit-large@Bingsu#Cat_and_Dog-42,9707,193,423.1378710269928,10130.137871026993,0,31680.0,1
vit-large@frgfm#imagenette-43,10052,148,615.2757420539856,10667.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-44,10462,38,505.2757420539856,10967.275742053986,1,66283.0,2
vit-large@food101-45,10617,183,2852.689355134964,13469.689355134964,4,757500,4
vit-large@food101-46,10618,182,2892.689355134964,13510.689355134964,4,757500,4
vit-large@food101-47,10618,182,2874.689355134964,13492.689355134964,4,757500,4
vit-large@frgfm#imagenette-48,10835,265,732.2757420539856,11567.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-49,11194,206,673.2757420539856,11867.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-50,11370,30,497.2757420539856,11867.275742053986,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-51,11370,30,260.1378710269928,11630.137871026993,0,31680.0,1
vit-large@frgfm#imagenette-52,11696,4,471.2757420539856,12167.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-53,11714,286,753.2757420539856,12467.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-54,12033,267,734.2757420539856,12767.275742053986,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-55,12079,221,451.1378710269928,12530.137871026993,0,31680.0,1
vit-large@imagenet-split-2-56,12082,218,2238.9650971889496,14320.96509718895,6,1000000.0,19
vit-large@Bingsu#Cat_and_Dog-57,12378,222,452.1378710269928,12830.137871026993,0,31680.0,1
vit-large@imagenet-split-1-58,12456,144,1497.689355134964,13953.689355134964,4,749250.0,16
vit-large@Bingsu#Cat_and_Dog-59,13108,92,322.1378710269928,13430.137871026993,0,31680.0,1
vit-large@frgfm#imagenette-60,13468,32,499.2757420539856,13967.275742053986,1,66283.0,2
vit-large@fashion_mnist-61,13470,30,1471.689355134964,14941.689355134964,4,600000.0,10
vit-large@Bingsu#Cat_and_Dog-62,13911,189,419.1378710269928,14330.137871026993,0,31680.0,1
vit-large@food101-63,14031,69,2738.689355134964,16769.689355134964,4,757500,4
vit-large@cifar100-64,14066,34,1343.689355134964,15409.689355134964,4,500000.0,10
vit-large@food101-65,14109,291,2960.689355134964,17069.689355134964,4,757500,4
vit-large@cifar100-66,14275,125,1430.689355134964,15705.689355134964,4,500000.0,12
vit-large@imagenet-split-0-67,15165,135,1306.5514841079712,16471.55148410797,3,250000.0,8
vit-large@imagenet-split-1-68,15342,258,1611.689355134964,16953.689355134964,4,749250.0,16
