name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,255,628.6911859512329,673.6911859512329,1,9170,2
roberta-large@qnli-1,1280,220,1807.0735578536987,3087.0735578536987,5,235674.0,32
roberta-large@sst2-2,1987,113,1191.3823719024658,3178.382371902466,3,84190.0,8
roberta-large@qnli-3,2634,66,1659.0735578536987,4293.073557853699,5,235674.0,20
roberta-large@qnli-4,2660,40,1633.0735578536987,4293.073557853699,5,235674.0,20
roberta-large@sst2-5,3002,298,1376.3823719024658,4378.382371902466,3,84190.0,8
roberta-large@qnli-6,4853,247,1839.0735578536987,6692.073557853699,5,235674.0,26
roberta-large@mnli-7,4906,194,2983.4559297561646,7889.455929756165,9,785408.0,16
roberta-large@qqp-8,6003,297,3839.1471157073975,9842.147115707397,11,909620.0,23
roberta-large@mnli-9,6111,189,3145.110336780548,9256.110336780548,8,785408.0,15
roberta-large@qnli-10,7246,254,1803.7279648780823,9049.727964878082,4,235674.0,16
roberta-large@sst2-11,7328,172,1250.3823719024658,8578.382371902466,3,84190.0,8
roberta-large@wnli-12,7516,284,385.34559297561646,7901.3455929756165,0,1590.0,1
roberta-large@rte-13,8067,33,245.34559297561646,8312.345592975616,0,4984.0,1
roberta-large@rte-14,8364,36,248.34559297561646,8612.345592975616,0,4984.0,1
roberta-large@qnli-15,8748,252,1844.0735578536987,10592.073557853699,5,235674.0,23
roberta-large@qnli-16,8768,232,1828.0735578536987,10596.073557853699,5,235674.0,19
roberta-large@rte-17,9147,153,365.34559297561646,9512.345592975616,0,4984.0,1
roberta-large@wnli-18,9538,62,163.34559297561646,9701.345592975616,0,1590.0,1
roberta-large@mrpc-19,9538,62,435.6911859512329,9973.691185951233,1,9170,2
roberta-large@wnli-20,9539,61,162.34559297561646,9701.345592975616,0,1590.0,1
roberta-large@qnli-21,9612,288,1875.0735578536987,11487.073557853699,5,235674.0,32
roberta-large@wnli-22,10052,148,249.34559297561646,10301.345592975616,0,1590.0,1
roberta-large@mrpc-23,10462,38,411.6911859512329,10873.691185951233,1,9170,2
roberta-large@sst2-24,10617,183,1261.3823719024658,11878.382371902466,3,84190.0,8
roberta-large@mnli-25,10618,182,2701.110336780548,13319.110336780548,8,785408.0,40
roberta-large@rte-26,11194,206,418.34559297561646,11612.345592975616,0,4984.0,1
roberta-large@rte-27,11696,4,216.34559297561646,11912.345592975616,0,4984.0,1
roberta-large@stsb-28,11714,286,718.6911859512329,12432.691185951233,1,12942.0,2
roberta-large@sst2-29,12456,144,1222.3823719024658,13678.382371902466,3,84190.0,8
roberta-large@stsb-30,13108,92,524.6911859512329,13632.691185951233,1,12942.0,2
roberta-large@rte-31,13468,32,244.34559297561646,13712.345592975616,0,4984.0,1
roberta-large@sst2-32,13470,30,1108.3823719024658,14578.382371902466,3,84190.0,8
roberta-large@rte-33,13911,189,401.34559297561646,14312.345592975616,0,4984.0,1
roberta-large@qqp-34,14031,69,3027.419150829315,17058.419150829315,6,909620.0,24
roberta-large@qqp-35,14109,291,3445.4559297561646,17554.455929756165,9,909620.0,42
roberta-large@sst2-36,14275,125,1203.3823719024658,15478.382371902466,3,84190.0,8
roberta-large@rte-37,16030,170,382.34559297561646,16412.345592975616,0,4984.0,1
roberta-large@mrpc-38,17132,268,641.6911859512329,17773.691185951233,1,9170,2
roberta-large@snli-39,17263,137,2742.110336780548,20005.110336780548,8,824064.0,26
roberta-large@wnli-40,18835,65,166.34559297561646,19001.345592975616,0,1590.0,1
roberta-large@qnli-41,19136,64,1657.0735578536987,20793.0735578537,5,235674.0,20
roberta-large@qqp-42,19137,63,3255.801522731781,22392.80152273178,10,909620.0,16
roberta-large@sst2-43,19137,63,1141.3823719024658,20278.382371902466,3,84190.0,8
roberta-large@sst2-44,19247,253,1331.3823719024658,20578.382371902466,3,84190.0,8
roberta-large@qnli-45,20006,94,1643.7279648780823,21649.727964878082,4,235674.0,16
roberta-large@stsb-46,21258,42,474.6911859512329,21732.691185951233,1,12942.0,2
roberta-large@qnli-47,21547,53,2221.0735578536987,23768.0735578537,5,235674.0,2
roberta-large@sst2-48,21548,52,1130.3823719024658,22678.382371902466,3,84190.0,8
roberta-large@qnli-49,21548,52,2116.419150829315,23664.419150829315,6,235674.0,2
roberta-large@sst2-50,21548,52,1130.3823719024658,22678.382371902466,3,84190.0,8
roberta-large@mrpc-51,21891,9,382.6911859512329,22273.691185951233,1,9170,2
roberta-large@qnli-52,22260,240,3059.382371902466,25319.382371902466,3,235674.0,8
roberta-large@wnli-53,22395,105,206.34559297561646,22601.345592975616,0,1590.0,1
roberta-large@qnli-54,22654,146,2419.419150829315,25073.419150829315,6,235674.0,8
roberta-large@sst2-55,22654,146,1452.3823719024658,24106.382371902466,3,84190.0,6
roberta-large@sst2-56,22654,146,1723.691185951233,24377.691185951233,1,84190.0,2
roberta-large@qnli-57,22654,146,2766.0735578536987,25420.0735578537,5,235674.0,9
roberta-large@sst2-58,22655,145,1702.3823719024658,24357.382371902466,3,84190.0,2
roberta-large@sst2-59,22655,145,1578.3823719024658,24233.382371902466,3,84190.0,2
roberta-large@qnli-60,22655,145,2511.7279648780823,25166.727964878082,4,235674.0,8
roberta-large@sst2-61,22655,145,1586.0367789268494,24241.03677892685,2,84190.0,4
roberta-large@sst2-62,22655,145,1728.3823719024658,24383.382371902466,3,84190.0,2
roberta-large@sst2-63,22655,145,1751.7279648780823,24406.727964878082,4,84190.0,3
roberta-large@sst2-64,22655,145,1810.0367789268494,24465.03677892685,2,84190.0,4
roberta-large@sst2-65,22655,145,1708.3823719024658,24363.382371902466,3,84190.0,5
roberta-large@sst2-66,23166,534,1680.0367789268494,24846.03677892685,2,84190.0,4
roberta-large@sst2-67,23298,102,1669.7279648780823,24967.727964878082,4,84190.0,7
roberta-large@qnli-68,23298,102,2120.419150829315,25418.419150829315,6,235674.0,14
roberta-large@qnli-69,23833,167,1926.7279648780823,25759.727964878082,4,235674.0,16
roberta-large@qnli-70,24611,289,1904.0735578536987,26515.0735578537,5,235674.0,11
roberta-large@qnli-71,24715,185,1873.0735578536987,26588.0735578537,5,235674.0,14
roberta-large@stsb-72,25165,35,467.6911859512329,25632.691185951233,1,12942.0,2
roberta-large@sst2-73,25326,174,1252.3823719024658,26578.382371902466,3,84190.0,8
roberta-large@sst2-74,25475,25,1103.3823719024658,26578.382371902466,3,84190.0,8
roberta-large@rte-75,25946,154,366.34559297561646,26312.345592975616,0,4984.0,1
roberta-large@mrpc-76,26066,34,407.6911859512329,26473.691185951233,1,9170,2
roberta-large@wnli-77,26099,1,102.34559297561646,26201.345592975616,0,1590.0,1
roberta-large@stsb-78,26344,56,488.6911859512329,26832.691185951233,1,12942.0,2
