name,finish_time_fairness
roberta-large@mrpc-0,0.89653
roberta-large@qnli-1,0.11082
roberta-large@sst2-2,0.39126
roberta-large@qnli-3,0.30713
roberta-large@qnli-4,0.18149
roberta-large@sst2-5,1.37209
roberta-large@qnli-6,0.50222
roberta-large@mnli-7,0.10504
roberta-large@qqp-8,0.11053
roberta-large@mnli-9,0.11073
roberta-large@qnli-10,0.33391
roberta-large@sst2-11,0.72962
roberta-large@wnli-12,1.97613
roberta-large@rte-13,0.40262
roberta-large@rte-14,0.40754
roberta-large@qnli-15,0.20494
roberta-large@qnli-16,0.1121
roberta-large@rte-17,0.59954
roberta-large@wnli-18,0.83767
roberta-large@mrpc-19,0.62131
roberta-large@wnli-20,0.83254
roberta-large@qnli-21,0.11499
roberta-large@wnli-22,1.2787
roberta-large@mrpc-23,0.58708
roberta-large@sst2-24,0.41425
roberta-large@mnli-25,0.28875
roberta-large@rte-26,1.2897
roberta-large@rte-27,0.35503
roberta-large@stsb-28,0.8369
roberta-large@sst2-29,1.79104
roberta-large@stsb-30,0.61099
roberta-large@rte-31,0.40098
roberta-large@sst2-32,0.64676
roberta-large@rte-33,0.65862
roberta-large@qqp-34,0.21417
roberta-large@qqp-35,0.24374
roberta-large@sst2-36,0.21559
roberta-large@rte-37,0.62744
roberta-large@mrpc-38,0.91507
roberta-large@snli-39,0.27936
roberta-large@wnli-40,0.85305
roberta-large@qnli-41,0.45252
roberta-large@qqp-42,0.23033
roberta-large@sst2-43,1.13783
roberta-large@sst2-44,1.32723
roberta-large@qnli-45,0.18267
roberta-large@stsb-46,0.55277
roberta-large@qnli-47,0.60654
roberta-large@sst2-48,1.12686
roberta-large@qnli-49,0.57796
roberta-large@sst2-50,1.12686
roberta-large@mrpc-51,0.54573
roberta-large@qnli-52,0.83547
roberta-large@wnli-53,1.05818
roberta-large@qnli-54,0.66071
roberta-large@sst2-55,1.44786
roberta-large@sst2-56,1.71832
roberta-large@qnli-57,0.75537
roberta-large@sst2-58,1.69708
roberta-large@sst2-59,1.57347
roberta-large@qnli-60,0.68591
roberta-large@sst2-61,1.5811
roberta-large@sst2-62,1.723
roberta-large@sst2-63,1.74627
roberta-large@sst2-64,1.8044
roberta-large@sst2-65,1.70306
roberta-large@sst2-66,1.6748
roberta-large@sst2-67,1.66453
roberta-large@qnli-68,0.57905
roberta-large@qnli-69,0.52616
roberta-large@qnli-70,0.11677
roberta-large@qnli-71,0.11486
roberta-large@stsb-72,0.54462
roberta-large@sst2-73,1.24848
roberta-large@sst2-74,1.09995
roberta-large@rte-75,0.60118
roberta-large@mrpc-76,0.58138
roberta-large@wnli-77,0.52485
roberta-large@stsb-78,0.56907
roberta-large@qnli-79,0.10757
roberta-large@qnli-80,0.20675
roberta-large@qnli-81,0.53135
roberta-large@wnli-82,1.25305
roberta-large@sst2-83,1.1468
roberta-large@qnli-84,0.10129
roberta-large@sst2-85,1.18269
roberta-large@qnli-86,0.51005
roberta-large@qnli-87,0.4527
roberta-large@sst2-88,1.18169
roberta-large@qnli-89,0.47928
