name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,255,722.2757420539856,767.2757420539856,1,66283.0,2
vit-large@imagenet-split-1-1,92,208,1561.689355134964,1653.689355134964,4,749250.0,16
vit-large@Bingsu#Cat_and_Dog-2,766,134,364.1378710269928,1130.1378710269928,0,31680.0,1
vit-large@food101-3,786,114,2783.689355134964,3569.689355134964,4,757500,4
vit-large@imagenet-split-0-4,1280,220,1391.5514841079712,2671.551484107971,3,250000.0,8
vit-large@Bingsu#Cat_and_Dog-5,1322,178,408.1378710269928,1730.1378710269928,0,31680.0,1
vit-large@imagenet-split-2-6,1987,113,2284.9650971889496,4271.96509718895,6,1000000.0,4
vit-large@imagenet-split-1-7,2229,171,1565.689355134964,3794.689355134964,4,749250.0,9
vit-large@imagenet-split-1-8,2634,66,1451.689355134964,4085.689355134964,4,749250.0,10
vit-large@imagenet-split-2-9,2660,40,2119.9650971889496,4779.96509718895,6,1000000.0,10
vit-large@mnist-10,3002,298,1742.689355134964,4744.689355134964,4,600000.0,12
vit-large@mnist-11,3002,298,1720.689355134964,4722.689355134964,4,600000.0,16
vit-large@imagenet-split-0-12,3014,286,1457.5514841079712,4471.551484107971,3,250000.0,8
vit-large@frgfm#imagenette-13,3459,141,608.2757420539856,4067.2757420539856,1,66283.0,2
vit-large@frgfm#imagenette-14,3853,47,514.2757420539856,4367.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-15,4072,128,595.2757420539856,4667.275742053986,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-16,4295,205,435.1378710269928,4730.137871026993,0,31680.0,1
vit-large@mnist-17,4853,247,1688.689355134964,6541.689355134964,4,600000.0,10
vit-large@fashion_mnist-18,4853,247,1660.5514841079712,6513.551484107971,3,600000.0,8
vit-large@food101-19,4906,194,2886.689355134964,7792.689355134964,4,757500,4
vit-large@food101-20,4906,194,2863.689355134964,7769.689355134964,4,757500,4
vit-large@fashion_mnist-21,5098,2,1443.689355134964,6541.689355134964,4,600000.0,10
vit-large@imagenet-split-2-22,6003,297,2504.827226161957,8507.827226161957,5,1000000.0,4
vit-large@food101-23,6111,189,3041.1029682159424,9152.102968215942,7,757500,3
vit-large@mnist-24,6467,133,1546.5514841079712,8013.551484107971,3,600000.0,8
vit-large@frgfm#imagenette-25,7190,10,477.2757420539856,7667.275742053986,1,66283.0,2
vit-large@imagenet-split-0-26,7246,254,1404.5514841079712,8650.551484107971,3,250000.0,3
vit-large@cifar100-27,7246,254,1724.4136130809784,8970.413613080978,2,500000.0,3
vit-large@imagenet-split-1-28,7328,172,1879.8272261619568,9207.827226161957,5,749250.0,6
vit-large@cifar100-29,7430,70,1404.5514841079712,8834.551484107971,3,500000.0,6
vit-large@imagenet-split-1-30,7490,10,1965.8272261619568,9455.827226161957,5,749250.0,3
vit-large@cifar100-31,7516,284,2046.689355134964,9562.689355134964,4,500000.0,4
vit-large@cifar100-32,7670,130,1559.4136130809784,9229.413613080978,2,500000.0,4
vit-large@mnist-33,7719,81,1553.4136130809784,9272.413613080978,2,600000.0,4
vit-large@mnist-34,7774,26,1634.689355134964,9408.689355134964,4,600000.0,6
vit-large@imagenet-split-0-35,7814,286,1593.5514841079712,9407.551484107971,3,250000.0,3
vit-large@Bingsu#Cat_and_Dog-36,7949,151,381.1378710269928,8330.137871026993,0,31680.0,1
vit-large@cifar100-37,8044,56,1780.5514841079712,9824.551484107971,3,500000.0,6
vit-large@Bingsu#Cat_and_Dog-38,8067,33,263.1378710269928,8330.137871026993,0,31680.0,1
vit-large@imagenet-split-1-39,8169,231,1884.689355134964,10053.689355134964,4,749250.0,8
vit-large@imagenet-split-0-40,8264,136,1293.5514841079712,9557.551484107971,3,250000.0,4
vit-large@imagenet-split-1-41,8267,133,1929.4136130809784,10196.413613080978,2,749250.0,4
vit-large@Bingsu#Cat_and_Dog-42,8364,36,266.1378710269928,8630.137871026993,0,31680.0,1
vit-large@Bingsu#Cat_and_Dog-43,8718,282,512.1378710269928,9230.137871026993,0,31680.0,1
vit-large@cifar100-44,8748,252,1684.5514841079712,10432.551484107971,3,500000.0,8
vit-large@imagenet-split-2-45,8767,233,2305.827226161957,11072.827226161957,5,1000000.0,11
vit-large@cifar100-46,8768,232,1898.5514841079712,10666.551484107971,3,500000.0,7
vit-large@Bingsu#Cat_and_Dog-47,8909,91,321.1378710269928,9230.137871026993,0,31680.0,1
vit-large@frgfm#imagenette-48,9026,274,741.2757420539856,9767.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-49,9147,153,620.2757420539856,9767.275742053986,1,66283.0,2
vit-large@food101-50,9491,109,2778.689355134964,12269.689355134964,4,757500,4
vit-large@frgfm#imagenette-51,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-52,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-53,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-54,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-55,9538,62,529.2757420539856,10067.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-56,9539,61,528.2757420539856,10067.275742053986,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-57,9539,61,291.1378710269928,9830.137871026993,0,31680.0,1
vit-large@imagenet-split-0-58,9612,288,1459.5514841079712,11071.551484107971,3,250000.0,8
vit-large@Bingsu#Cat_and_Dog-59,9707,193,423.1378710269928,10130.137871026993,0,31680.0,1
vit-large@frgfm#imagenette-60,10052,148,615.2757420539856,10667.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-61,10462,38,505.2757420539856,10967.275742053986,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-62,10587,213,443.1378710269928,11030.137871026993,0,31680.0,1
vit-large@food101-63,10617,183,2852.689355134964,13469.689355134964,4,757500,4
vit-large@food101-64,10618,182,2851.689355134964,13469.689355134964,4,757500,4
vit-large@food101-65,10618,182,2857.689355134964,13475.689355134964,4,757500,4
vit-large@frgfm#imagenette-66,10835,265,732.2757420539856,11567.275742053986,1,66283.0,2
vit-large@frgfm#imagenette-67,11194,206,673.2757420539856,11867.275742053986,1,66283.0,2
