name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.15736
vit-large@imagenet-split-1-1,0.13919
vit-large@Bingsu#Cat_and_Dog-2,0.29366
vit-large@food101-3,0.12731
vit-large@imagenet-split-0-4,0.08034
vit-large@Bingsu#Cat_and_Dog-5,0.32914
vit-large@imagenet-split-2-6,0.07333
vit-large@imagenet-split-1-7,0.24069
vit-large@imagenet-split-1-8,0.12938
vit-large@imagenet-split-2-9,0.06803
vit-large@mnist-10,0.23329
vit-large@mnist-11,0.23035
vit-large@imagenet-split-0-12,0.20443
vit-large@frgfm#imagenette-13,0.13252
vit-large@frgfm#imagenette-14,0.11204
vit-large@frgfm#imagenette-15,0.12969
vit-large@Bingsu#Cat_and_Dog-16,0.35092
vit-large@mnist-17,0.22606
vit-large@fashion_mnist-18,0.2223
vit-large@food101-19,0.13202
vit-large@food101-20,0.09001
vit-large@fashion_mnist-21,0.19326
vit-large@imagenet-split-2-22,0.08039
vit-large@food101-23,0.09559
vit-large@mnist-24,0.20704
vit-large@frgfm#imagenette-25,0.10398
vit-large@imagenet-split-0-26,0.19699
vit-large@cifar100-27,0.19764
vit-large@imagenet-split-1-28,0.16754
vit-large@cifar100-29,0.16098
vit-large@imagenet-split-1-30,0.17521
vit-large@cifar100-31,0.06975
vit-large@cifar100-32,0.17873
vit-large@mnist-33,0.14837
vit-large@mnist-34,0.04642
vit-large@imagenet-split-0-35,0.2235
vit-large@Bingsu#Cat_and_Dog-36,0.30737
vit-large@cifar100-37,0.06068
vit-large@Bingsu#Cat_and_Dog-38,0.21221
vit-large@imagenet-split-1-39,0.16798
vit-large@imagenet-split-0-40,0.07469
vit-large@imagenet-split-1-41,0.06582
vit-large@Bingsu#Cat_and_Dog-42,0.21463
vit-large@Bingsu#Cat_and_Dog-43,0.41301
vit-large@cifar100-44,0.10812
vit-large@imagenet-split-2-45,0.18521
vit-large@cifar100-46,0.0647
vit-large@Bingsu#Cat_and_Dog-47,0.25898
vit-large@frgfm#imagenette-48,0.1615
vit-large@frgfm#imagenette-49,0.13514
vit-large@food101-50,0.12708
vit-large@frgfm#imagenette-51,0.11531
vit-large@frgfm#imagenette-52,0.11531
vit-large@frgfm#imagenette-53,0.11531
vit-large@frgfm#imagenette-54,0.11531
vit-large@frgfm#imagenette-55,0.11531
vit-large@frgfm#imagenette-56,0.11509
vit-large@Bingsu#Cat_and_Dog-57,0.23479
vit-large@imagenet-split-0-58,0.08427
vit-large@Bingsu#Cat_and_Dog-59,0.34124
vit-large@frgfm#imagenette-60,0.13405
vit-large@frgfm#imagenette-61,0.11008
vit-large@Bingsu#Cat_and_Dog-62,0.35737
vit-large@food101-63,0.08966
vit-large@food101-64,0.08963
vit-large@food101-65,0.08982
vit-large@frgfm#imagenette-66,0.26294
vit-large@frgfm#imagenette-67,0.24175
vit-large@frgfm#imagenette-68,0.17856
vit-large@Bingsu#Cat_and_Dog-69,0.20979
vit-large@frgfm#imagenette-70,0.10267
vit-large@frgfm#imagenette-71,0.16411
vit-large@frgfm#imagenette-72,0.15997
vit-large@Bingsu#Cat_and_Dog-73,0.36382
vit-large@imagenet-split-2-74,0.17927
vit-large@Bingsu#Cat_and_Dog-75,0.36463
vit-large@imagenet-split-1-76,0.36529
vit-large@Bingsu#Cat_and_Dog-77,0.25979
vit-large@fashion_mnist-78,0.05233
vit-large@frgfm#imagenette-79,0.10877
vit-large@fashion_mnist-80,0.14056
vit-large@imagenet-split-2-81,0.07162
vit-large@Bingsu#Cat_and_Dog-82,0.33801
vit-large@food101-83,0.0868
vit-large@cifar100-84,0.04565
vit-large@food101-85,0.13541
vit-large@cifar100-86,0.04923
vit-large@frgfm#imagenette-87,0.11204
vit-large@imagenet-split-0-88,0.18109
vit-large@imagenet-split-1-89,0.05498
vit-large@fashion_mnist-90,0.20438
vit-large@Bingsu#Cat_and_Dog-91,0.32269
vit-large@Bingsu#Cat_and_Dog-92,0.32027
vit-large@frgfm#imagenette-93,0.10769
vit-large@fashion_mnist-94,0.19862
vit-large@frgfm#imagenette-95,0.16302
vit-large@frgfm#imagenette-96,0.16019
vit-large@frgfm#imagenette-97,0.1554
vit-large@cifar100-98,0.09908
vit-large@food101-99,0.12836
vit-large@frgfm#imagenette-100,0.12773
vit-large@Bingsu#Cat_and_Dog-101,0.29527
vit-large@Bingsu#Cat_and_Dog-102,0.27672
vit-large@food101-103,0.1477
vit-large@Bingsu#Cat_and_Dog-104,0.3364
vit-large@Bingsu#Cat_and_Dog-105,0.23801
vit-large@cifar100-106,0.28704
vit-large@cifar100-107,0.29443
vit-large@cifar100-108,0.27612
vit-large@food101-109,0.11052
vit-large@cifar100-110,0.27575
vit-large@Bingsu#Cat_and_Dog-111,0.41866
vit-large@fashion_mnist-112,0.28231
vit-large@imagenet-split-1-113,0.31184
vit-large@mnist-114,0.29476
vit-large@imagenet-split-1-115,0.33214
vit-large@cifar100-116,0.32438
vit-large@fashion_mnist-117,0.31883
vit-large@frgfm#imagenette-118,0.16931
vit-large@fashion_mnist-119,0.05443
vit-large@food101-120,0.09017
vit-large@frgfm#imagenette-121,0.11335
vit-large@cifar100-122,0.05703
vit-large@fashion_mnist-123,0.05463
vit-large@Bingsu#Cat_and_Dog-124,0.38721
vit-large@fashion_mnist-125,0.49332
vit-large@imagenet-split-1-126,0.32662
vit-large@Bingsu#Cat_and_Dog-127,0.21947
vit-large@imagenet-split-0-128,0.08322
vit-large@mnist-129,0.32323
vit-large@fashion_mnist-130,0.6968
vit-large@imagenet-split-1-131,0.91314
vit-large@mnist-132,0.27949
vit-large@fashion_mnist-133,0.58905
vit-large@cifar100-134,0.64817
vit-large@cifar100-135,0.51033
vit-large@imagenet-split-0-136,0.28419
vit-large@fashion_mnist-137,0.82587
vit-large@imagenet-split-0-138,0.198
vit-large@imagenet-split-1-139,0.8784
vit-large@cifar100-140,0.33505
vit-large@imagenet-split-0-141,0.24583
vit-large@mnist-142,0.36731
vit-large@fashion_mnist-143,0.39583
vit-large@Bingsu#Cat_and_Dog-144,0.19285
vit-large@cifar100-145,0.68041
vit-large@frgfm#imagenette-146,0.2554
vit-large@mnist-147,0.53803
vit-large@imagenet-split-1-148,0.71048
vit-large@cifar100-149,0.56589
vit-large@imagenet-split-0-150,0.49296
vit-large@fashion_mnist-151,0.75436
vit-large@mnist-152,0.50023
vit-large@imagenet-split-1-153,0.82999
vit-large@fashion_mnist-154,0.51675
vit-large@cifar100-155,0.70891
vit-large@imagenet-split-1-156,0.8057
vit-large@cifar100-157,0.69314
vit-large@imagenet-split-1-158,0.8404
vit-large@mnist-159,0.54264
vit-large@imagenet-split-0-160,0.35032
vit-large@fashion_mnist-161,0.51258
vit-large@mnist-162,0.56506
vit-large@mnist-163,0.51537
vit-large@cifar100-164,0.57684
vit-large@imagenet-split-1-165,0.92179
vit-large@fashion_mnist-166,0.61273
vit-large@cifar100-167,0.54007
vit-large@imagenet-split-1-168,0.75882
vit-large@imagenet-split-1-169,0.71006
vit-large@cifar100-170,0.52059
vit-large@imagenet-split-0-171,0.32161
vit-large@cifar100-172,0.51839
vit-large@imagenet-split-0-173,0.41699
vit-large@Bingsu#Cat_and_Dog-174,0.35011
vit-large@frgfm#imagenette-175,0.22533
vit-large@imagenet-split-1-176,0.87769
vit-large@mnist-177,0.52044
vit-large@frgfm#imagenette-178,0.22141
vit-large@Bingsu#Cat_and_Dog-179,0.30011
vit-large@fashion_mnist-180,0.52836
vit-large@mnist-181,0.50587
vit-large@imagenet-split-0-182,0.37469
vit-large@Bingsu#Cat_and_Dog-183,0.29527
vit-large@imagenet-split-2-184,0.24501
vit-large@imagenet-split-1-185,0.72517
vit-large@imagenet-split-0-186,0.16291
vit-large@fashion_mnist-187,0.31574
vit-large@imagenet-split-1-188,0.14139
vit-large@cifar100-189,0.10638
vit-large@mnist-190,0.09637
vit-large@imagenet-split-1-191,0.7956
vit-large@imagenet-split-1-192,0.11495
vit-large@frgfm#imagenette-193,0.18718
vit-large@frgfm#imagenette-194,0.21288
vit-large@frgfm#imagenette-195,0.30551
vit-large@fashion_mnist-196,0.55314
vit-large@imagenet-split-1-197,0.73993
vit-large@fashion_mnist-198,0.42702
vit-large@frgfm#imagenette-199,0.21615
vit-large@imagenet-split-0-200,0.15246
vit-large@cifar100-201,0.09727
vit-large@cifar100-202,0.41634
vit-large@frgfm#imagenette-203,0.33143
vit-large@Bingsu#Cat_and_Dog-204,0.21301
vit-large@fashion_mnist-205,0.1097
vit-large@Bingsu#Cat_and_Dog-206,0.42834
vit-large@mnist-207,0.11044
vit-large@frgfm#imagenette-208,0.17936
vit-large@fashion_mnist-209,0.282
vit-large@Bingsu#Cat_and_Dog-210,0.60414
vit-large@imagenet-split-0-211,0.142
vit-large@food101-212,0.16072
vit-large@imagenet-split-0-213,0.30331
vit-large@imagenet-split-1-214,0.51929
vit-large@Bingsu#Cat_and_Dog-215,0.30092
vit-large@cifar100-216,0.50432
vit-large@Bingsu#Cat_and_Dog-217,0.20253
vit-large@fashion_mnist-218,0.08768
vit-large@mnist-219,0.38927
vit-large@cifar100-220,0.41363
vit-large@fashion_mnist-221,0.42423
vit-large@imagenet-split-1-222,0.45424
vit-large@mnist-223,0.38256
vit-large@fashion_mnist-224,0.39273
vit-large@fashion_mnist-225,0.4052
vit-large@cifar100-226,0.39458
vit-large@cifar100-227,0.47818
vit-large@imagenet-split-1-228,0.44809
vit-large@fashion_mnist-229,0.40198
vit-large@imagenet-split-1-230,0.54033
vit-large@imagenet-split-0-231,0.27367
vit-large@fashion_mnist-232,0.38703
vit-large@cifar100-233,0.42565
vit-large@cifar100-234,0.39049
vit-large@imagenet-split-0-235,0.24623
vit-large@cifar100-236,0.44608
vit-large@imagenet-split-1-237,0.45534
vit-large@imagenet-split-2-238,0.1025
vit-large@imagenet-split-1-239,0.49557
