name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,615.3224992752075,660.3224992752075,1,85221.0,2
vit@imagenet-split-1-1,92,208,1278.644998550415,1370.644998550415,3,750000,8
vit@frgfm#imagenette-2,491,109,469.3224992752075,960.3224992752075,1,85221.0,2
vit@Bingsu#Cat_and_Dog-3,766,134,379.16124963760376,1145.1612496376038,0,63680.0,1
vit@food101-4,786,114,1700.4837489128113,2486.4837489128113,2,757500.0,4
vit@imagenet-split-0-5,1280,220,874.4837489128113,2154.4837489128113,2,250000.0,4
vit@Bingsu#Cat_and_Dog-6,1322,178,423.16124963760376,1745.1612496376038,0,63680.0,1
vit@mnist-7,1576,224,1545.4837489128113,3121.4837489128113,2,600000.0,4
vit@Bingsu#Cat_and_Dog-8,1747,53,298.16124963760376,2045.1612496376038,0,63680.0,1
vit@imagenet-split-2-9,1987,113,2106.4837489128113,4093.4837489128113,2,1000000.0,4
vit@imagenet-split-1-10,2229,171,1241.644998550415,3470.644998550415,3,750000,8
vit@imagenet-split-2-11,2296,104,2097.4837489128113,4393.483748912811,2,1000000.0,4
vit@food101-12,2296,104,1690.4837489128113,3986.4837489128113,2,757500.0,4
vit@mnist-13,2374,26,1347.4837489128113,3721.4837489128113,2,600000.0,4
vit@imagenet-split-1-14,2634,66,1206.644998550415,3840.644998550415,3,750000,6
vit@imagenet-split-2-15,2660,40,2033.4837489128113,4693.483748912811,2,1000000.0,4
vit@mnist-16,3002,298,1619.4837489128113,4621.483748912811,2,600000.0,4
vit@mnist-17,3002,298,1780.4837489128113,4782.483748912811,2,600000.0,4
vit@imagenet-split-0-18,3014,286,940.4837489128113,3954.4837489128113,2,250000.0,4
vit@imagenet-split-1-19,3350,250,1320.644998550415,4670.644998550415,3,750000,8
vit@frgfm#imagenette-20,3459,141,501.3224992752075,3960.3224992752075,1,85221.0,2
vit@frgfm#imagenette-21,3853,47,407.3224992752075,4260.3224992752075,1,85221.0,2
vit@imagenet-split-2-22,3999,201,2194.4837489128113,6193.483748912811,2,1000000.0,4
vit@frgfm#imagenette-23,4072,128,488.3224992752075,4560.3224992752075,1,85221.0,2
vit@Bingsu#Cat_and_Dog-24,4256,244,489.16124963760376,4745.161249637604,0,63680.0,1
vit@Bingsu#Cat_and_Dog-25,4295,205,450.16124963760376,4745.161249637604,0,63680.0,1
vit@mnist-26,4853,247,1691.8062481880188,6544.806248188019,4,600000.0,4
vit@fashion_mnist-27,4853,247,1217.644998550415,6070.644998550415,3,600000.0,7
vit@food101-28,4906,194,1900.8062481880188,6806.806248188019,4,757500.0,4
vit@food101-29,4906,194,1780.4837489128113,6686.483748912811,2,757500.0,4
vit@fashion_mnist-30,5098,2,972.644998550415,6070.644998550415,3,600000.0,7
vit@fashion_mnist-31,5295,105,1072.644998550415,6367.644998550415,3,600000.0,8
vit@Bingsu#Cat_and_Dog-32,5345,55,300.16124963760376,5645.161249637604,0,63680.0,1
vit@frgfm#imagenette-33,5792,208,568.3224992752075,6360.3224992752075,1,85221.0,2
vit@imagenet-split-2-34,6003,597,2982.1287474632263,8985.128747463226,6,1000000.0,4
vit@food101-35,6022,278,1996.644998550415,8018.644998550415,3,757500.0,1
vit@food101-36,6111,189,2011.8062481880188,8122.806248188019,4,757500.0,3
vit@fashion_mnist-37,6432,168,1122.4837489128113,7554.483748912811,2,600000.0,4
vit@mnist-38,6467,133,1637.8062481880188,8104.806248188019,4,600000.0,2
vit@frgfm#imagenette-39,6828,72,432.3224992752075,7260.3224992752075,1,85221.0,2
vit@mnist-40,6858,42,1531.8062481880188,8389.806248188019,4,600000.0,3
vit@fashion_mnist-41,6987,513,1649.644998550415,8636.644998550415,3,600000.0,1
vit@cifar100-42,7000,200,1133.4837489128113,8133.483748912811,2,500000.0,3
vit@frgfm#imagenette-43,7190,10,370.3224992752075,7560.3224992752075,1,85221.0,2
