name,finish_time_fairness
roberta-large@mrpc-0,0.89653
roberta-large@qnli-1,0.18905
roberta-large@qnli-2,0.11082
roberta-large@sst2-3,0.39126
roberta-large@qnli-4,0.30676
roberta-large@qnli-5,0.18116
roberta-large@qnli-6,0.51478
roberta-large@stsb-7,0.66805
roberta-large@rte-8,0.55852
roberta-large@qnli-9,0.5014
roberta-large@mnli-10,0.0975
roberta-large@qqp-11,0.47116
roberta-large@mnli-12,0.1062
roberta-large@qnli-13,0.33391
roberta-large@sst2-14,0.72962
roberta-large@wnli-15,1.97613
roberta-large@sst2-16,0.19785
roberta-large@rte-17,0.40262
roberta-large@sst2-18,0.21702
roberta-large@rte-19,0.40754
roberta-large@stsb-20,0.83225
roberta-large@qnli-21,0.20461
roberta-large@qnli-22,0.11174
roberta-large@wnli-23,1.30434
roberta-large@wnli-24,0.83767
roberta-large@mrpc-25,0.62131
roberta-large@wnli-26,0.83767
roberta-large@wnli-27,0.83254
roberta-large@qnli-28,0.11499
roberta-large@wnli-29,1.50946
roberta-large@wnli-30,1.2787
roberta-large@rte-31,0.41082
roberta-large@snli-32,0.28914
roberta-large@mnli-33,0.30286
roberta-large@rte-34,1.2897
roberta-large@rte-35,0.35503
roberta-large@stsb-36,0.8369
roberta-large@stsb-37,0.76121
roberta-large@snli-38,0.29108
roberta-large@sst2-39,1.79104
roberta-large@stsb-40,0.61099
roberta-large@rte-41,0.40098
roberta-large@qnli-42,0.29991
roberta-large@wnli-43,1.48895
roberta-large@qqp-44,0.23172
roberta-large@qnli-45,0.0999
roberta-large@qqp-46,0.24921
roberta-large@sst2-47,0.21559
roberta-large@qnli-48,0.47164
roberta-large@sst2-49,0.23941
roberta-large@rte-50,0.62744
roberta-large@mrpc-51,0.5714
roberta-large@mrpc-52,0.91507
roberta-large@qnli-53,0.20361
roberta-large@qqp-54,0.09577
roberta-large@wnli-55,1.09921
roberta-large@sst2-56,0.36926
roberta-large@rte-57,0.45513
roberta-large@qnli-58,0.46235
roberta-large@qqp-59,0.09863
roberta-large@sst2-60,1.13783
roberta-large@stsb-61,0.8404
roberta-large@sst2-62,1.32723
roberta-large@sst2-63,1.32723
roberta-large@mnli-64,0.45235
roberta-large@stsb-65,0.55277
roberta-large@qnli-66,0.15771
roberta-large@qnli-67,0.58333
roberta-large@qnli-68,0.9155
roberta-large@sst2-69,1.12686
roberta-large@qnli-70,0.59516
roberta-large@sst2-71,1.1943
roberta-large@rte-72,0.36323
roberta-large@qnli-73,0.85451
roberta-large@mrpc-74,0.68263
roberta-large@qnli-75,0.80108
roberta-large@sst2-76,1.72963
roberta-large@qnli-77,0.74136
roberta-large@qnli-78,0.76775
roberta-large@sst2-79,1.28701
roberta-large@sst2-80,1.43455
roberta-large@qnli-81,0.82219
roberta-large@sst2-82,1.71732
roberta-large@sst2-83,1.723
roberta-large@sst2-84,1.63462
roberta-large@qnli-85,0.69375
roberta-large@qnli-86,0.679
roberta-large@qnli-87,0.77058
roberta-large@sst2-88,1.52328
roberta-large@sst2-89,1.58976
roberta-large@qnli-90,0.75956
roberta-large@qnli-91,0.61373
roberta-large@sst2-92,1.36811
roberta-large@sst2-93,0.20287
roberta-large@sst2-94,0.24497
roberta-large@qnli-95,0.10885
roberta-large@stsb-96,0.54462
roberta-large@qnli-97,0.48092
roberta-large@sst2-98,1.09995
roberta-large@sst2-99,0.21326
roberta-large@rte-100,0.60118
roberta-large@rte-101,0.40426
roberta-large@mrpc-102,0.53432
roberta-large@wnli-103,0.8069
roberta-large@sst2-104,0.22204
roberta-large@qnli-105,0.22439
roberta-large@qnli-106,0.56267
roberta-large@qnli-107,0.55529
roberta-large@wnli-108,1.25305
roberta-large@sst2-109,1.18867
roberta-large@sst2-110,0.21051
roberta-large@sst2-111,1.25013
roberta-large@qnli-112,0.46372
roberta-large@sst2-113,1.21957
roberta-large@sst2-114,1.25013
roberta-large@sst2-115,1.24913
roberta-large@qnli-116,0.53527
roberta-large@sst2-117,1.26044
roberta-large@sst2-118,1.24913
roberta-large@sst2-119,1.24051
