name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.15736
vit-large@imagenet-split-1-1,0.13919
vit-large@Bingsu#Cat_and_Dog-2,0.29366
vit-large@food101-3,0.12731
vit-large@imagenet-split-0-4,0.08034
vit-large@Bingsu#Cat_and_Dog-5,0.32914
vit-large@mnist-6,0.22258
vit-large@Bingsu#Cat_and_Dog-7,0.22834
vit-large@imagenet-split-2-8,0.07019
vit-large@imagenet-split-1-9,0.24069
vit-large@imagenet-split-2-10,0.06796
vit-large@imagenet-split-1-11,0.12751
vit-large@imagenet-split-0-12,0.11777
vit-large@mnist-13,0.23169
vit-large@mnist-14,0.23035
vit-large@imagenet-split-0-15,0.20443
vit-large@imagenet-split-1-16,0.14293
vit-large@frgfm#imagenette-17,0.13252
vit-large@frgfm#imagenette-18,0.11204
vit-large@frgfm#imagenette-19,0.12969
vit-large@Bingsu#Cat_and_Dog-20,0.38237
vit-large@Bingsu#Cat_and_Dog-21,0.35092
vit-large@mnist-22,0.22352
vit-large@fashion_mnist-23,0.227
vit-large@food101-24,0.09275
vit-large@food101-25,0.09461
vit-large@fashion_mnist-26,0.19072
vit-large@imagenet-split-2-27,0.09108
vit-large@food101-28,0.09445
vit-large@fashion_mnist-29,0.04867
vit-large@mnist-30,0.22555
vit-large@frgfm#imagenette-31,0.11749
vit-large@mnist-32,0.043
vit-large@cifar100-33,0.05437
vit-large@frgfm#imagenette-34,0.10398
vit-large@imagenet-split-0-35,0.18687
vit-large@cifar100-36,0.21863
vit-large@imagenet-split-1-37,0.16137
vit-large@cifar100-38,0.19115
vit-large@imagenet-split-1-39,0.15139
vit-large@Bingsu#Cat_and_Dog-40,0.41463
vit-large@cifar100-41,0.23468
vit-large@mnist-42,0.21329
vit-large@mnist-43,0.05392
vit-large@imagenet-split-0-44,0.22646
vit-large@Bingsu#Cat_and_Dog-45,0.30737
vit-large@fashion_mnist-46,0.16778
vit-large@cifar100-47,0.05025
vit-large@imagenet-split-1-48,0.17699
vit-large@Bingsu#Cat_and_Dog-49,0.21221
vit-large@imagenet-split-1-50,0.20419
vit-large@imagenet-split-1-51,0.09066
vit-large@cifar100-52,0.06084
vit-large@imagenet-split-0-53,0.07566
vit-large@imagenet-split-1-54,0.06818
vit-large@Bingsu#Cat_and_Dog-55,0.21463
vit-large@imagenet-split-1-56,0.06419
vit-large@Bingsu#Cat_and_Dog-57,0.41301
vit-large@cifar100-58,0.11897
vit-large@imagenet-split-2-59,0.08341
vit-large@cifar100-60,0.05577
vit-large@frgfm#imagenette-61,0.20616
vit-large@Bingsu#Cat_and_Dog-62,0.50092
vit-large@Bingsu#Cat_and_Dog-63,0.25818
vit-large@frgfm#imagenette-64,0.1615
vit-large@frgfm#imagenette-65,0.13514
vit-large@food101-66,0.09055
vit-large@frgfm#imagenette-67,0.11531
vit-large@frgfm#imagenette-68,0.11531
vit-large@frgfm#imagenette-69,0.12312
vit-large@frgfm#imagenette-70,0.11531
vit-large@frgfm#imagenette-71,0.11531
vit-large@frgfm#imagenette-72,0.11531
vit-large@frgfm#imagenette-73,0.11509
vit-large@Bingsu#Cat_and_Dog-74,0.23479
vit-large@imagenet-split-0-75,0.08427
vit-large@Bingsu#Cat_and_Dog-76,0.34124
vit-large@frgfm#imagenette-77,0.13405
vit-large@mnist-78,0.27459
vit-large@Bingsu#Cat_and_Dog-79,0.44526
vit-large@frgfm#imagenette-80,0.11008
vit-large@Bingsu#Cat_and_Dog-81,0.35737
vit-large@food101-82,0.08966
vit-large@imagenet-split-2-83,0.07098
vit-large@food101-84,0.08963
vit-large@food101-85,0.09338
vit-large@imagenet-split-2-86,0.07814
vit-large@frgfm#imagenette-87,0.26294
vit-large@fashion_mnist-88,0.22256
vit-large@frgfm#imagenette-89,0.24175
vit-large@frgfm#imagenette-90,0.17856
vit-large@Bingsu#Cat_and_Dog-91,0.20979
vit-large@frgfm#imagenette-92,0.10267
vit-large@frgfm#imagenette-93,0.16411
vit-large@mnist-94,0.04883
vit-large@frgfm#imagenette-95,0.15997
vit-large@Bingsu#Cat_and_Dog-96,0.3985
vit-large@frgfm#imagenette-97,0.1591
vit-large@Bingsu#Cat_and_Dog-98,0.36382
vit-large@imagenet-split-2-99,0.17919
vit-large@Bingsu#Cat_and_Dog-100,0.36463
vit-large@imagenet-split-1-101,0.36529
vit-large@frgfm#imagenette-102,0.26365
vit-large@Bingsu#Cat_and_Dog-103,0.23398
vit-large@imagenet-split-1-104,0.24346
vit-large@Bingsu#Cat_and_Dog-105,0.25979
vit-large@fashion_mnist-106,0.04903
vit-large@frgfm#imagenette-107,0.10877
vit-large@fashion_mnist-108,0.14094
vit-large@imagenet-split-2-109,0.07131
vit-large@Bingsu#Cat_and_Dog-110,0.33801
vit-large@food101-111,0.12525
vit-large@Bingsu#Cat_and_Dog-112,0.21301
vit-large@food101-113,0.09306
vit-large@cifar100-114,0.04879
vit-large@frgfm#imagenette-115,0.11204
vit-large@imagenet-split-1-116,0.05392
vit-large@imagenet-split-0-117,0.18109
vit-large@imagenet-split-1-118,0.05498
vit-large@fashion_mnist-119,0.20438
vit-large@Bingsu#Cat_and_Dog-120,0.32269
vit-large@Bingsu#Cat_and_Dog-121,0.32027
vit-large@frgfm#imagenette-122,0.1079
vit-large@frgfm#imagenette-123,0.10769
vit-large@fashion_mnist-124,0.19862
vit-large@frgfm#imagenette-125,0.16302
vit-large@frgfm#imagenette-126,0.16019
vit-large@frgfm#imagenette-127,0.1554
vit-large@cifar100-128,0.09908
vit-large@food101-129,0.13619
vit-large@frgfm#imagenette-130,0.12773
vit-large@Bingsu#Cat_and_Dog-131,0.29527
vit-large@food101-132,0.10495
vit-large@Bingsu#Cat_and_Dog-133,0.27672
vit-large@food101-134,0.1454
vit-large@Bingsu#Cat_and_Dog-135,0.3364
vit-large@imagenet-split-2-136,0.16154
vit-large@Bingsu#Cat_and_Dog-137,0.23801
vit-large@cifar100-138,0.29569
vit-large@cifar100-139,0.26196
vit-large@cifar100-140,0.26613
vit-large@food101-141,0.12644
vit-large@cifar100-142,0.24443
vit-large@imagenet-split-2-143,0.10091
vit-large@Bingsu#Cat_and_Dog-144,0.41866
vit-large@fashion_mnist-145,0.30114
vit-large@imagenet-split-1-146,0.33677
vit-large@mnist-147,0.29718
vit-large@imagenet-split-1-148,0.31386
vit-large@cifar100-149,0.29147
vit-large@imagenet-split-0-150,0.19784
vit-large@imagenet-split-0-151,0.2095
vit-large@fashion_mnist-152,0.2846
vit-large@frgfm#imagenette-153,0.16931
vit-large@fashion_mnist-154,0.04975
vit-large@frgfm#imagenette-155,0.10921
vit-large@food101-156,0.363
vit-large@frgfm#imagenette-157,0.11335
vit-large@cifar100-158,0.06662
vit-large@Bingsu#Cat_and_Dog-159,0.22269
vit-large@fashion_mnist-160,0.05199
vit-large@frgfm#imagenette-161,0.21662
vit-large@Bingsu#Cat_and_Dog-162,0.38721
vit-large@fashion_mnist-163,0.40799
vit-large@imagenet-split-1-164,0.40937
vit-large@Bingsu#Cat_and_Dog-165,0.21947
vit-large@imagenet-split-0-166,0.08322
vit-large@mnist-167,0.51527
vit-large@fashion_mnist-168,0.51086
vit-large@imagenet-split-1-169,0.35309
vit-large@mnist-170,0.63184
vit-large@fashion_mnist-171,0.4728
vit-large@imagenet-split-1-172,1.29028
vit-large@cifar100-173,0.43834
vit-large@fashion_mnist-174,0.43302
vit-large@imagenet-split-1-175,1.545
vit-large@cifar100-176,0.332
vit-large@cifar100-177,0.37615
vit-large@imagenet-split-0-178,0.23791
vit-large@fashion_mnist-179,0.41226
vit-large@imagenet-split-0-180,0.36269
vit-large@imagenet-split-1-181,1.38374
vit-large@cifar100-182,0.46535
vit-large@imagenet-split-0-183,0.2012
vit-large@mnist-184,0.46837
vit-large@fashion_mnist-185,0.60883
vit-large@fashion_mnist-186,0.45741
vit-large@imagenet-split-1-187,0.96371
vit-large@Bingsu#Cat_and_Dog-188,0.36543
vit-large@Bingsu#Cat_and_Dog-189,0.50253
vit-large@Bingsu#Cat_and_Dog-190,0.43479
vit-large@food101-191,0.45738
vit-large@cifar100-192,0.54646
vit-large@frgfm#imagenette-193,0.12468
vit-large@imagenet-split-1-194,1.49664
vit-large@mnist-195,0.60958
vit-large@imagenet-split-1-196,1.04633
vit-large@cifar100-197,0.73057
vit-large@imagenet-split-0-198,0.45273
vit-large@fashion_mnist-199,0.77777
vit-large@mnist-200,0.66852
vit-large@imagenet-split-1-201,0.95278
vit-large@fashion_mnist-202,0.80279
vit-large@fashion_mnist-203,0.83845
vit-large@imagenet-split-1-204,1.03199
vit-large@imagenet-split-1-205,0.7537
vit-large@cifar100-206,0.71327
vit-large@mnist-207,0.76119
vit-large@imagenet-split-0-208,0.35933
vit-large@cifar100-209,0.60142
vit-large@imagenet-split-1-210,0.97511
vit-large@cifar100-211,0.74104
vit-large@imagenet-split-1-212,0.88545
vit-large@mnist-213,0.87353
vit-large@imagenet-split-0-214,0.45817
vit-large@fashion_mnist-215,0.69877
vit-large@mnist-216,0.64272
vit-large@mnist-217,0.51069
vit-large@cifar100-218,0.54531
vit-large@imagenet-split-1-219,1.34702
vit-large@fashion_mnist-220,0.85234
vit-large@cifar100-221,0.50503
vit-large@imagenet-split-1-222,1.22755
vit-large@imagenet-split-1-223,1.33147
vit-large@cifar100-224,0.81477
vit-large@imagenet-split-0-225,0.54036
vit-large@cifar100-226,0.78923
vit-large@cifar100-227,0.86875
vit-large@imagenet-split-1-228,0.8254
vit-large@cifar100-229,0.71049
vit-large@fashion_mnist-230,0.55859
vit-large@imagenet-split-0-231,0.54549
vit-large@fashion_mnist-232,0.71179
vit-large@imagenet-split-1-233,1.25786
vit-large@Bingsu#Cat_and_Dog-234,0.59205
vit-large@frgfm#imagenette-235,0.21572
vit-large@imagenet-split-1-236,1.2514
vit-large@mnist-237,0.68202
vit-large@cifar100-238,0.65891
vit-large@frgfm#imagenette-239,0.26934
vit-large@Bingsu#Cat_and_Dog-240,0.54205
vit-large@fashion_mnist-241,0.64507
vit-large@mnist-242,0.69435
vit-large@imagenet-split-0-243,0.29569
vit-large@cifar100-244,0.65718
vit-large@imagenet-split-2-245,0.2651
vit-large@Bingsu#Cat_and_Dog-246,0.53721
vit-large@imagenet-split-2-247,0.26375
vit-large@imagenet-split-1-248,0.81877
vit-large@imagenet-split-0-249,0.18623
vit-large@frgfm#imagenette-250,0.1676
vit-large@fashion_mnist-251,0.58969
vit-large@imagenet-split-1-252,0.22942
vit-large@cifar100-253,0.10741
vit-large@mnist-254,0.16488
vit-large@imagenet-split-1-255,0.61073
vit-large@imagenet-split-1-256,0.16145
vit-large@mnist-257,0.59451
vit-large@imagenet-split-0-258,0.53731
vit-large@frgfm#imagenette-259,0.18718
vit-large@frgfm#imagenette-260,0.10267
vit-large@cifar100-261,0.51224
vit-large@frgfm#imagenette-262,0.20507
vit-large@frgfm#imagenette-263,0.17479
vit-large@fashion_mnist-264,0.48714
vit-large@imagenet-split-1-265,0.81985
vit-large@fashion_mnist-266,0.74511
vit-large@cifar100-267,0.41341
vit-large@food101-268,0.30278
vit-large@frgfm#imagenette-269,0.48721
vit-large@imagenet-split-0-270,0.16649
vit-large@cifar100-271,0.08542
vit-large@cifar100-272,0.39626
vit-large@frgfm#imagenette-273,0.20853
vit-large@Bingsu#Cat_and_Dog-274,0.45495
vit-large@fashion_mnist-275,0.1206
vit-large@Bingsu#Cat_and_Dog-276,0.67027
vit-large@mnist-277,0.12236
vit-large@frgfm#imagenette-278,0.25254
vit-large@fashion_mnist-279,0.45636
vit-large@Bingsu#Cat_and_Dog-280,0.60414
vit-large@imagenet-split-0-281,0.24917
vit-large@fashion_mnist-282,0.54941
vit-large@food101-283,0.16843
vit-large@imagenet-split-0-284,0.32121
vit-large@imagenet-split-1-285,0.51525
vit-large@Bingsu#Cat_and_Dog-286,0.30092
vit-large@Bingsu#Cat_and_Dog-287,0.49205
vit-large@imagenet-split-0-288,0.14502
vit-large@cifar100-289,0.33487
vit-large@Bingsu#Cat_and_Dog-290,0.20253
vit-large@Bingsu#Cat_and_Dog-291,0.59285
vit-large@fashion_mnist-292,0.09211
vit-large@mnist-293,0.39554
vit-large@cifar100-294,0.41702
vit-large@fashion_mnist-295,0.4396
vit-large@imagenet-split-1-296,0.53589
vit-large@mnist-297,0.36345
vit-large@fashion_mnist-298,0.37158
vit-large@fashion_mnist-299,0.39566
vit-large@cifar100-300,0.46439
vit-large@cifar100-301,0.48075
vit-large@cifar100-302,0.39242
vit-large@imagenet-split-1-303,0.48637
vit-large@fashion_mnist-304,0.42769
vit-large@imagenet-split-1-305,0.49467
vit-large@imagenet-split-0-306,0.33381
vit-large@fashion_mnist-307,0.44511
vit-large@cifar100-308,0.50724
vit-large@cifar100-309,0.50134
vit-large@imagenet-split-0-310,0.30623
vit-large@cifar100-311,0.43215
vit-large@cifar100-312,0.52048
