name,finish_time_fairness
vit@frgfm#imagenette-0,0.10005
vit@imagenet-split-1-1,0.09687
vit@frgfm#imagenette-2,0.07631
vit@Bingsu#Cat_and_Dog-3,0.11927
vit@Bingsu#Cat_and_Dog-4,0.13493
vit@Bingsu#Cat_and_Dog-5,0.12924
vit@food101-6,0.05278
vit@imagenet-split-0-7,0.05287
vit@Bingsu#Cat_and_Dog-8,0.15059
vit@mnist-9,0.08944
vit@Bingsu#Cat_and_Dog-10,0.10611
vit@imagenet-split-2-11,0.05215
vit@frgfm#imagenette-12,0.09534
vit@imagenet-split-2-13,0.05118
vit@imagenet-split-1-14,0.15521
vit@imagenet-split-2-15,0.04932
vit@food101-16,0.05402
vit@mnist-17,0.03371
vit@imagenet-split-1-18,0.08778
vit@imagenet-split-0-19,0.0801
vit@mnist-20,0.10068
vit@mnist-21,0.09372
vit@mnist-22,0.09645
vit@imagenet-split-0-23,0.19512
vit@imagenet-split-1-24,0.10005
vit@frgfm#imagenette-25,0.08152
vit@mnist-26,0.08047
vit@frgfm#imagenette-27,0.06623
vit@imagenet-split-2-28,0.0516
vit@frgfm#imagenette-29,0.0794
vit@Bingsu#Cat_and_Dog-30,0.17408
vit@Bingsu#Cat_and_Dog-31,0.1602
vit@imagenet-split-0-32,0.15218
vit@food101-33,0.07561
vit@mnist-34,0.09791
vit@fashion_mnist-35,0.20919
vit@food101-36,0.05955
vit@food101-37,0.08583
vit@fashion_mnist-38,0.16604
vit@fashion_mnist-39,0.18367
vit@Bingsu#Cat_and_Dog-40,0.10682
vit@frgfm#imagenette-41,0.06249
vit@imagenet-split-2-42,0.0839
vit@frgfm#imagenette-43,0.09241
vit@imagenet-split-0-44,0.1389
vit@imagenet-split-2-45,0.05386
vit@food101-46,0.08839
vit@food101-47,0.05797
vit@Bingsu#Cat_and_Dog-48,0.14917
vit@imagenet-split-2-49,0.09182
vit@fashion_mnist-50,0.04241
vit@frgfm#imagenette-51,0.08412
vit@mnist-52,0.08417
vit@imagenet-split-0-53,0.1696
vit@frgfm#imagenette-54,0.06734
vit@mnist-55,0.0448
vit@frgfm#imagenette-56,0.05775
vit@fashion_mnist-57,0.12261
vit@fashion_mnist-58,0.13221
vit@cifar100-59,0.04834
vit@imagenet-split-0-60,0.35015
vit@frgfm#imagenette-61,0.08461
vit@frgfm#imagenette-62,0.05726
vit@Bingsu#Cat_and_Dog-63,0.19187
vit@imagenet-split-0-64,0.19782
vit@cifar100-65,0.15642
vit@mnist-66,0.1105
vit@mnist-67,0.1551
vit@imagenet-split-1-68,0.1765
vit@fashion_mnist-69,0.21106
vit@cifar100-70,0.25972
vit@fashion_mnist-71,0.27415
vit@imagenet-split-1-72,0.17802
vit@Bingsu#Cat_and_Dog-73,0.18831
vit@frgfm#imagenette-74,0.10282
vit@imagenet-split-1-75,0.10793
vit@mnist-76,0.12315
vit@Bingsu#Cat_and_Dog-77,0.15771
vit@fashion_mnist-78,0.22904
vit@cifar100-79,0.17262
vit@mnist-80,0.11213
vit@mnist-81,0.15137
vit@frgfm#imagenette-82,0.16038
vit@imagenet-split-0-83,0.28599
vit@imagenet-split-2-84,0.12065
vit@fashion_mnist-85,0.21699
vit@mnist-86,0.15883
vit@frgfm#imagenette-87,0.08526
vit@Bingsu#Cat_and_Dog-88,0.14098
vit@fashion_mnist-89,0.11501
vit@cifar100-90,0.08351
vit@imagenet-split-1-91,0.14506
vit@Bingsu#Cat_and_Dog-92,0.09899
vit@imagenet-split-0-93,0.05721
vit@imagenet-split-1-94,0.18568
vit@fashion_mnist-95,0.06908
vit@imagenet-split-1-96,0.14802
vit@frgfm#imagenette-97,0.08835
vit@imagenet-split-2-98,0.07356
vit@imagenet-split-0-99,0.04827
vit@imagenet-split-1-100,0.05917
vit@imagenet-split-1-101,0.05622
vit@fashion_mnist-102,0.06577
vit@cifar100-103,0.0522
vit@imagenet-split-0-104,0.06684
vit@imagenet-split-1-105,0.04273
vit@Bingsu#Cat_and_Dog-106,0.20682
vit@imagenet-split-1-107,0.05913
vit@fashion_mnist-108,0.41758
vit@Bingsu#Cat_and_Dog-109,0.40112
vit@cifar100-110,0.14148
vit@imagenet-split-2-111,0.0716
vit@cifar100-112,0.08126
vit@Bingsu#Cat_and_Dog-113,0.16376
vit@Bingsu#Cat_and_Dog-114,0.26245
vit@frgfm#imagenette-115,0.08769
vit@Bingsu#Cat_and_Dog-116,0.11963
vit@Bingsu#Cat_and_Dog-117,0.11927
vit@frgfm#imagenette-118,0.10314
vit@fashion_mnist-119,0.06255
vit@frgfm#imagenette-120,0.08347
vit@imagenet-split-1-121,0.23896
vit@food101-122,0.06213
vit@Bingsu#Cat_and_Dog-123,0.23173
vit@imagenet-split-0-124,0.14861
vit@frgfm#imagenette-125,0.16623
vit@frgfm#imagenette-126,0.06867
vit@frgfm#imagenette-127,0.11745
vit@frgfm#imagenette-128,0.06572
vit@frgfm#imagenette-129,0.16328
vit@frgfm#imagenette-130,0.11745
vit@frgfm#imagenette-131,0.06867
vit@Bingsu#Cat_and_Dog-132,0.10931
vit@Bingsu#Cat_and_Dog-133,0.10931
vit@Bingsu#Cat_and_Dog-134,0.32283
vit@frgfm#imagenette-135,0.06555
vit@Bingsu#Cat_and_Dog-136,0.21572
vit@frgfm#imagenette-137,0.06555
vit@Bingsu#Cat_and_Dog-138,0.10895
vit@Bingsu#Cat_and_Dog-139,0.10895
vit@frgfm#imagenette-140,0.06555
vit@Bingsu#Cat_and_Dog-141,0.21251
vit@imagenet-split-0-142,0.07396
vit@Bingsu#Cat_and_Dog-143,0.26269
vit@frgfm#imagenette-144,0.17176
vit@Bingsu#Cat_and_Dog-145,0.11999
vit@imagenet-split-0-146,0.30979
vit@frgfm#imagenette-147,0.08298
vit@frgfm#imagenette-148,0.08265
vit@Bingsu#Cat_and_Dog-149,0.13137
vit@Bingsu#Cat_and_Dog-150,0.18653
vit@Bingsu#Cat_and_Dog-151,0.17728
vit@imagenet-split-1-152,0.20244
vit@mnist-153,0.08874
vit@Bingsu#Cat_and_Dog-154,0.20442
vit@frgfm#imagenette-155,0.06477
vit@Bingsu#Cat_and_Dog-156,0.16305
vit@Bingsu#Cat_and_Dog-157,0.15379
vit@food101-158,0.10402
vit@imagenet-split-2-159,0.0652
vit@food101-160,0.06763
vit@food101-161,0.06925
vit@imagenet-split-2-162,0.08146
vit@food101-163,0.06328
vit@imagenet-split-2-164,0.06285
vit@imagenet-split-2-165,0.06212
vit@imagenet-split-0-166,0.12864
vit@imagenet-split-1-167,0.07037
vit@imagenet-split-0-168,0.09683
vit@Bingsu#Cat_and_Dog-169,0.14205
vit@imagenet-split-1-170,0.03704
vit@frgfm#imagenette-171,0.17274
vit@fashion_mnist-172,0.2222
vit@frgfm#imagenette-173,0.07856
vit@frgfm#imagenette-174,0.07257
vit@frgfm#imagenette-175,0.15644
vit@Bingsu#Cat_and_Dog-176,0.12497
vit@frgfm#imagenette-177,0.10782
vit@Bingsu#Cat_and_Dog-178,0.20468
vit@frgfm#imagenette-179,0.13987
vit@frgfm#imagenette-180,0.05924
vit@frgfm#imagenette-181,0.10509
vit@mnist-182,0.0408
vit@frgfm#imagenette-183,0.102
vit@Bingsu#Cat_and_Dog-184,0.1812
vit@frgfm#imagenette-185,0.10135
vit@cifar100-186,0.05642
vit@imagenet-split-1-187,0.20708
vit@Bingsu#Cat_and_Dog-188,0.16589
vit@imagenet-split-2-189,0.08303
vit@fashion_mnist-190,0.07395
vit@imagenet-split-1-191,0.03143
vit@mnist-192,0.0955
vit@Bingsu#Cat_and_Dog-193,0.16625
vit@Bingsu#Cat_and_Dog-194,0.1449
vit@Bingsu#Cat_and_Dog-195,0.24269
vit@imagenet-split-1-196,0.21139
vit@frgfm#imagenette-197,0.17329
vit@imagenet-split-1-198,0.16631
vit@imagenet-split-2-199,0.08403
vit@Bingsu#Cat_and_Dog-200,0.1086
vit@imagenet-split-1-201,0.19308
vit@imagenet-split-0-202,0.26651
vit@frgfm#imagenette-203,0.0742
vit@Bingsu#Cat_and_Dog-204,0.11999
vit@frgfm#imagenette-205,0.06656
vit@imagenet-split-1-206,0.03704
vit@Bingsu#Cat_and_Dog-207,0.19223
vit@frgfm#imagenette-208,0.08152
vit@imagenet-split-0-209,0.15383
vit@food101-210,0.05499
vit@food101-211,0.05406
vit@frgfm#imagenette-212,0.06379
vit@fashion_mnist-213,0.09695
vit@frgfm#imagenette-214,0.06168
vit@imagenet-split-2-215,0.0569
vit@Bingsu#Cat_and_Dog-216,0.15451
vit@food101-217,0.08387
vit@imagenet-split-0-218,0.04205
vit@Bingsu#Cat_and_Dog-219,0.09935
vit@food101-220,0.05983
vit@frgfm#imagenette-221,0.08574
vit@cifar100-222,0.04921
vit@frgfm#imagenette-223,0.06623
vit@mnist-224,0.099
vit@fashion_mnist-225,0.04472
vit@frgfm#imagenette-226,0.08087
vit@fashion_mnist-227,0.1845
vit@Bingsu#Cat_and_Dog-228,0.16661
vit@Bingsu#Cat_and_Dog-229,0.10504
vit@imagenet-split-1-230,0.18735
vit@frgfm#imagenette-231,0.09645
vit@cifar100-232,0.22577
vit@fashion_mnist-233,0.05628
vit@imagenet-split-1-234,0.03569
vit@fashion_mnist-235,0.04543
vit@mnist-236,0.03772
vit@Bingsu#Cat_and_Dog-237,0.13992
vit@imagenet-split-0-238,0.27555
vit@imagenet-split-2-239,0.05383
vit@Bingsu#Cat_and_Dog-240,0.18618
vit@imagenet-split-1-241,0.0422
vit@fashion_mnist-242,0.18401
vit@fashion_mnist-243,0.18316
vit@frgfm#imagenette-244,0.11013
vit@Bingsu#Cat_and_Dog-245,0.14774
vit@Bingsu#Cat_and_Dog-246,0.14668
vit@cifar100-247,0.04667
vit@cifar100-248,0.19189
vit@Bingsu#Cat_and_Dog-249,0.15024
vit@frgfm#imagenette-250,0.07517
vit@Bingsu#Cat_and_Dog-251,0.1029
vit@frgfm#imagenette-252,0.06314
vit@frgfm#imagenette-253,0.06298
vit@fashion_mnist-254,0.27996
vit@fashion_mnist-255,0.17614
