full_resource,free_resource,pending_num,running_num,submit_num
64,64,0,0,0
64,62,0,2,2
64,58,0,4,2
64,55,0,5,3
64,54,0,2,0
64,58,0,3,2
64,56,0,4,2
64,53,0,4,1
64,48,0,9,6
64,42,0,10,2
64,32,0,9,0
64,20,0,12,4
64,28,0,12,2
64,24,0,12,2
64,29,0,11,2
64,33,0,11,4
64,52,0,4,0
64,43,0,9,5
64,43,0,10,3
64,31,0,10,1
64,20,0,11,2
64,32,0,12,5
64,37,0,11,3
64,35,0,12,4
64,21,0,17,6
64,13,1,24,10
64,14,4,26,10
64,15,5,29,11
64,13,8,32,14
64,6,7,32,1
64,11,8,34,9
64,4,6,30,4
64,8,17,35,20
64,5,10,32,4
64,13,2,27,4
64,15,1,24,6
64,21,1,26,15
64,19,1,22,4
64,22,1,23,4
64,15,1,19,2
64,22,0,15,1
64,27,0,20,10
64,22,0,21,5
64,16,0,16,4
64,16,0,20,6
64,25,0,20,8
64,27,0,15,1
64,25,0,13,4
64,10,0,14,4
64,22,0,14,4
64,25,0,14,3
64,26,0,16,8
64,22,1,19,6
64,21,0,15,0
64,24,0,14,4
64,26,0,10,2
64,41,0,8,3
64,54,0,5,2
64,48,0,11,8
64,39,0,11,1
64,29,0,8,1
64,44,0,7,4
64,46,0,10,6
64,38,0,11,4
64,34,0,14,8
64,18,1,27,14
64,16,3,27,3
64,10,6,27,5
64,8,4,27,4
64,8,1,22,4
64,24,0,17,2
64,27,0,15,5
64,17,14,38,43
64,7,12,41,3
64,2,13,39,3
64,2,13,38,5
64,0,75,46,75
64,0,69,52,6
64,1,74,51,9
64,1,77,50,4
64,1,80,47,5
64,0,80,43,4
64,0,79,43,4
64,0,79,42,9
64,1,77,40,5
64,3,86,41,14
64,0,90,41,8
64,1,90,41,6
64,2,88,39,5
64,2,82,39,7
64,0,84,38,9
64,6,76,38,4
64,0,67,40,4
64,1,64,38,3
64,1,117,47,70
64,2,110,50,5
64,2,111,49,5
64,0,109,46,0
64,1,106,45,0
64,2,102,44,0
64,0,96,42,0
64,0,89,38,0
64,2,84,35,0
64,1,75,35,0
64,2,66,33,0
64,3,59,32,0
64,1,48,31,0
64,5,34,28,0
64,3,20,28,0
64,6,6,22,0
64,12,0,16,0
64,40,0,6,0
64,60,0,1,0
64,64,0,0,0
