name,finish_time_fairness
roberta-large@mrpc-0,0.86181
roberta-large@qnli-1,0.48319
roberta-large@sst2-2,0.49798
roberta-large@qnli-3,0.37753
roberta-large@qnli-4,0.4368
roberta-large@sst2-5,0.70514
roberta-large@qnli-6,0.35237
roberta-large@mnli-7,0.45311
roberta-large@qqp-8,0.43683
roberta-large@mnli-9,0.45293
roberta-large@qnli-10,0.41233
roberta-large@sst2-11,0.53003
roberta-large@wnli-12,1.97613
roberta-large@rte-13,0.40262
roberta-large@rte-14,0.40754
roberta-large@qnli-15,0.46036
roberta-large@qnli-16,0.48393
roberta-large@rte-17,0.59954
roberta-large@wnli-18,0.83767
roberta-large@mrpc-19,0.58659
roberta-large@wnli-20,0.83254
roberta-large@qnli-21,0.48736
roberta-large@wnli-22,1.2787
roberta-large@mrpc-23,0.55236
roberta-large@sst2-24,0.52097
roberta-large@mnli-25,0.38328
roberta-large@rte-26,1.0554
roberta-large@rte-27,0.35503
roberta-large@stsb-28,0.87493
roberta-large@sst2-29,0.56021
roberta-large@stsb-30,0.64902
roberta-large@rte-31,0.40098
roberta-large@sst2-32,0.44717
roberta-large@rte-33,0.65862
roberta-large@qqp-34,0.27981
roberta-large@qqp-35,0.29552
roberta-large@sst2-36,0.5162
roberta-large@rte-37,0.62744
roberta-large@mrpc-38,0.88035
roberta-large@snli-39,0.37749
roberta-large@wnli-40,0.85305
roberta-large@qnli-41,0.3024
roberta-large@qqp-42,0.27939
roberta-large@sst2-43,0.47087
roberta-large@sst2-44,0.66028
roberta-large@qnli-45,0.4428
roberta-large@stsb-46,0.5908
roberta-large@qnli-47,0.29939
roberta-large@sst2-48,0.45991
roberta-large@qnli-49,0.29912
roberta-large@sst2-50,0.45991
roberta-large@mrpc-51,0.51101
roberta-large@qnli-52,0.35046
roberta-large@wnli-53,1.05818
roberta-large@qnli-54,0.65249
roberta-large@sst2-55,0.55362
roberta-large@sst2-56,0.55362
roberta-large@qnli-57,0.65249
roberta-large@sst2-58,0.55262
roberta-large@sst2-59,0.85168
roberta-large@qnli-60,0.73414
roberta-large@sst2-61,1.15075
roberta-large@sst2-62,1.15075
roberta-large@sst2-63,1.15075
roberta-large@sst2-64,1.44981
roberta-large@sst2-65,1.44981
roberta-large@sst2-66,1.23947
roberta-large@sst2-67,1.10788
roberta-large@qnli-68,0.55855
roberta-large@qnli-69,0.49438
roberta-large@qnli-70,0.48742
roberta-large@qnli-71,0.48105
roberta-large@stsb-72,0.58264
roberta-large@sst2-73,0.58153
roberta-large@sst2-74,0.43299
roberta-large@rte-75,0.60118
roberta-large@mrpc-76,0.54666
roberta-large@wnli-77,0.52485
roberta-large@stsb-78,0.6071
roberta-large@qnli-79,0.47957
roberta-large@qnli-80,0.44824
roberta-large@qnli-81,0.32588
roberta-large@wnli-82,1.25305
roberta-large@sst2-83,0.44296
roberta-large@qnli-84,0.47148
roberta-large@sst2-85,0.51573
roberta-large@qnli-86,0.31441
roberta-large@qnli-87,0.31441
roberta-large@sst2-88,0.51474
roberta-large@qnli-89,0.39607
