name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.16517
vit-large@imagenet-split-1-1,0.12247
vit-large@Bingsu#Cat_and_Dog-2,0.29366
vit-large@food101-3,0.13296
vit-large@imagenet-split-0-4,0.11525
vit-large@Bingsu#Cat_and_Dog-5,0.32914
vit-large@mnist-6,0.15075
vit-large@Bingsu#Cat_and_Dog-7,0.22834
vit-large@imagenet-split-2-8,0.10504
vit-large@imagenet-split-1-9,0.14022
vit-large@imagenet-split-2-10,0.10475
vit-large@imagenet-split-1-11,0.10982
vit-large@imagenet-split-0-12,0.10801
vit-large@mnist-13,0.16066
vit-large@mnist-14,0.16066
vit-large@imagenet-split-0-15,0.1463
vit-large@imagenet-split-1-16,0.12622
vit-large@frgfm#imagenette-17,0.14034
vit-large@frgfm#imagenette-18,0.11986
vit-large@frgfm#imagenette-19,0.1375
vit-large@Bingsu#Cat_and_Dog-20,0.38237
vit-large@Bingsu#Cat_and_Dog-21,0.35092
vit-large@mnist-22,0.15383
vit-large@fashion_mnist-23,0.15383
vit-large@food101-24,0.1075
vit-large@food101-25,0.1075
vit-large@fashion_mnist-26,0.12104
vit-large@imagenet-split-2-27,0.11095
vit-large@food101-28,0.10734
vit-large@fashion_mnist-29,0.10604
vit-large@mnist-30,0.13857
vit-large@frgfm#imagenette-31,0.1253
vit-large@mnist-32,0.10246
vit-large@cifar100-33,0.10834
vit-large@frgfm#imagenette-34,0.11179
vit-large@imagenet-split-0-35,0.14181
vit-large@cifar100-36,0.13423
vit-large@imagenet-split-1-37,0.11926
vit-large@cifar100-38,0.11314
vit-large@imagenet-split-1-39,0.10483
vit-large@Bingsu#Cat_and_Dog-40,0.41463
vit-large@cifar100-41,0.12002
vit-large@mnist-42,0.11195
vit-large@mnist-43,0.10201
vit-large@imagenet-split-0-44,0.1463
vit-large@Bingsu#Cat_and_Dog-45,0.30737
vit-large@fashion_mnist-46,0.11224
vit-large@cifar100-47,0.10343
vit-large@imagenet-split-1-48,0.10705
vit-large@Bingsu#Cat_and_Dog-49,0.21221
vit-large@imagenet-split-1-50,0.12452
vit-large@imagenet-split-1-51,0.15682
vit-large@cifar100-52,0.10629
vit-large@imagenet-split-0-53,0.1104
vit-large@imagenet-split-1-54,0.15607
vit-large@Bingsu#Cat_and_Dog-55,0.21463
vit-large@imagenet-split-1-56,0.15191
vit-large@Bingsu#Cat_and_Dog-57,0.41301
vit-large@cifar100-58,0.11901
vit-large@imagenet-split-2-59,0.10889
vit-large@cifar100-60,0.10943
vit-large@frgfm#imagenette-61,0.14861
vit-large@Bingsu#Cat_and_Dog-62,0.25898
vit-large@Bingsu#Cat_and_Dog-63,0.25818
vit-large@frgfm#imagenette-64,0.16931
vit-large@frgfm#imagenette-65,0.14295
vit-large@food101-66,0.10483
vit-large@frgfm#imagenette-67,0.12312
vit-large@frgfm#imagenette-68,0.12312
vit-large@frgfm#imagenette-69,0.12312
vit-large@frgfm#imagenette-70,0.12312
vit-large@frgfm#imagenette-71,0.12312
vit-large@frgfm#imagenette-72,0.12312
vit-large@frgfm#imagenette-73,0.12291
vit-large@Bingsu#Cat_and_Dog-74,0.23479
vit-large@imagenet-split-0-75,0.11918
vit-large@Bingsu#Cat_and_Dog-76,0.34124
vit-large@frgfm#imagenette-77,0.14186
vit-large@mnist-78,0.14972
vit-large@Bingsu#Cat_and_Dog-79,0.31569
vit-large@frgfm#imagenette-80,0.11789
vit-large@Bingsu#Cat_and_Dog-81,0.35737
vit-large@food101-82,0.10716
vit-large@imagenet-split-2-83,0.10729
vit-large@food101-84,0.10712
vit-large@food101-85,0.10712
vit-large@imagenet-split-2-86,0.10719
vit-large@frgfm#imagenette-87,0.21118
vit-large@fashion_mnist-88,0.1541
vit-large@frgfm#imagenette-89,0.19
vit-large@frgfm#imagenette-90,0.1268
vit-large@Bingsu#Cat_and_Dog-91,0.20979
vit-large@frgfm#imagenette-92,0.11049
vit-large@frgfm#imagenette-93,0.17193
vit-large@mnist-94,0.10942
vit-large@frgfm#imagenette-95,0.16779
vit-large@Bingsu#Cat_and_Dog-96,0.3985
vit-large@frgfm#imagenette-97,0.16691
vit-large@Bingsu#Cat_and_Dog-98,0.36382
vit-large@imagenet-split-2-99,0.136
vit-large@Bingsu#Cat_and_Dog-100,0.36463
vit-large@imagenet-split-1-101,0.16077
vit-large@frgfm#imagenette-102,0.2119
vit-large@Bingsu#Cat_and_Dog-103,0.23398
vit-large@imagenet-split-1-104,0.14929
vit-large@Bingsu#Cat_and_Dog-105,0.25979
vit-large@fashion_mnist-106,0.10964
vit-large@frgfm#imagenette-107,0.11659
