name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,597.1612496376038,642.1612496376038,1,85221.0,1
vit@imagenet-split-1-1,92,208,926.1612496376038,1018.1612496376038,1,750000,4
vit@frgfm#imagenette-2,491,109,451.16124963760376,942.1612496376038,1,85221.0,1
vit@Bingsu#Cat_and_Dog-3,510,90,335.16124963760376,845.1612496376038,1,63680.0,1
vit@Bingsu#Cat_and_Dog-4,766,134,379.16124963760376,1145.1612496376038,1,63680.0,1
vit@Bingsu#Cat_and_Dog-5,782,118,363.16124963760376,1145.1612496376038,1,63680.0,1
vit@food101-6,786,114,1873.1612496376038,2659.1612496376038,1,757500.0,2
vit@imagenet-split-0-7,1280,220,1081.1612496376038,2361.1612496376038,1,250000.0,1
vit@Bingsu#Cat_and_Dog-8,1322,178,423.16124963760376,1745.1612496376038,1,63680.0,1
vit@mnist-9,1576,224,1521.1612496376038,3097.1612496376038,1,600000.0,8
vit@Bingsu#Cat_and_Dog-10,1747,53,298.16124963760376,2045.1612496376038,1,63680.0,1
vit@imagenet-split-2-11,1987,113,2425.1612496376038,4412.161249637604,1,1000000.0,2
vit@frgfm#imagenette-12,2174,226,568.1612496376038,2742.1612496376038,1,85221.0,1
vit@imagenet-split-2-13,2217,183,2495.1612496376038,4712.161249637604,1,1000000.0,2
vit@imagenet-split-1-14,2229,171,667.1612496376038,2896.1612496376038,1,750000,8
vit@imagenet-split-2-15,2296,104,2416.1612496376038,4712.161249637604,1,1000000.0,2
vit@food101-16,2296,104,1863.1612496376038,4159.161249637604,1,757500.0,2
vit@mnist-17,2374,26,2224.1612496376038,4598.161249637604,1,600000.0,1
vit@imagenet-split-1-18,2634,66,784.1612496376038,3418.1612496376038,1,750000,4
vit@imagenet-split-0-19,2660,40,517.1612496376038,3177.1612496376038,1,250000.0,2
vit@mnist-20,3002,298,1595.1612496376038,4597.161249637604,1,600000.0,8
vit@mnist-21,3002,298,1595.1612496376038,4597.161249637604,1,600000.0,8
