full_resource,free_resource,pending_num,running_num,submit_num
64,64,0,0,0
64,59,0,2,2
64,57,0,4,2
64,55,0,5,3
64,62,0,1,0
64,60,0,3,2
64,52,0,4,2
64,51,0,4,1
64,36,0,9,6
64,32,0,10,2
64,41,0,8,0
64,23,0,10,4
64,26,0,10,2
64,17,0,12,2
64,17,0,12,2
64,14,0,13,4
64,50,0,3,0
64,16,0,8,5
64,14,0,10,3
64,23,0,8,1
64,31,0,7,2
64,14,0,11,5
64,16,0,10,3
64,19,0,12,4
64,5,0,16,6
64,2,6,17,10
64,1,9,18,10
64,0,7,23,11
64,0,13,23,14
64,4,9,20,1
64,1,2,29,9
64,5,0,24,4
64,0,9,32,20
64,23,0,28,4
64,20,0,27,4
64,14,0,21,6
64,0,5,24,15
64,0,4,22,4
64,1,3,22,4
64,18,0,13,2
64,31,0,12,1
64,9,0,20,10
64,4,1,18,5
64,5,1,15,4
64,4,1,18,6
64,0,2,20,8
64,11,0,17,1
64,20,0,13,4
64,17,0,15,4
64,12,0,16,4
64,18,0,14,3
64,7,0,18,8
64,7,0,19,6
64,26,0,14,0
64,45,0,11,4
64,45,0,11,2
64,52,0,11,3
64,30,0,11,2
64,18,0,14,8
64,26,0,13,1
64,49,0,6,1
64,48,0,6,4
64,36,0,10,6
64,21,0,11,4
64,0,3,11,8
64,0,17,11,14
64,1,11,16,3
64,0,8,18,5
64,3,7,16,4
64,3,3,16,4
64,3,3,16,2
64,4,2,15,5
64,8,44,12,43
64,6,41,14,3
64,9,40,11,3
64,0,37,14,5
64,2,104,12,75
64,3,101,11,6
64,2,101,12,9
64,1,99,13,4
64,0,96,13,5
64,0,95,13,4
64,0,91,14,4
64,0,94,14,9
64,0,92,14,5
64,0,102,14,14
64,0,103,13,8
64,0,104,14,6
64,0,98,15,5
64,0,99,16,7
64,0,99,16,9
64,0,97,16,4
64,0,93,12,4
64,0,95,12,3
64,0,154,14,70
64,0,151,14,5
64,0,147,14,5
64,0,141,14,0
64,0,136,13,0
64,0,131,13,0
64,0,127,13,0
64,1,123,12,0
64,1,120,12,0
64,1,116,12,0
64,1,112,12,0
64,1,108,12,0
64,1,104,10,0
64,0,99,10,0
64,0,96,10,0
64,0,91,10,0
64,0,88,9,0
64,0,84,9,0
64,0,80,10,0
64,0,76,10,0
64,0,73,10,0
64,0,68,10,0
64,0,64,10,0
64,0,60,10,0
64,2,57,9,0
64,2,53,9,0
64,2,50,9,0
64,6,46,8,0
64,6,43,8,0
64,0,42,8,0
64,0,42,8,0
64,0,42,8,0
64,0,38,8,0
64,0,35,8,0
64,0,34,8,0
64,0,34,8,0
64,0,34,8,0
64,0,30,8,0
64,0,27,8,0
64,0,26,8,0
64,0,26,8,0
64,0,26,8,0
64,0,22,8,0
64,0,19,8,0
64,0,18,8,0
64,0,18,8,0
64,0,18,8,0
64,0,14,8,0
64,0,11,8,0
64,0,10,8,0
64,0,10,8,0
64,0,10,8,0
64,0,6,8,0
64,0,3,8,0
64,0,2,8,0
64,0,2,8,0
64,0,2,8,0
64,8,1,7,0
64,12,0,6,0
64,36,0,3,0
64,36,0,3,0
64,36,0,3,0
64,44,0,2,0
64,44,0,2,0
64,44,0,2,0
64,52,0,1,0
64,52,0,1,0
64,64,0,0,0
