name,finish_time_fairness
roberta-base@mrpc-0,0.34784
roberta-base@qnli-1,0.19171
roberta-base@qnli-2,0.20691
roberta-base@sst2-3,0.19914
roberta-base@qnli-4,0.14564
roberta-base@qnli-5,0.19002
roberta-base@qnli-6,0.17921
roberta-base@stsb-7,0.20494
roberta-base@rte-8,0.28791
roberta-base@qnli-9,0.1626
roberta-base@mnli-10,0.18053
roberta-base@qqp-11,0.17639
roberta-base@mnli-12,0.18035
roberta-base@qnli-13,0.1471
roberta-base@sst2-14,0.1654
roberta-base@wnli-15,7.09327
roberta-base@sst2-16,0.20931
roberta-base@rte-17,0.3444
roberta-base@sst2-18,0.20791
roberta-base@rte-19,0.35118
roberta-base@stsb-20,0.2233
roberta-base@qnli-21,0.18664
roberta-base@qnli-22,0.20774
roberta-base@wnli-23,6.35993
roberta-base@wnli-24,4.29327
roberta-base@mrpc-25,0.44
roberta-base@wnli-26,4.29327
roberta-base@wnli-27,4.2266
roberta-base@qnli-28,0.20747
roberta-base@wnli-29,9.0266
roberta-base@wnli-30,6.0266
roberta-base@rte-31,0.3557
roberta-base@snli-32,0.15218
roberta-base@mnli-33,0.14465
roberta-base@rte-34,0.736
roberta-base@rte-35,0.27887
roberta-base@stsb-36,0.2268
roberta-base@stsb-37,0.22243
roberta-base@snli-38,0.15083
roberta-base@sst2-39,0.37102
roberta-base@stsb-40,0.21456
roberta-base@rte-41,0.34214
roberta-base@qnli-42,0.15003
roberta-base@wnli-43,4.75993
roberta-base@qqp-44,0.15122
roberta-base@qnli-45,0.2065
roberta-base@qqp-46,0.15463
roberta-base@sst2-47,0.20706
roberta-base@qnli-48,0.16521
roberta-base@sst2-49,0.20845
roberta-base@rte-50,0.38282
roberta-base@mrpc-51,0.37137
roberta-base@mrpc-52,0.37333
roberta-base@qnli-53,0.19256
roberta-base@qqp-54,0.13546
roberta-base@wnli-55,7.69327
roberta-base@sst2-56,0.19782
roberta-base@rte-57,0.28113
roberta-base@qnli-58,0.16163
roberta-base@qqp-59,0.13665
roberta-base@sst2-60,0.17275
roberta-base@stsb-61,0.22942
roberta-base@sst2-62,0.17781
roberta-base@sst2-63,0.29925
roberta-base@mnli-64,0.14791
roberta-base@stsb-65,0.2233
roberta-base@qnli-66,0.20602
roberta-base@qnli-67,0.17758
roberta-base@qnli-68,0.2948
roberta-base@sst2-69,0.19755
roberta-base@qnli-70,0.31401
roberta-base@sst2-71,0.19755
roberta-base@rte-72,0.42576
roberta-base@qnli-73,0.16033
roberta-base@mrpc-74,0.40666
roberta-base@qnli-75,0.40322
roberta-base@sst2-76,0.18439
roberta-base@qnli-77,0.40322
roberta-base@qnli-78,0.4423
roberta-base@sst2-79,0.18388
roberta-base@sst2-80,0.2446
roberta-base@qnli-81,0.57872
roberta-base@sst2-82,0.36605
roberta-base@sst2-83,0.36605
roberta-base@sst2-84,0.42677
roberta-base@qnli-85,0.57872
roberta-base@qnli-86,0.61779
roberta-base@qnli-87,0.75455
roberta-base@sst2-88,0.80577
roberta-base@sst2-89,0.76934
roberta-base@qnli-90,0.58426
roberta-base@qnli-91,0.46867
roberta-base@sst2-92,0.44144
roberta-base@sst2-93,0.25332
roberta-base@sst2-94,0.25032
roberta-base@qnli-95,0.2293
roberta-base@stsb-96,0.21718
roberta-base@qnli-97,0.17791
roberta-base@sst2-98,0.18388
roberta-base@sst2-99,0.21209
roberta-base@rte-100,0.34666
roberta-base@rte-101,0.34666
roberta-base@mrpc-102,0.32039
roberta-base@wnli-103,7.89327
roberta-base@sst2-104,0.21091
roberta-base@qnli-105,0.18797
roberta-base@qnli-106,0.17009
roberta-base@qnli-107,0.18963
roberta-base@wnli-108,5.69327
roberta-base@sst2-109,0.18894
roberta-base@sst2-110,0.20963
roberta-base@sst2-111,0.19552
roberta-base@qnli-112,0.41039
roberta-base@sst2-113,0.19552
roberta-base@sst2-114,0.19552
roberta-base@sst2-115,0.37718
roberta-base@qnli-116,0.41006
roberta-base@sst2-117,0.37718
roberta-base@sst2-118,0.37718
roberta-base@sst2-119,0.31595
