name,finish_time_fairness
roberta-large@qnli-0,0.47215
roberta-large@sst2-1,0.47827
roberta-large@qnli-2,0.36642
roberta-large@mnli-3,0.36532
roberta-large@qqp-4,0.27897
roberta-large@mnli-5,0.3712
roberta-large@wnli-6,0.74536
roberta-large@rte-7,0.40754
roberta-large@qnli-8,0.43368
roberta-large@qnli-9,0.47289
roberta-large@rte-10,0.40262
roberta-large@wnli-11,0.52998
roberta-large@mrpc-12,0.58659
roberta-large@wnli-13,0.52485
roberta-large@wnli-14,0.66331
roberta-large@mrpc-15,0.55236
roberta-large@sst2-16,0.46185
roberta-large@qnli-17,0.43924
roberta-large@rte-18,0.35503
roberta-large@stsb-19,0.59545
roberta-large@sst2-20,0.38585
roberta-large@sst2-21,0.44717
roberta-large@qqp-22,0.27557
roberta-large@qqp-23,0.27854
roberta-large@sst2-24,0.4947
roberta-large@rte-25,0.43052
roberta-large@mrpc-26,0.5381
roberta-large@sst2-27,0.41106
roberta-large@sst2-28,0.41106
roberta-large@sst2-29,0.42103
roberta-large@qnli-30,0.43613
roberta-large@stsb-31,0.5908
roberta-large@sst2-32,0.45991
roberta-large@qnli-33,0.29912
roberta-large@mrpc-34,0.51101
roberta-large@qnli-35,0.28492
roberta-large@wnli-36,0.75049
roberta-large@qnli-37,0.52141
roberta-large@sst2-38,0.43399
roberta-large@sst2-39,0.43299
roberta-large@sst2-40,0.85168
roberta-large@qnli-41,0.63583
roberta-large@sst2-42,0.85168
roberta-large@sst2-43,1.09094
roberta-large@sst2-44,0.76097
roberta-large@sst2-45,0.86863
roberta-large@qnli-46,0.31414
roberta-large@qnli-47,0.47001
roberta-large@sst2-48,0.4619
roberta-large@sst2-49,0.43299
roberta-large@rte-50,0.40426
roberta-large@wnli-51,0.52485
roberta-large@stsb-52,0.6071
roberta-large@qnli-53,0.47221
roberta-large@qnli-54,0.43491
roberta-large@qnli-55,0.3095
roberta-large@wnli-56,0.63767
roberta-large@sst2-57,0.45592
roberta-large@qnli-58,0.34718
roberta-large@sst2-59,0.45492
