full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,31,0,1,1
32,27,0,2,1
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,26,0,2,1
32,26,0,2,0
32,26,0,2,0
32,26,0,2,0
32,26,0,2,0
32,26,0,2,0
32,26,0,2,0
32,26,0,2,0
32,29,0,2,1
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,29,0,2,0
32,27,0,3,1
32,27,0,3,0
32,27,0,3,0
32,27,0,3,0
32,19,0,4,1
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,19,1,4,1
32,13,0,6,1
32,13,0,6,0
32,13,0,6,0
32,13,0,6,0
32,13,0,6,0
32,13,0,6,0
32,13,0,6,1
32,14,0,5,0
32,16,0,4,0
32,16,0,4,0
32,16,0,4,0
32,16,0,4,0
32,16,0,4,0
32,15,0,5,1
32,15,0,5,0
32,15,0,5,0
32,15,0,5,0
32,15,0,5,0
32,15,0,5,0
32,17,0,4,0
32,20,0,4,1
32,20,0,4,0
32,29,0,2,0
32,30,0,2,1
32,30,0,2,0
32,30,0,2,0
32,30,0,2,0
32,30,0,2,0
32,30,0,2,0
32,31,0,1,0
32,31,0,1,0
32,31,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,24,0,1,1
32,22,0,2,1
32,22,0,2,0
32,22,0,2,0
32,14,0,3,1
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,22,0,2,0
32,22,0,2,0
32,22,0,2,0
32,22,0,2,0
32,22,0,2,1
32,20,0,3,1
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,16,1,4,2
32,16,1,4,0
32,8,0,6,1
32,4,0,7,1
32,0,0,8,1
32,7,0,8,1
32,7,0,8,0
32,3,0,9,1
32,3,1,9,1
32,2,1,10,1
32,2,1,10,0
32,2,1,10,0
32,2,1,10,0
32,2,0,10,0
32,1,0,11,1
32,3,0,10,0
32,3,0,10,0
32,2,0,11,1
32,7,0,9,0
32,10,0,9,1
32,10,0,9,0
32,10,0,9,0
32,14,0,8,0
32,19,0,6,0
32,23,0,5,0
32,22,1,6,2
32,19,0,8,1
32,19,0,8,0
32,19,0,8,0
32,19,0,8,0
32,18,0,9,1
32,18,0,9,0
32,21,0,9,1
32,21,0,9,0
32,21,0,9,0
32,23,0,8,0
32,23,0,8,0
32,23,0,8,0
32,10,1,14,7
32,10,0,14,0
32,9,0,15,1
32,9,0,15,1
32,10,0,14,0
32,10,0,14,0
32,10,0,14,0
32,11,0,13,0
32,11,0,13,0
32,14,0,10,1
32,15,0,9,0
32,15,0,9,0
32,15,0,9,0
32,15,0,9,0
32,15,0,9,0
32,17,0,8,0
32,16,0,9,1
32,17,0,8,0
32,8,1,9,3
32,8,1,9,0
32,8,1,9,0
32,8,1,9,0
32,6,1,10,1
32,6,1,10,0
32,6,1,10,0
32,7,1,9,0
32,7,1,9,0
32,7,1,9,0
32,9,2,8,1
32,7,1,9,0
32,7,1,9,0
32,7,2,9,2
32,6,1,9,0
32,6,1,9,0
32,6,1,9,0
32,1,0,8,0
32,0,0,9,1
32,0,1,9,1
32,3,1,7,0
32,2,0,8,0
32,2,0,8,0
32,2,0,8,0
32,1,0,9,1
32,0,1,10,2
32,0,1,10,0
32,1,1,9,0
32,1,1,9,0
32,9,0,7,0
32,10,1,6,1
32,9,1,7,1
32,9,1,7,0
32,10,1,6,0
32,10,1,6,0
32,11,1,5,0
32,12,1,4,0
32,12,1,4,0
32,12,1,4,0
32,12,1,4,0
32,12,1,4,0
32,12,1,4,0
32,11,1,5,1
32,11,1,5,0
32,11,1,5,0
32,11,1,5,0
32,12,1,4,0
32,4,0,4,0
32,3,1,5,2
32,3,1,5,0
32,3,1,5,0
32,3,1,5,0
32,3,1,5,0
32,3,1,5,0
32,1,0,5,0
32,0,0,6,1
32,16,0,5,0
32,5,0,5,1
32,4,0,6,1
32,5,1,5,1
32,5,1,5,0
32,4,1,6,1
32,4,1,6,0
32,4,1,6,0
32,4,0,6,0
32,4,0,6,0
32,4,0,6,0
32,4,0,6,0
32,4,0,6,0
32,4,0,6,0
32,4,0,6,0
32,4,0,6,0
32,4,0,6,0
32,8,0,5,0
32,8,0,5,0
32,8,0,5,0
32,0,0,6,1
32,0,0,6,0
32,0,0,6,0
32,0,1,6,1
32,0,1,6,0
32,0,1,6,0
32,1,0,6,0
32,1,0,6,0
32,1,0,6,0
32,1,0,6,0
32,1,0,6,0
32,1,0,6,0
32,1,0,6,0
32,1,0,6,0
32,1,0,6,0
32,0,0,7,1
32,8,0,6,0
32,8,0,6,0
32,8,0,6,0
32,9,0,5,0
32,9,0,5,0
32,9,0,5,0
32,9,0,5,0
32,9,0,5,0
32,9,0,5,0
32,9,0,5,0
32,9,0,5,0
32,8,0,6,1
32,20,0,5,0
32,20,0,5,0
32,20,0,5,0
32,20,0,5,0
32,21,0,4,0
32,19,1,6,3
32,17,0,7,0
32,18,0,6,1
32,19,0,5,0
32,19,0,5,0
32,19,0,5,0
32,19,0,5,0
32,19,0,5,0
32,18,0,6,1
32,20,0,4,0
32,20,0,4,0
32,20,0,4,0
32,19,0,5,1
32,19,0,5,0
32,19,0,5,0
32,19,0,5,0
32,20,0,4,0
32,21,0,3,0
32,20,0,4,1
32,18,0,5,1
32,18,0,5,0
32,18,0,5,0
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,20,0,4,1
32,20,0,4,0
32,20,0,4,0
32,20,0,4,0
32,21,0,3,0
32,5,1,5,3
32,3,0,6,0
32,2,2,7,3
32,2,2,7,0
