name,finish_time_fairness
vit@frgfm#imagenette-0,0.05807
vit@imagenet-split-1-1,0.05653
vit@Bingsu#Cat_and_Dog-2,0.09223
vit@food101-3,0.07714
vit@imagenet-split-0-4,0.05448
vit@Bingsu#Cat_and_Dog-5,0.10789
vit@mnist-6,0.07761
vit@Bingsu#Cat_and_Dog-7,0.10611
vit@imagenet-split-2-8,0.05561
vit@imagenet-split-1-9,0.0684
vit@imagenet-split-2-10,0.0554
vit@imagenet-split-1-11,0.05486
vit@imagenet-split-0-12,0.05965
vit@mnist-13,0.07842
vit@mnist-14,0.0819
vit@imagenet-split-0-15,0.06995
vit@imagenet-split-1-16,0.05516
vit@frgfm#imagenette-17,0.05905
vit@frgfm#imagenette-18,0.06328
vit@frgfm#imagenette-19,0.05694
vit@Bingsu#Cat_and_Dog-20,0.08867
vit@Bingsu#Cat_and_Dog-21,0.09614
vit@mnist-22,0.07547
vit@fashion_mnist-23,0.06287
vit@food101-24,0.05503
vit@food101-25,0.05503
vit@fashion_mnist-26,0.06201
vit@imagenet-split-2-27,0.05571
vit@food101-28,0.05674
vit@fashion_mnist-29,0.07809
vit@mnist-30,0.07582
vit@frgfm#imagenette-31,0.05759
vit@mnist-32,0.05176
vit@cifar100-33,0.07743
vit@frgfm#imagenette-34,0.05726
vit@imagenet-split-0-35,0.06331
vit@cifar100-36,0.06385
vit@imagenet-split-1-37,0.05835
vit@cifar100-38,0.05638
vit@imagenet-split-1-39,0.05971
vit@Bingsu#Cat_and_Dog-40,0.1029
vit@cifar100-41,0.07038
vit@mnist-42,0.06551
vit@mnist-43,0.05416
vit@imagenet-split-0-44,0.06995
vit@Bingsu#Cat_and_Dog-45,0.09828
vit@fashion_mnist-46,0.05687
vit@cifar100-47,0.07906
vit@imagenet-split-1-48,0.0616
vit@Bingsu#Cat_and_Dog-49,0.09899
vit@imagenet-split-1-50,0.06282
vit@imagenet-split-1-51,0.06854
vit@cifar100-52,0.07743
vit@imagenet-split-0-53,0.05303
vit@imagenet-split-1-54,0.06956
vit@Bingsu#Cat_and_Dog-55,0.10006
vit@imagenet-split-1-56,0.06951
vit@Bingsu#Cat_and_Dog-57,0.10219
vit@cifar100-58,0.07533
vit@imagenet-split-2-59,0.05984
vit@cifar100-60,0.07888
vit@frgfm#imagenette-61,0.06523
vit@Bingsu#Cat_and_Dog-62,0.09828
vit@Bingsu#Cat_and_Dog-63,0.09792
vit@frgfm#imagenette-64,0.06116
vit@frgfm#imagenette-65,0.061
vit@food101-66,0.05612
vit@frgfm#imagenette-67,0.05596
vit@frgfm#imagenette-68,0.05596
vit@frgfm#imagenette-69,0.05596
vit@frgfm#imagenette-70,0.05596
vit@frgfm#imagenette-71,0.05596
vit@frgfm#imagenette-72,0.06572
vit@frgfm#imagenette-73,0.07531
vit@Bingsu#Cat_and_Dog-74,0.0876
vit@imagenet-split-0-75,0.05859
vit@Bingsu#Cat_and_Dog-76,0.11322
vit@frgfm#imagenette-77,0.06019
vit@mnist-78,0.08308
vit@Bingsu#Cat_and_Dog-79,0.10442
vit@frgfm#imagenette-80,0.06181
vit@Bingsu#Cat_and_Dog-81,0.09899
vit@food101-82,0.05469
vit@imagenet-split-2-83,0.05444
vit@food101-84,0.05466
vit@food101-85,0.05652
vit@imagenet-split-2-86,0.05437
vit@frgfm#imagenette-87,0.06993
vit@fashion_mnist-88,0.1454
vit@frgfm#imagenette-89,0.10336
vit@frgfm#imagenette-90,0.15419
vit@Bingsu#Cat_and_Dog-91,0.16198
vit@frgfm#imagenette-92,0.05629
vit@frgfm#imagenette-93,0.06312
vit@mnist-94,0.05326
vit@frgfm#imagenette-95,0.06003
vit@Bingsu#Cat_and_Dog-96,0.09579
vit@frgfm#imagenette-97,0.05938
vit@Bingsu#Cat_and_Dog-98,0.10184
vit@imagenet-split-2-99,0.07765
vit@Bingsu#Cat_and_Dog-100,0.12354
