name,finish_time_fairness
roberta-base@mrpc-0,0.34784
roberta-base@sst2-1,0.15858
roberta-base@rte-2,0.30147
roberta-base@snli-3,0.1354
roberta-base@qnli-4,0.20691
roberta-base@qqp-5,0.17593
roberta-base@sst2-6,0.19704
roberta-base@qnli-7,0.1566
roberta-base@qnli-8,0.19002
roberta-base@qnli-9,0.19875
roberta-base@sst2-10,0.20058
roberta-base@sst2-11,0.16369
roberta-base@mrpc-12,0.35961
roberta-base@wnli-13,7.29327
roberta-base@rte-14,0.28791
roberta-base@qnli-15,0.1626
roberta-base@mnli-16,0.14587
roberta-base@qqp-17,0.13538
roberta-base@sst2-18,0.17224
roberta-base@qqp-19,0.15512
roberta-base@mnli-20,0.15146
roberta-base@sst2-21,0.17781
roberta-base@qnli-22,0.15806
roberta-base@sst2-23,0.1546
roberta-base@sst2-24,0.1654
roberta-base@qnli-25,0.14637
roberta-base@sst2-26,0.15347
roberta-base@sst2-27,0.21123
roberta-base@sst2-28,0.15347
roberta-base@sst2-29,0.15659
roberta-base@qnli-30,0.20595
roberta-base@rte-31,0.3444
roberta-base@qnli-32,0.20526
roberta-base@sst2-33,0.20791
roberta-base@rte-34,0.35118
roberta-base@qnli-35,0.20705
roberta-base@qnli-36,0.19389
roberta-base@qnli-37,0.20774
roberta-base@mrpc-38,0.3851
roberta-base@wnli-39,6.35993
roberta-base@mnli-40,0.18402
roberta-base@wnli-41,4.29327
roberta-base@mrpc-42,0.32235
roberta-base@mrpc-43,0.32235
roberta-base@rte-44,0.27435
roberta-base@wnli-45,4.2266
roberta-base@wnli-46,4.2266
roberta-base@qnli-47,0.20747
roberta-base@mrpc-48,0.34392
roberta-base@wnli-49,10.0266
roberta-base@rte-50,0.3557
roberta-base@mrpc-51,0.38314
roberta-base@snli-52,0.14895
roberta-base@mnli-53,0.1823
roberta-base@qqp-54,0.15065
roberta-base@mrpc-55,0.47584
roberta-base@rte-56,0.736
roberta-base@mrpc-57,0.49316
roberta-base@mrpc-58,0.4949
roberta-base@rte-59,0.27887
roberta-base@stsb-60,0.2268
roberta-base@wnli-61,5.95993
roberta-base@stsb-62,0.22243
roberta-base@snli-63,0.15083
roberta-base@wnli-64,6.95993
roberta-base@sst2-65,0.27195
roberta-base@stsb-66,0.21456
roberta-base@rte-67,0.34214
roberta-base@qnli-68,0.15003
roberta-base@wnli-69,4.75993
roberta-base@qqp-70,0.13525
roberta-base@qnli-71,0.2065
roberta-base@qqp-72,0.15463
roberta-base@sst2-73,0.20706
roberta-base@wnli-74,7.29327
roberta-base@qnli-75,0.16521
roberta-base@sst2-76,0.20845
roberta-base@qnli-77,0.17465
roberta-base@rte-78,0.38282
roberta-base@wnli-79,5.95993
roberta-base@mrpc-80,0.37333
roberta-base@wnli-81,4.55993
roberta-base@sst2-82,0.20064
roberta-base@qqp-83,0.13546
roberta-base@stsb-84,0.23816
roberta-base@wnli-85,5.2266
roberta-base@wnli-86,7.69327
roberta-base@sst2-87,0.19782
roberta-base@sst2-88,0.20706
roberta-base@qnli-89,0.16163
roberta-base@qqp-90,0.13665
roberta-base@sst2-91,0.17275
roberta-base@rte-92,0.38056
roberta-base@sst2-93,0.17781
roberta-base@sst2-94,0.17781
roberta-base@sst2-95,0.29925
roberta-base@qnli-96,0.20457
roberta-base@mnli-97,0.18127
roberta-base@sst2-98,0.20866
roberta-base@stsb-99,0.19532
roberta-base@sst2-100,0.18793
roberta-base@qnli-101,0.17107
roberta-base@stsb-102,0.2233
roberta-base@qnli-103,0.20602
roberta-base@qnli-104,0.33387
roberta-base@sst2-105,0.19805
roberta-base@sst2-106,0.19805
roberta-base@sst2-107,0.19805
roberta-base@sst2-108,0.25827
roberta-base@qnli-109,0.41169
roberta-base@sst2-110,0.37971
roberta-base@qnli-111,0.41169
roberta-base@sst2-112,0.37971
roberta-base@sst2-113,0.37971
roberta-base@rte-114,0.42576
roberta-base@qnli-115,0.1994
roberta-base@mrpc-116,0.40666
roberta-base@qnli-117,0.34462
roberta-base@sst2-118,0.18439
roberta-base@qnli-119,0.36415
roberta-base@qnli-120,0.40322
roberta-base@qnli-121,0.42276
roberta-base@qnli-122,0.46183
roberta-base@sst2-123,0.21424
roberta-base@sst2-124,0.27496
roberta-base@qnli-125,0.52011
roberta-base@sst2-126,0.27496
roberta-base@sst2-127,0.30533
roberta-base@sst2-128,0.36605
roberta-base@qnli-129,0.53965
roberta-base@qnli-130,0.57872
roberta-base@qnli-131,0.59826
roberta-base@qnli-132,0.69594
roberta-base@sst2-133,0.39641
roberta-base@qnli-134,0.71547
roberta-base@sst2-135,0.45713
roberta-base@wnli-136,5.75993
roberta-base@wnli-137,4.6266
roberta-base@sst2-138,0.65397
roberta-base@sst2-139,0.76934
roberta-base@qnli-140,0.54518
roberta-base@qnli-141,0.39052
roberta-base@sst2-142,0.44144
roberta-base@qnli-143,0.20533
roberta-base@sst2-144,0.21177
roberta-base@qnli-145,0.2045
roberta-base@stsb-146,0.23554
roberta-base@stsb-147,0.21718
roberta-base@qnli-148,0.17791
roberta-base@sst2-149,0.19856
