name,finish_time_fairness
roberta-large@mrpc-0,0.51957
roberta-large@qnli-1,0.47215
roberta-large@sst2-2,0.47827
roberta-large@qnli-3,0.36642
roberta-large@qnli-4,0.4368
roberta-large@sst2-5,0.46589
roberta-large@qnli-6,0.28683
roberta-large@mnli-7,0.44677
roberta-large@qqp-8,0.42992
roberta-large@mnli-9,0.44871
roberta-large@qnli-10,0.3679
roberta-large@sst2-11,0.46001
roberta-large@wnli-12,0.74536
roberta-large@rte-13,0.40262
roberta-large@rte-14,0.40754
roberta-large@qnli-15,0.43368
roberta-large@qnli-16,0.47289
roberta-large@rte-17,0.40262
roberta-large@wnli-18,0.52998
roberta-large@mrpc-19,0.58659
roberta-large@wnli-20,0.52485
roberta-large@qnli-21,0.47264
roberta-large@wnli-22,0.66331
roberta-large@mrpc-23,0.55236
roberta-large@sst2-24,0.46185
roberta-large@mnli-25,0.37045
roberta-large@rte-26,0.68854
roberta-large@rte-27,0.35503
roberta-large@stsb-28,0.59545
roberta-large@sst2-29,0.38585
roberta-large@stsb-30,0.57915
roberta-large@rte-31,0.40098
roberta-large@sst2-32,0.44717
roberta-large@rte-33,0.36323
roberta-large@qqp-34,0.27557
roberta-large@qqp-35,0.27854
roberta-large@sst2-36,0.4947
roberta-large@rte-37,0.43052
roberta-large@mrpc-38,0.5381
roberta-large@snli-39,0.36527
roberta-large@wnli-40,0.54536
roberta-large@qnli-41,0.28601
roberta-large@qqp-42,0.27939
roberta-large@sst2-43,0.41106
roberta-large@sst2-44,0.42103
roberta-large@qnli-45,0.43613
roberta-large@stsb-46,0.5908
roberta-large@qnli-47,0.29939
roberta-large@sst2-48,0.45991
roberta-large@qnli-49,0.31551
roberta-large@sst2-50,0.45991
roberta-large@mrpc-51,0.51101
roberta-large@qnli-52,0.28492
roberta-large@wnli-53,0.75049
roberta-large@qnli-54,0.52141
roberta-large@sst2-55,0.43399
roberta-large@sst2-56,0.43399
roberta-large@qnli-57,0.5378
roberta-large@sst2-58,0.49281
roberta-large@sst2-59,0.85168
roberta-large@qnli-60,0.63583
roberta-large@sst2-61,0.85168
roberta-large@sst2-62,0.85168
roberta-large@sst2-63,0.9115
roberta-large@sst2-64,1.09094
roberta-large@sst2-65,1.27038
roberta-large@sst2-66,0.76097
roberta-large@sst2-67,0.86863
roberta-large@qnli-68,0.46024
roberta-large@qnli-69,0.33053
roberta-large@qnli-70,0.47271
roberta-large@qnli-71,0.47001
roberta-large@stsb-72,0.58264
roberta-large@sst2-73,0.4619
roberta-large@sst2-74,0.43299
roberta-large@rte-75,0.40426
roberta-large@mrpc-76,0.54666
roberta-large@wnli-77,0.52485
roberta-large@stsb-78,0.6071
roberta-large@qnli-79,0.47221
roberta-large@qnli-80,0.43491
roberta-large@qnli-81,0.3095
roberta-large@wnli-82,0.63767
roberta-large@sst2-83,0.44296
roberta-large@qnli-84,0.47148
roberta-large@sst2-85,0.45592
roberta-large@qnli-86,0.29803
roberta-large@qnli-87,0.29803
roberta-large@sst2-88,0.45492
roberta-large@qnli-89,0.34691
