name,finish_time_fairness
vit@frgfm#imagenette-0,0.05807
vit@imagenet-split-1-1,0.05653
vit@frgfm#imagenette-2,0.0636
vit@Bingsu#Cat_and_Dog-3,0.09223
vit@food101-4,0.07714
vit@imagenet-split-0-5,0.05448
vit@Bingsu#Cat_and_Dog-6,0.10789
vit@mnist-7,0.07761
vit@Bingsu#Cat_and_Dog-8,0.10611
vit@imagenet-split-2-9,0.07609
vit@imagenet-split-1-10,0.0684
vit@imagenet-split-2-11,0.0554
vit@food101-12,0.05596
vit@mnist-13,0.05139
vit@imagenet-split-1-14,0.05486
vit@imagenet-split-2-15,0.07564
vit@mnist-16,0.07842
vit@mnist-17,0.0819
vit@imagenet-split-0-18,0.06995
vit@imagenet-split-1-19,0.05516
vit@frgfm#imagenette-20,0.05905
vit@frgfm#imagenette-21,0.06328
vit@imagenet-split-2-22,0.05486
vit@frgfm#imagenette-23,0.05694
vit@Bingsu#Cat_and_Dog-24,0.08867
vit@Bingsu#Cat_and_Dog-25,0.09614
vit@mnist-26,0.07547
vit@fashion_mnist-27,0.06287
vit@food101-28,0.06099
vit@food101-29,0.05503
vit@fashion_mnist-30,0.06201
vit@fashion_mnist-31,0.06938
vit@Bingsu#Cat_and_Dog-32,0.10682
vit@frgfm#imagenette-33,0.06019
vit@imagenet-split-2-34,0.05571
vit@food101-35,0.05764
vit@food101-36,0.05674
vit@fashion_mnist-37,0.07809
vit@mnist-38,0.07582
vit@frgfm#imagenette-39,0.05759
vit@mnist-40,0.05176
vit@fashion_mnist-41,0.05774
vit@cifar100-42,0.07743
vit@frgfm#imagenette-43,0.05726
vit@Bingsu#Cat_and_Dog-44,0.10646
vit@imagenet-split-0-45,0.06331
vit@cifar100-46,0.06385
vit@imagenet-split-1-47,0.06289
vit@fashion_mnist-48,0.05453
vit@cifar100-49,0.05638
vit@fashion_mnist-50,0.05891
vit@imagenet-split-1-51,0.05971
vit@Bingsu#Cat_and_Dog-52,0.1029
vit@imagenet-split-1-53,0.05819
vit@imagenet-split-2-54,0.05674
vit@cifar100-55,0.07038
vit@mnist-56,0.06901
vit@frgfm#imagenette-57,0.05986
vit@imagenet-split-0-58,0.0824
vit@imagenet-split-2-59,0.05651
vit@frgfm#imagenette-60,0.06279
vit@Bingsu#Cat_and_Dog-61,0.09828
vit@fashion_mnist-62,0.05687
vit@cifar100-63,0.07906
vit@imagenet-split-1-64,0.05706
vit@Bingsu#Cat_and_Dog-65,0.09899
vit@imagenet-split-0-66,0.05636
vit@imagenet-split-1-67,0.05774
vit@fashion_mnist-68,0.07953
vit@imagenet-split-1-69,0.05827
vit@frgfm#imagenette-70,0.05612
vit@imagenet-split-2-71,0.06209
vit@imagenet-split-1-72,0.06854
vit@mnist-73,0.05287
vit@cifar100-74,0.07743
vit@imagenet-split-0-75,0.05303
vit@imagenet-split-1-76,0.06956
vit@Bingsu#Cat_and_Dog-77,0.10006
vit@imagenet-split-1-78,0.0679
vit@fashion_mnist-79,0.1002
vit@Bingsu#Cat_and_Dog-80,0.10219
vit@cifar100-81,0.07533
vit@imagenet-split-2-82,0.05984
vit@cifar100-83,0.07888
vit@Bingsu#Cat_and_Dog-84,0.0997
vit@frgfm#imagenette-85,0.06523
vit@Bingsu#Cat_and_Dog-86,0.09828
vit@Bingsu#Cat_and_Dog-87,0.09792
vit@frgfm#imagenette-88,0.06116
vit@fashion_mnist-89,0.07847
vit@frgfm#imagenette-90,0.061
vit@imagenet-split-1-91,0.06277
vit@food101-92,0.07691
vit@frgfm#imagenette-93,0.05596
vit@frgfm#imagenette-94,0.05596
vit@frgfm#imagenette-95,0.05596
vit@frgfm#imagenette-96,0.05596
vit@frgfm#imagenette-97,0.05596
vit@frgfm#imagenette-98,0.05596
vit@frgfm#imagenette-99,0.06572
vit@Bingsu#Cat_and_Dog-100,0.08796
vit@frgfm#imagenette-101,0.08507
