name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,15,364.34559297561646,409.34559297561646,1,9170,1
roberta-large@qnli-1,786,54,3944.3455929756165,4730.3455929756165,1,235674.0,2
roberta-large@qnli-2,1280,40,7699.3455929756165,8979.345592975616,1,235674.0,1
roberta-large@sst2-3,1987,53,1456.3455929756165,3443.3455929756165,1,84190.0,2
roberta-large@qnli-4,2634,66,2039.3455929756165,4673.3455929756165,1,235674.0,4
roberta-large@qnli-5,2660,40,3930.3455929756165,6590.3455929756165,1,235674.0,2
roberta-large@qnli-6,3002,58,1101.3455929756165,4103.3455929756165,1,235674.0,8
roberta-large@stsb-7,3459,21,486.34559297561646,3945.3455929756165,1,12942.0,1
roberta-large@rte-8,4072,8,220.34559297561646,4292.3455929756165,1,4984.0,1
roberta-large@qnli-9,4853,7,1050.3455929756165,5903.3455929756165,1,235674.0,8
roberta-large@mnli-10,4906,14,12689.345592975616,17595.345592975616,1,785408.0,2
roberta-large@qqp-11,6003,57,2326.3455929756165,8329.345592975616,1,909620.0,16
roberta-large@mnli-12,6111,69,12744.345592975616,18855.345592975616,1,785408.0,2
roberta-large@qnli-13,7246,14,1987.3455929756165,9233.345592975616,1,235674.0,4
roberta-large@sst2-14,7328,52,788.3455929756165,8116.3455929756165,1,84190.0,4
roberta-large@wnli-15,7516,44,145.34559297561646,7661.3455929756165,1,1590.0,1
roberta-large@sst2-16,7774,26,2782.3455929756165,10556.345592975616,1,84190.0,1
roberta-large@rte-17,8067,33,245.34559297561646,8312.345592975616,1,4984.0,1
roberta-large@sst2-18,8267,13,2769.3455929756165,11036.345592975616,1,84190.0,1
roberta-large@rte-19,8364,36,248.34559297561646,8612.345592975616,1,4984.0,1
roberta-large@stsb-20,8718,42,507.34559297561646,9225.345592975616,1,12942.0,1
roberta-large@qnli-21,8748,12,3902.3455929756165,12650.345592975616,1,235674.0,2
roberta-large@qnli-22,8768,52,7711.3455929756165,16479.345592975616,1,235674.0,1
roberta-large@wnli-23,9147,33,134.34559297561646,9281.345592975616,1,1590.0,1
roberta-large@wnli-24,9538,2,103.34559297561646,9641.345592975616,1,1590.0,1
roberta-large@mrpc-25,9538,62,411.34559297561646,9949.345592975616,1,9170,1
roberta-large@wnli-26,9538,2,103.34559297561646,9641.345592975616,1,1590.0,1
roberta-large@wnli-27,9539,1,102.34559297561646,9641.345592975616,1,1590.0,1
roberta-large@qnli-28,9612,48,7707.3455929756165,17319.345592975616,1,235674.0,1
roberta-large@wnli-29,9707,13,114.34559297561646,9821.345592975616,1,1590.0,1
roberta-large@wnli-30,10052,28,129.34559297561646,10181.345592975616,1,1590.0,1
roberta-large@rte-31,10462,38,250.34559297561646,10712.345592975616,1,4984.0,1
roberta-large@snli-32,10617,3,3571.3455929756165,14188.345592975616,1,824064.0,8
roberta-large@mnli-33,10618,62,3465.3455929756165,14083.345592975616,1,785408.0,8
roberta-large@rte-34,11194,86,223.34559297561646,11417.345592975616,1,4984.0,2
roberta-large@rte-35,11696,4,216.34559297561646,11912.345592975616,1,4984.0,1
roberta-large@stsb-36,11714,46,511.34559297561646,12225.345592975616,1,12942.0,1
roberta-large@stsb-37,12079,41,506.34559297561646,12585.345592975616,1,12942.0,1
roberta-large@snli-38,12082,98,3666.3455929756165,15748.345592975616,1,824064.0,8
roberta-large@sst2-39,12456,24,263.34559297561646,12719.345592975616,1,84190.0,16
roberta-large@stsb-40,13108,32,497.34559297561646,13605.345592975616,1,12942.0,1
roberta-large@rte-41,13468,32,244.34559297561646,13712.345592975616,1,4984.0,1
roberta-large@qnli-42,13470,30,2003.3455929756165,15473.345592975616,1,235674.0,4
roberta-large@wnli-43,13911,9,110.34559297561646,14021.345592975616,1,1590.0,1
roberta-large@qqp-44,14031,9,3895.3455929756165,17926.345592975616,1,909620.0,8
roberta-large@qnli-45,14066,34,7693.3455929756165,21759.345592975616,1,235674.0,1
roberta-large@qqp-46,14109,51,3937.3455929756165,18046.345592975616,1,909620.0,8
roberta-large@sst2-47,14275,5,2761.3455929756165,17036.345592975616,1,84190.0,1
roberta-large@qnli-48,15165,75,1118.3455929756165,16283.345592975616,1,235674.0,8
roberta-large@sst2-49,15342,18,2774.3455929756165,18116.345592975616,1,84190.0,1
roberta-large@rte-50,16030,50,262.34559297561646,16292.345592975616,1,4984.0,1
roberta-large@mrpc-51,16773,27,376.34559297561646,17149.345592975616,1,9170,1
roberta-large@mrpc-52,17132,28,377.34559297561646,17509.345592975616,1,9170,1
roberta-large@qnli-53,17159,61,3951.3455929756165,21110.345592975616,1,235674.0,2
roberta-large@qqp-54,17263,17,14892.345592975616,32155.345592975616,1,909620.0,2
roberta-large@wnli-55,18187,53,154.34559297561646,18341.345592975616,1,1590.0,1
roberta-large@sst2-56,18254,46,1449.3455929756165,19703.345592975616,1,84190.0,2
roberta-large@rte-57,18835,5,217.34559297561646,19052.345592975616,1,4984.0,1
roberta-large@qnli-58,19136,4,1047.3455929756165,20183.345592975616,1,235674.0,8
roberta-large@qqp-59,19137,63,14938.345592975616,34075.34559297562,1,909620.0,2
roberta-large@sst2-60,19137,3,412.34559297561646,19549.345592975616,1,84190.0,8
roberta-large@stsb-61,19211,49,514.3455929756165,19725.345592975616,1,12942.0,1
roberta-large@sst2-62,19247,13,422.34559297561646,19669.345592975616,1,84190.0,8
roberta-large@sst2-63,19247,73,482.34559297561646,19729.345592975616,1,84190.0,8
roberta-large@mnli-64,20006,34,3437.3455929756165,23443.345592975616,1,785408.0,8
roberta-large@stsb-65,21258,42,507.34559297561646,21765.345592975616,1,12942.0,1
roberta-large@qnli-66,21333,27,7686.3455929756165,29019.345592975616,1,235674.0,1
roberta-large@qnli-67,21547,53,1096.3455929756165,22643.345592975616,1,235674.0,8
roberta-large@qnli-68,21547,53,1096.3455929756165,22643.345592975616,1,235674.0,8
roberta-large@sst2-69,21548,52,461.34559297561646,22009.345592975616,1,84190.0,8
roberta-large@qnli-70,21548,112,1155.3455929756165,22703.345592975616,1,235674.0,8
roberta-large@sst2-71,21548,52,461.34559297561646,22009.345592975616,1,84190.0,8
roberta-large@rte-72,21891,9,221.34559297561646,22112.345592975616,1,4984.0,1
roberta-large@qnli-73,22260,0,1043.3455929756165,23303.345592975616,1,235674.0,8
roberta-large@mrpc-74,22395,45,394.34559297561646,22789.345592975616,1,9170,1
roberta-large@qnli-75,22654,446,1489.3455929756165,24143.345592975616,1,235674.0,8
roberta-large@sst2-76,22654,26,435.34559297561646,23089.345592975616,1,84190.0,8
roberta-large@qnli-77,22654,446,1489.3455929756165,24143.345592975616,1,235674.0,8
roberta-large@qnli-78,22654,446,1489.3455929756165,24143.345592975616,1,235674.0,8
roberta-large@sst2-79,22655,25,434.34559297561646,23089.345592975616,1,84190.0,8
roberta-large@sst2-80,22655,25,434.34559297561646,23089.345592975616,1,84190.0,8
roberta-large@qnli-81,22655,505,1548.3455929756165,24203.345592975616,1,235674.0,8
roberta-large@sst2-82,22655,25,434.34559297561646,23089.345592975616,1,84190.0,8
roberta-large@sst2-83,22655,85,494.34559297561646,23149.345592975616,1,84190.0,8
roberta-large@sst2-84,22655,445,854.3455929756165,23509.345592975616,1,84190.0,8
roberta-large@qnli-85,22655,685,1728.3455929756165,24383.345592975616,1,235674.0,8
roberta-large@qnli-86,22655,865,1908.3455929756165,24563.345592975616,1,235674.0,8
roberta-large@qnli-87,22655,1525,2568.3455929756165,25223.345592975616,1,235674.0,8
roberta-large@sst2-88,23166,294,703.3455929756165,23869.345592975616,1,84190.0,8
roberta-large@sst2-89,23298,582,991.3455929756165,24289.345592975616,1,84190.0,8
roberta-large@qnli-90,23298,882,1925.3455929756165,25223.345592975616,1,235674.0,8
roberta-large@qnli-91,23833,407,1450.3455929756165,25283.345592975616,1,235674.0,8
roberta-large@sst2-92,24306,54,463.34559297561646,24769.345592975616,1,84190.0,8
roberta-large@sst2-93,24583,17,2773.3455929756165,27356.345592975616,1,84190.0,1
roberta-large@sst2-94,24611,49,2805.3455929756165,27416.345592975616,1,84190.0,1
roberta-large@qnli-95,24715,5,7664.3455929756165,32379.345592975616,1,235674.0,1
roberta-large@stsb-96,25165,95,560.3455929756165,25725.345592975616,1,12942.0,1
roberta-large@qnli-97,25326,54,1097.3455929756165,26423.345592975616,1,235674.0,8
roberta-large@sst2-98,25475,25,434.34559297561646,25909.345592975616,1,84190.0,8
roberta-large@sst2-99,25688,52,2808.3455929756165,28496.345592975616,1,84190.0,1
roberta-large@rte-100,25946,34,246.34559297561646,26192.345592975616,1,4984.0,1
roberta-large@rte-101,26066,34,246.34559297561646,26312.345592975616,1,4984.0,1
roberta-large@mrpc-102,26099,1,350.34559297561646,26449.345592975616,1,9170,1
roberta-large@wnli-103,26344,116,217.34559297561646,26561.345592975616,1,1590.0,1
roberta-large@sst2-104,26539,41,2797.3455929756165,29336.345592975616,1,84190.0,1
roberta-large@qnli-105,26857,23,3913.3455929756165,30770.345592975616,1,235674.0,2
roberta-large@qnli-106,27150,30,1073.3455929756165,28223.345592975616,1,235674.0,8
roberta-large@qnli-107,27150,90,1133.3455929756165,28283.345592975616,1,235674.0,8
roberta-large@wnli-108,27157,23,124.34559297561646,27281.345592975616,1,1590.0,1
roberta-large@sst2-109,27565,35,444.34559297561646,28009.345592975616,1,84190.0,8
roberta-large@sst2-110,27871,29,2785.3455929756165,30656.345592975616,1,84190.0,1
roberta-large@sst2-111,28092,48,457.34559297561646,28549.345592975616,1,84190.0,8
roberta-large@qnli-112,28092,468,1511.3455929756165,29603.345592975616,1,235674.0,8
roberta-large@sst2-113,28092,48,457.34559297561646,28549.345592975616,1,84190.0,8
roberta-large@sst2-114,28092,48,457.34559297561646,28549.345592975616,1,84190.0,8
roberta-large@sst2-115,28093,47,456.34559297561646,28549.345592975616,1,84190.0,8
roberta-large@qnli-116,28093,527,1570.3455929756165,29663.345592975616,1,235674.0,8
roberta-large@sst2-117,28093,167,576.3455929756165,28669.345592975616,1,84190.0,8
roberta-large@sst2-118,28093,227,636.3455929756165,28729.345592975616,1,84190.0,8
roberta-large@sst2-119,28634,106,515.3455929756165,29149.345592975616,1,84190.0,8
