name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,15,518.1378710269928,563.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,28,1194.1378710269928,1286.1378710269928,1,749250.0,4
vit-large@Bingsu#Cat_and_Dog-2,766,14,244.1378710269928,1010.1378710269928,1,31680.0,1
vit-large@food101-3,786,54,2847.137871026993,3633.137871026993,1,757500,8
vit-large@imagenet-split-0-4,1280,40,1816.1378710269928,3096.137871026993,1,250000.0,1
vit-large@Bingsu#Cat_and_Dog-5,1322,58,288.1378710269928,1610.1378710269928,1,31680.0,1
vit-large@mnist-6,1576,44,946.1378710269928,2522.137871026993,1,600000.0,8
vit-large@Bingsu#Cat_and_Dog-7,1747,53,283.1378710269928,2030.1378710269928,1,31680.0,1
vit-large@imagenet-split-2-8,1987,53,3213.137871026993,5200.137871026993,1,1000000.0,2
vit-large@imagenet-split-1-9,2229,51,792.1378710269928,3021.137871026993,1,749250.0,8
vit-large@imagenet-split-2-10,2296,44,3204.137871026993,5500.137871026993,1,1000000.0,2
vit-large@imagenet-split-1-11,2634,66,1232.1378710269928,3866.137871026993,1,749250.0,4
vit-large@imagenet-split-0-12,2660,40,1134.1378710269928,3794.137871026993,1,250000.0,2
vit-large@mnist-13,3002,58,960.1378710269928,3962.137871026993,1,600000.0,8
vit-large@mnist-14,3002,118,1020.1378710269928,4022.137871026993,1,600000.0,8
vit-large@imagenet-split-0-15,3014,46,803.1378710269928,3817.137871026993,1,250000.0,4
vit-large@imagenet-split-1-16,3350,10,1176.1378710269928,4526.137871026993,1,749250.0,4
vit-large@frgfm#imagenette-17,3459,21,524.1378710269928,3983.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-18,3853,47,550.1378710269928,4403.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-19,4072,8,511.1378710269928,4583.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-20,4256,4,234.1378710269928,4490.137871026993,1,31680.0,1
vit-large@Bingsu#Cat_and_Dog-21,4295,25,255.1378710269928,4550.137871026993,1,31680.0,1
vit-large@mnist-22,4853,7,909.1378710269928,5762.137871026993,1,600000.0,8
vit-large@fashion_mnist-23,4853,7,909.1378710269928,5762.137871026993,1,600000.0,8
vit-large@food101-24,4906,14,3240.137871026993,8146.137871026993,1,757500,2
vit-large@food101-25,4906,14,3240.137871026993,8146.137871026993,1,757500,2
vit-large@fashion_mnist-26,5098,2,904.1378710269928,6002.137871026993,1,600000.0,8
vit-large@imagenet-split-2-27,6003,57,3217.137871026993,9220.137871026993,1,1000000.0,2
vit-large@food101-28,6111,69,3295.137871026993,9406.137871026993,1,757500,2
vit-large@fashion_mnist-29,6432,48,3614.137871026993,10046.137871026993,1,600000.0,1
vit-large@mnist-30,6467,13,915.1378710269928,7382.137871026993,1,600000.0,8
vit-large@frgfm#imagenette-31,6828,12,515.1378710269928,7343.137871026993,1,66283.0,1
vit-large@mnist-32,6858,42,3608.137871026993,10466.137871026993,1,600000.0,1
vit-large@cifar100-33,7000,20,2999.137871026993,9999.137871026993,1,500000.0,1
vit-large@frgfm#imagenette-34,7190,10,513.1378710269928,7703.137871026993,1,66283.0,1
vit-large@imagenet-split-0-35,7246,14,771.1378710269928,8017.137871026993,1,250000.0,4
vit-large@cifar100-36,7246,134,1051.1378710269928,8297.137871026993,1,500000.0,4
vit-large@imagenet-split-1-37,7328,112,1278.1378710269928,8606.137871026993,1,749250.0,4
