name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.11288
vit-large@imagenet-split-1-1,0.10643
vit-large@Bingsu#Cat_and_Dog-2,0.19689
vit-large@food101-3,0.13021
vit-large@imagenet-split-0-4,0.10486
vit-large@Bingsu#Cat_and_Dog-5,0.23237
vit-large@mnist-6,0.12666
vit-large@Bingsu#Cat_and_Dog-7,0.22834
vit-large@imagenet-split-2-8,0.10312
vit-large@imagenet-split-1-9,0.12177
vit-large@imagenet-split-2-10,0.10283
vit-large@imagenet-split-1-11,0.10982
vit-large@imagenet-split-0-12,0.10801
vit-large@mnist-13,0.12853
vit-large@mnist-14,0.13656
vit-large@imagenet-split-0-15,0.11264
vit-large@imagenet-split-1-16,0.10483
vit-large@frgfm#imagenette-17,0.11419
vit-large@frgfm#imagenette-18,0.11986
vit-large@frgfm#imagenette-19,0.11136
vit-large@Bingsu#Cat_and_Dog-20,0.18882
vit-large@Bingsu#Cat_and_Dog-21,0.20576
vit-large@mnist-22,0.12171
vit-large@fashion_mnist-23,0.12171
vit-large@food101-24,0.10184
vit-large@food101-25,0.10184
vit-large@fashion_mnist-26,0.12104
vit-large@imagenet-split-2-27,0.10325
vit-large@food101-28,0.10357
vit-large@fashion_mnist-29,0.10263
vit-large@mnist-30,0.12251
vit-large@frgfm#imagenette-31,0.11223
vit-large@mnist-32,0.10246
vit-large@cifar100-33,0.1022
vit-large@frgfm#imagenette-34,0.11179
vit-large@imagenet-split-0-35,0.10815
vit-large@cifar100-36,0.12047
vit-large@imagenet-split-1-37,0.11392
vit-large@cifar100-38,0.10626
vit-large@imagenet-split-1-39,0.10483
vit-large@Bingsu#Cat_and_Dog-40,0.22108
vit-large@cifar100-41,0.10626
vit-large@mnist-42,0.10622
vit-large@mnist-43,0.10201
vit-large@imagenet-split-0-44,0.13789
vit-large@Bingsu#Cat_and_Dog-45,0.2106
vit-large@fashion_mnist-46,0.11224
vit-large@cifar100-47,0.10343
vit-large@imagenet-split-1-48,0.1124
vit-large@Bingsu#Cat_and_Dog-49,0.21221
vit-large@imagenet-split-1-50,0.10848
vit-large@imagenet-split-1-51,0.15273
vit-large@cifar100-52,0.1022
vit-large@imagenet-split-0-53,0.10347
vit-large@imagenet-split-1-54,0.15402
vit-large@Bingsu#Cat_and_Dog-55,0.21463
vit-large@imagenet-split-1-56,0.15395
vit-large@Bingsu#Cat_and_Dog-57,0.21947
vit-large@cifar100-58,0.10745
vit-large@imagenet-split-2-59,0.10889
vit-large@cifar100-60,0.10329
vit-large@frgfm#imagenette-61,0.12247
vit-large@Bingsu#Cat_and_Dog-62,0.2106
vit-large@Bingsu#Cat_and_Dog-63,0.20979
vit-large@frgfm#imagenette-64,0.1301
vit-large@frgfm#imagenette-65,0.11681
vit-large@food101-66,0.10294
vit-large@frgfm#imagenette-67,0.11005
vit-large@frgfm#imagenette-68,0.11005
vit-large@frgfm#imagenette-69,0.11005
vit-large@frgfm#imagenette-70,0.11005
vit-large@frgfm#imagenette-71,0.11005
vit-large@frgfm#imagenette-72,0.12312
vit-large@frgfm#imagenette-73,0.13598
vit-large@Bingsu#Cat_and_Dog-74,0.1864
vit-large@imagenet-split-0-75,0.10878
vit-large@Bingsu#Cat_and_Dog-76,0.19608
vit-large@frgfm#imagenette-77,0.15493
vit-large@mnist-78,0.1392
vit-large@Bingsu#Cat_and_Dog-79,0.23259
vit-large@frgfm#imagenette-80,0.11789
vit-large@Bingsu#Cat_and_Dog-81,0.21221
vit-large@food101-82,0.1015
vit-large@imagenet-split-2-83,0.10151
vit-large@food101-84,0.10147
vit-large@food101-85,0.10901
vit-large@imagenet-split-2-86,0.10142
vit-large@frgfm#imagenette-87,0.125
vit-large@fashion_mnist-88,0.13001
vit-large@frgfm#imagenette-89,0.14691
vit-large@frgfm#imagenette-90,0.16989
vit-large@Bingsu#Cat_and_Dog-91,0.20979
vit-large@frgfm#imagenette-92,0.11049
vit-large@frgfm#imagenette-93,0.11964
vit-large@mnist-94,0.10431
vit-large@frgfm#imagenette-95,0.1155
vit-large@Bingsu#Cat_and_Dog-96,0.20495
vit-large@frgfm#imagenette-97,0.11463
vit-large@Bingsu#Cat_and_Dog-98,0.21866
vit-large@imagenet-split-2-99,0.12636
vit-large@Bingsu#Cat_and_Dog-100,0.26785
vit-large@imagenet-split-1-101,0.16077
vit-large@frgfm#imagenette-102,0.14727
vit-large@Bingsu#Cat_and_Dog-103,0.1856
vit-large@imagenet-split-1-104,0.13084
vit-large@Bingsu#Cat_and_Dog-105,0.2114
vit-large@fashion_mnist-106,0.10283
vit-large@frgfm#imagenette-107,0.11659
vit-large@fashion_mnist-108,0.10708
vit-large@imagenet-split-2-109,0.10357
vit-large@Bingsu#Cat_and_Dog-110,0.19285
vit-large@food101-111,0.12816
vit-large@Bingsu#Cat_and_Dog-112,0.21301
vit-large@food101-113,0.10301
vit-large@cifar100-114,0.10169
vit-large@frgfm#imagenette-115,0.11986
vit-large@imagenet-split-1-116,0.15313
vit-large@imagenet-split-0-117,0.13391
vit-large@imagenet-split-1-118,0.15215
vit-large@fashion_mnist-119,0.12666
vit-large@Bingsu#Cat_and_Dog-120,0.22592
vit-large@Bingsu#Cat_and_Dog-121,0.27189
vit-large@frgfm#imagenette-122,0.11572
vit-large@frgfm#imagenette-123,0.1155
vit-large@fashion_mnist-124,0.1209
vit-large@frgfm#imagenette-125,0.11855
vit-large@frgfm#imagenette-126,0.11572
vit-large@frgfm#imagenette-127,0.11092
vit-large@cifar100-128,0.10675
vit-large@food101-129,0.12852
vit-large@frgfm#imagenette-130,0.12247
vit-large@Bingsu#Cat_and_Dog-131,0.1985
vit-large@food101-132,0.10313
vit-large@Bingsu#Cat_and_Dog-133,0.22834
vit-large@food101-134,0.12985
vit-large@Bingsu#Cat_and_Dog-135,0.19124
vit-large@imagenet-split-2-136,0.10522
vit-large@Bingsu#Cat_and_Dog-137,0.18963
vit-large@cifar100-138,0.12259
vit-large@cifar100-139,0.12259
vit-large@cifar100-140,0.12259
vit-large@food101-141,0.12788
vit-large@cifar100-142,0.12243
vit-large@imagenet-split-2-143,0.14387
vit-large@Bingsu#Cat_and_Dog-144,0.51543
vit-large@fashion_mnist-145,0.23496
vit-large@imagenet-split-1-146,0.21739
vit-large@mnist-147,0.31528
vit-large@imagenet-split-1-148,0.36497
vit-large@cifar100-149,0.23006
vit-large@imagenet-split-0-150,0.22511
vit-large@imagenet-split-0-151,0.22511
vit-large@fashion_mnist-152,0.31515
vit-large@frgfm#imagenette-153,0.18238
vit-large@fashion_mnist-154,0.12188
vit-large@frgfm#imagenette-155,0.14317
vit-large@food101-156,0.12887
vit-large@frgfm#imagenette-157,0.18652
vit-large@cifar100-158,0.11447
vit-large@Bingsu#Cat_and_Dog-159,0.27108
vit-large@fashion_mnist-160,0.11771
vit-large@frgfm#imagenette-161,0.15907
vit-large@Bingsu#Cat_and_Dog-162,0.24205
vit-large@fashion_mnist-163,0.13322
vit-large@imagenet-split-1-164,0.11901
vit-large@Bingsu#Cat_and_Dog-165,0.26785
vit-large@imagenet-split-0-166,0.10411
vit-large@mnist-167,0.26441
vit-large@fashion_mnist-168,0.26441
vit-large@imagenet-split-1-169,0.33423
vit-large@mnist-170,0.28047
vit-large@fashion_mnist-171,0.28047
vit-large@imagenet-split-1-172,0.39879
vit-large@cifar100-173,0.1883
vit-large@fashion_mnist-174,0.39292
vit-large@imagenet-split-1-175,0.50025
vit-large@cifar100-176,0.18813
vit-large@cifar100-177,0.22669
vit-large@imagenet-split-0-178,0.14735
vit-large@fashion_mnist-179,0.39279
vit-large@imagenet-split-0-180,0.14735
vit-large@imagenet-split-1-181,0.51855
vit-large@cifar100-182,0.29416
vit-large@imagenet-split-0-183,0.14735
vit-large@mnist-184,0.40885
vit-large@fashion_mnist-185,0.40885
vit-large@fashion_mnist-186,0.41689
vit-large@imagenet-split-1-187,0.57389
vit-large@Bingsu#Cat_and_Dog-188,0.22027
vit-large@Bingsu#Cat_and_Dog-189,0.21221
vit-large@Bingsu#Cat_and_Dog-190,0.24124
vit-large@food101-191,0.57051
vit-large@cifar100-192,0.48821
vit-large@frgfm#imagenette-193,0.19785
vit-large@imagenet-split-1-194,0.97101
vit-large@mnist-195,0.79092
