name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,15,357.16124963760376,402.16124963760376,1,85221.0,1
vit@imagenet-split-1-1,92,28,746.1612496376038,838.1612496376038,1,750000,4
vit@frgfm#imagenette-2,491,49,391.16124963760376,882.1612496376038,1,85221.0,1
vit@Bingsu#Cat_and_Dog-3,510,30,275.16124963760376,785.1612496376038,1,63680.0,1
vit@Bingsu#Cat_and_Dog-4,766,14,259.16124963760376,1025.1612496376038,1,63680.0,1
vit@Bingsu#Cat_and_Dog-5,782,58,303.16124963760376,1085.1612496376038,1,63680.0,1
vit@food101-6,786,54,1813.1612496376038,2599.1612496376038,1,757500.0,2
vit@imagenet-split-0-7,1280,40,901.1612496376038,2181.1612496376038,1,250000.0,1
vit@Bingsu#Cat_and_Dog-8,1322,58,303.16124963760376,1625.1612496376038,1,63680.0,1
vit@mnist-9,1576,44,1341.1612496376038,2917.1612496376038,1,600000.0,8
vit@Bingsu#Cat_and_Dog-10,1747,53,298.16124963760376,2045.1612496376038,1,63680.0,1
vit@imagenet-split-2-11,1987,53,2365.1612496376038,4352.161249637604,1,1000000.0,2
vit@frgfm#imagenette-12,2174,46,388.16124963760376,2562.1612496376038,1,85221.0,1
vit@imagenet-split-2-13,2217,63,2375.1612496376038,4592.161249637604,1,1000000.0,2
vit@imagenet-split-1-14,2229,51,547.1612496376038,2776.1612496376038,1,750000,8
vit@imagenet-split-2-15,2296,44,2356.1612496376038,4652.161249637604,1,1000000.0,2
vit@food101-16,2296,44,1803.1612496376038,4099.161249637604,1,757500.0,2
vit@mnist-17,2374,26,2224.1612496376038,4598.161249637604,1,600000.0,1
vit@imagenet-split-1-18,2634,6,724.1612496376038,3358.1612496376038,1,750000,4
vit@imagenet-split-0-19,2660,40,517.1612496376038,3177.1612496376038,1,250000.0,2
vit@mnist-20,3002,58,1355.1612496376038,4357.161249637604,1,600000.0,8
vit@mnist-21,3002,58,1355.1612496376038,4357.161249637604,1,600000.0,8
vit@mnist-22,3002,118,1415.1612496376038,4417.161249637604,1,600000.0,8
vit@imagenet-split-0-23,3014,46,337.16124963760376,3351.1612496376038,1,250000.0,4
vit@imagenet-split-1-24,3350,10,728.1612496376038,4078.1612496376038,1,750000,4
vit@frgfm#imagenette-25,3459,21,363.16124963760376,3822.1612496376038,1,85221.0,1
vit@mnist-26,3831,9,1306.1612496376038,5137.161249637604,1,600000.0,8
vit@frgfm#imagenette-27,3853,47,389.16124963760376,4242.161249637604,1,85221.0,1
vit@imagenet-split-2-28,3999,21,2333.1612496376038,6332.161249637604,1,1000000.0,2
vit@frgfm#imagenette-29,4072,8,350.16124963760376,4422.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-30,4256,64,309.16124963760376,4565.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-31,4295,85,330.16124963760376,4625.161249637604,1,63680.0,1
vit@imagenet-split-0-32,4421,19,310.16124963760376,4731.161249637604,1,250000.0,4
vit@food101-33,4451,49,1354.1612496376038,5805.161249637604,1,757500.0,4
vit@mnist-34,4853,7,1304.1612496376038,6157.161249637604,1,600000.0,8
vit@fashion_mnist-35,4853,7,367.16124963760376,5220.161249637604,1,600000.0,8
vit@food101-36,4906,14,1773.1612496376038,6679.161249637604,1,757500.0,2
vit@food101-37,4906,14,1643.1612496376038,6549.161249637604,1,757500.0,8
vit@fashion_mnist-38,5098,2,362.16124963760376,5460.161249637604,1,600000.0,8
vit@fashion_mnist-39,5295,45,405.16124963760376,5700.161249637604,1,600000.0,8
vit@Bingsu#Cat_and_Dog-40,5345,55,300.16124963760376,5645.161249637604,1,63680.0,1
vit@frgfm#imagenette-41,5376,24,366.16124963760376,5742.161249637604,1,85221.0,1
vit@imagenet-split-2-42,5623,17,2156.1612496376038,7779.161249637604,1,1000000.0,8
vit@frgfm#imagenette-43,5792,28,370.16124963760376,6162.161249637604,1,85221.0,1
vit@imagenet-split-0-44,5985,15,306.16124963760376,6291.161249637604,1,250000.0,4
vit@imagenet-split-2-45,6003,117,2429.1612496376038,8432.161249637604,1,1000000.0,2
vit@food101-46,6022,38,1667.1612496376038,7689.161249637604,1,757500.0,8
vit@food101-47,6111,129,1923.3224992752075,8034.3224992752075,2,757500.0,2
vit@Bingsu#Cat_and_Dog-48,6126,54,299.16124963760376,6425.161249637604,1,63680.0,1
vit@imagenet-split-2-49,6133,107,2246.1612496376038,8379.161249637604,1,1000000.0,8
vit@fashion_mnist-50,6432,48,2067.1612496376038,8499.161249637604,1,600000.0,1
vit@frgfm#imagenette-51,6443,37,379.16124963760376,6822.161249637604,1,85221.0,1
vit@mnist-52,6467,73,1370.1612496376038,7837.161249637604,1,600000.0,8
vit@imagenet-split-0-53,6742,38,329.16124963760376,7071.161249637604,1,250000.0,4
vit@frgfm#imagenette-54,6828,72,414.16124963760376,7242.161249637604,1,85221.0,1
vit@mnist-55,6858,102,2300.1612496376038,9158.161249637604,1,600000.0,1
vit@frgfm#imagenette-56,6887,13,355.16124963760376,7242.161249637604,1,85221.0,1
vit@fashion_mnist-57,6987,33,594.1612496376038,7581.161249637604,1,600000.0,4
vit@fashion_mnist-58,6987,33,594.1612496376038,7581.161249637604,1,600000.0,4
vit@cifar100-59,7000,140,1828.1612496376038,8828.161249637604,1,500000.0,1
vit@imagenet-split-0-60,7004,16,257.16124963760376,7261.161249637604,1,250000.0,8
vit@frgfm#imagenette-61,7040,40,382.16124963760376,7422.161249637604,1,85221.0,1
vit@frgfm#imagenette-62,7190,10,352.16124963760376,7542.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-63,7206,54,299.16124963760376,7505.161249637604,1,63680.0,1
vit@imagenet-split-0-64,7246,14,305.16124963760376,7551.161249637604,1,250000.0,4
vit@cifar100-65,7246,74,547.1612496376038,7793.161249637604,1,500000.0,4
vit@mnist-66,7279,41,1082.1612496376038,8361.161249637604,1,600000.0,4
vit@mnist-67,7297,503,1544.1612496376038,8841.161249637604,1,600000.0,4
vit@imagenet-split-1-68,7328,412,1130.1612496376038,8458.161249637604,1,750000,4
vit@fashion_mnist-69,7380,180,741.1612496376038,8121.161249637604,1,600000.0,4
vit@cifar100-70,7430,190,663.1612496376038,8093.161249637604,1,500000.0,4
vit@fashion_mnist-71,7455,285,846.1612496376038,8301.161249637604,1,600000.0,4
vit@imagenet-split-1-72,7490,310,1028.1612496376038,8518.161249637604,1,750000,4
vit@Bingsu#Cat_and_Dog-73,7516,44,289.16124963760376,7805.161249637604,1,63680.0,1
vit@frgfm#imagenette-74,7528,92,434.16124963760376,7962.161249637604,1,85221.0,1
vit@imagenet-split-1-75,7570,230,948.1612496376038,8518.161249637604,1,750000,4
vit@mnist-76,7579,281,1322.1612496376038,8901.161249637604,1,600000.0,4
vit@Bingsu#Cat_and_Dog-77,7602,18,263.16124963760376,7865.161249637604,1,63680.0,1
vit@fashion_mnist-78,7620,0,561.1612496376038,8181.161249637604,1,600000.0,4
vit@cifar100-79,7670,190,663.1612496376038,8333.161249637604,1,500000.0,4
vit@mnist-80,7719,501,1542.1612496376038,9261.161249637604,1,600000.0,4
vit@mnist-81,7768,572,1613.1612496376038,9381.161249637604,1,600000.0,4
vit@frgfm#imagenette-82,7774,26,368.16124963760376,8142.161249637604,1,85221.0,1
vit@imagenet-split-0-83,7814,286,577.1612496376038,8391.161249637604,1,250000.0,4
vit@imagenet-split-2-84,7829,571,2710.1612496376038,10539.161249637604,1,1000000.0,8
vit@fashion_mnist-85,7864,296,857.1612496376038,8721.161249637604,1,600000.0,4
vit@mnist-86,7915,485,1526.1612496376038,9441.161249637604,1,600000.0,4
vit@frgfm#imagenette-87,7936,44,386.16124963760376,8322.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-88,7949,31,276.16124963760376,8225.161249637604,1,63680.0,1
vit@fashion_mnist-89,8016,324,885.1612496376038,8901.161249637604,1,600000.0,4
vit@cifar100-90,8044,56,1744.1612496376038,9788.161249637604,1,500000.0,1
vit@imagenet-split-1-91,8065,335,1053.1612496376038,9118.161249637604,1,750000,4
vit@Bingsu#Cat_and_Dog-92,8067,33,278.16124963760376,8345.161249637604,1,63680.0,1
vit@imagenet-split-0-93,8089,71,932.1612496376038,9021.161249637604,1,250000.0,1
vit@imagenet-split-1-94,8116,344,1062.1612496376038,9178.161249637604,1,750000,4
vit@fashion_mnist-95,8134,86,2105.1612496376038,10239.161249637604,1,600000.0,1
vit@imagenet-split-1-96,8169,351,1069.1612496376038,9238.161249637604,1,750000,4
vit@frgfm#imagenette-97,8217,63,405.16124963760376,8622.161249637604,1,85221.0,1
vit@imagenet-split-2-98,8219,301,2613.1612496376038,10832.161249637604,1,1000000.0,2
vit@imagenet-split-0-99,8237,43,904.1612496376038,9141.161249637604,1,250000.0,1
vit@imagenet-split-1-100,8241,279,2795.1612496376038,11036.161249637604,1,750000,1
vit@imagenet-split-1-101,8245,275,2791.1612496376038,11036.161249637604,1,750000,1
vit@fashion_mnist-102,8250,210,2229.1612496376038,10479.161249637604,1,600000.0,1
vit@cifar100-103,8260,200,1888.1612496376038,10148.161249637604,1,500000.0,1
vit@imagenet-split-0-104,8264,76,937.1612496376038,9201.161249637604,1,250000.0,1
vit@imagenet-split-1-105,8267,253,2769.1612496376038,11036.161249637604,1,750000,1
vit@Bingsu#Cat_and_Dog-106,8364,36,281.16124963760376,8645.161249637604,1,63680.0,1
vit@imagenet-split-1-107,8389,251,2767.1612496376038,11156.161249637604,1,750000,1
vit@fashion_mnist-108,8415,525,885.1612496376038,9300.161249637604,1,600000.0,8
vit@Bingsu#Cat_and_Dog-109,8718,42,287.16124963760376,9005.161249637604,1,63680.0,1
vit@cifar100-110,8748,132,1018.1612496376038,9766.161249637604,1,500000.0,2
vit@imagenet-split-2-111,8767,353,2665.1612496376038,11432.161249637604,1,1000000.0,2
vit@cifar100-112,8768,112,1800.1612496376038,10568.161249637604,1,500000.0,1
vit@Bingsu#Cat_and_Dog-113,8785,35,280.16124963760376,9065.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-114,8820,0,143.16124963760376,8963.161249637604,1,63680.0,2
vit@frgfm#imagenette-115,8821,59,401.16124963760376,9222.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-116,8909,31,276.16124963760376,9185.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-117,8910,30,275.16124963760376,9185.161249637604,1,63680.0,1
vit@frgfm#imagenette-118,9026,34,376.16124963760376,9402.161249637604,1,85221.0,1
vit@fashion_mnist-119,9062,118,2137.1612496376038,11199.161249637604,1,600000.0,1
vit@frgfm#imagenette-120,9147,33,375.16124963760376,9522.161249637604,1,85221.0,1
vit@imagenet-split-1-121,9234,6,502.16124963760376,9736.161249637604,1,750000,8
vit@food101-122,9491,49,1808.1612496376038,11299.161249637604,1,757500.0,2
vit@Bingsu#Cat_and_Dog-123,9494,46,291.16124963760376,9785.161249637604,1,63680.0,1
vit@imagenet-split-0-124,9519,21,312.16124963760376,9831.161249637604,1,250000.0,4
vit@frgfm#imagenette-125,9538,2,344.16124963760376,9882.161249637604,1,85221.0,1
vit@frgfm#imagenette-126,9538,2,344.16124963760376,9882.161249637604,1,85221.0,1
vit@frgfm#imagenette-127,9538,2,344.16124963760376,9882.161249637604,1,85221.0,1
vit@frgfm#imagenette-128,9538,2,344.16124963760376,9882.161249637604,1,85221.0,1
vit@frgfm#imagenette-129,9538,2,344.16124963760376,9882.161249637604,1,85221.0,1
vit@frgfm#imagenette-130,9538,2,344.16124963760376,9882.161249637604,1,85221.0,1
vit@frgfm#imagenette-131,9538,62,404.16124963760376,9942.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-132,9538,2,247.16124963760376,9785.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-133,9538,2,247.16124963760376,9785.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-134,9538,2,247.16124963760376,9785.161249637604,1,63680.0,1
vit@frgfm#imagenette-135,9539,61,403.16124963760376,9942.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-136,9539,1,246.16124963760376,9785.161249637604,1,63680.0,1
vit@frgfm#imagenette-137,9539,61,403.16124963760376,9942.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-138,9539,1,246.16124963760376,9785.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-139,9539,1,246.16124963760376,9785.161249637604,1,63680.0,1
vit@frgfm#imagenette-140,9539,121,463.16124963760376,10002.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-141,9548,52,297.16124963760376,9845.161249637604,1,63680.0,1
vit@imagenet-split-0-142,9612,108,969.1612496376038,10581.161249637604,1,250000.0,1
vit@Bingsu#Cat_and_Dog-143,9707,73,318.16124963760376,10025.161249637604,1,63680.0,1
vit@frgfm#imagenette-144,9804,96,438.16124963760376,10242.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-145,9808,32,277.16124963760376,10085.161249637604,1,63680.0,1
vit@imagenet-split-0-146,9952,8,249.16124963760376,10201.161249637604,1,250000.0,8
vit@frgfm#imagenette-147,10050,30,372.16124963760376,10422.161249637604,1,85221.0,1
vit@frgfm#imagenette-148,10052,28,370.16124963760376,10422.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-149,10076,64,309.16124963760376,10385.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-150,10221,39,284.16124963760376,10505.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-151,10247,13,258.16124963760376,10505.161249637604,1,63680.0,1
vit@imagenet-split-1-152,10259,121,617.1612496376038,10876.161249637604,1,750000,8
vit@mnist-153,10408,92,1581.1612496376038,11989.161249637604,1,600000.0,12
vit@Bingsu#Cat_and_Dog-154,10414,26,169.16124963760376,10583.161249637604,1,63680.0,2
vit@frgfm#imagenette-155,10462,38,380.16124963760376,10842.161249637604,1,85221.0,1
vit@Bingsu#Cat_and_Dog-156,10587,33,278.16124963760376,10865.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-157,10613,7,252.16124963760376,10865.161249637604,1,63680.0,1
vit@food101-158,10617,3,1632.1612496376038,12249.161249637604,1,757500.0,8
vit@imagenet-split-2-159,10617,3,2315.1612496376038,12932.161249637604,1,1000000.0,2
vit@food101-160,10618,2,1761.1612496376038,12379.161249637604,1,757500.0,2
vit@food101-161,10618,2,1761.1612496376038,12379.161249637604,1,757500.0,2
vit@imagenet-split-2-162,10618,302,2441.1612496376038,13059.161249637604,1,1000000.0,8
vit@food101-163,10618,2,1761.1612496376038,12379.161249637604,1,757500.0,2
vit@imagenet-split-2-164,10618,62,2374.1612496376038,12992.161249637604,1,1000000.0,2
vit@imagenet-split-2-165,10619,121,2433.1612496376038,13052.161249637604,1,1000000.0,2
vit@imagenet-split-0-166,10620,0,477.16124963760376,11097.161249637604,1,250000.0,2
vit@imagenet-split-1-167,10620,0,1303.1612496376038,11923.161249637604,1,750000,2
