full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,27,0,2,2
32,27,0,2,0
32,26,0,2,1
32,26,0,2,0
32,29,0,2,1
32,29,0,2,0
32,27,0,3,1
32,19,0,4,1
32,13,0,6,2
32,13,0,6,0
32,16,0,4,1
32,15,0,5,1
32,20,0,4,1
32,22,0,3,1
32,31,0,1,0
32,32,0,0,0
32,14,0,3,3
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,20,0,3,2
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,0,0,8,5
32,2,1,10,4
32,1,1,11,1
32,2,0,11,2
32,19,0,6,0
32,19,0,8,3
32,17,0,10,2
32,9,0,15,7
32,10,0,14,2
32,15,0,9,1
32,14,0,10,1
32,2,1,9,3
32,1,1,9,1
32,3,1,11,3
32,4,1,10,1
32,2,0,8,1
32,7,1,9,3
32,1,2,7,2
32,4,2,4,0
32,3,0,6,1
32,7,0,6,2
32,7,0,6,0
32,2,1,7,3
32,4,1,6,2
32,8,1,5,0
32,8,1,5,0
32,4,1,6,1
32,13,1,5,1
32,13,1,5,0
32,12,1,6,1
32,9,0,5,0
32,8,0,6,1
32,9,0,5,0
32,7,0,6,4
32,6,0,7,1
32,7,0,6,1
32,18,0,5,2
32,19,0,4,0
32,18,0,5,1
32,3,0,6,3
32,2,2,7,3
32,3,2,6,0
32,6,1,4,1
32,6,1,4,0
32,6,0,4,0
32,14,0,3,0
32,4,0,6,3
32,5,8,5,10
32,4,8,6,1
32,5,8,5,0
32,6,8,5,2
32,6,25,5,18
32,7,24,4,0
32,0,25,4,3
32,0,25,4,0
32,0,24,4,1
32,0,23,4,0
32,0,24,4,2
32,0,26,4,2
32,0,24,4,1
32,0,27,4,3
32,0,28,4,2
32,0,30,4,4
32,0,30,4,1
32,0,31,4,1
32,0,29,4,1
32,0,31,4,3
32,0,32,4,1
32,0,32,4,1
32,0,42,4,12
32,0,41,4,0
32,0,42,4,1
32,0,40,4,0
32,0,38,4,0
32,0,38,4,0
32,0,37,4,0
32,0,35,4,0
32,0,27,11,0
32,0,27,11,0
32,0,22,11,0
32,0,19,11,0
32,0,18,10,0
32,0,17,10,0
32,0,15,10,0
32,0,14,10,0
32,0,14,10,0
32,1,12,9,0
32,2,11,8,0
32,2,11,8,0
32,3,10,7,0
32,3,9,7,0
32,3,8,7,0
32,7,7,4,0
32,7,7,4,0
32,7,6,4,0
32,0,3,4,0
32,0,3,4,0
32,0,3,4,0
32,0,1,4,0
32,8,0,3,0
32,8,0,3,0
32,24,0,1,0
32,24,0,1,0
32,32,0,0,0
