name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.16517
vit-large@imagenet-split-1-1,0.12247
vit-large@Bingsu#Cat_and_Dog-2,0.29366
vit-large@food101-3,0.13296
vit-large@imagenet-split-0-4,0.11525
vit-large@Bingsu#Cat_and_Dog-5,0.32914
vit-large@imagenet-split-2-6,0.10504
vit-large@imagenet-split-1-7,0.14022
vit-large@imagenet-split-1-8,0.10982
vit-large@imagenet-split-2-9,0.1027
vit-large@mnist-10,0.16066
vit-large@mnist-11,0.16066
vit-large@imagenet-split-0-12,0.1463
vit-large@frgfm#imagenette-13,0.14034
vit-large@frgfm#imagenette-14,0.11986
vit-large@frgfm#imagenette-15,0.1375
vit-large@Bingsu#Cat_and_Dog-16,0.35092
vit-large@mnist-17,0.15383
vit-large@fashion_mnist-18,0.15383
vit-large@food101-19,0.13662
vit-large@food101-20,0.1075
vit-large@fashion_mnist-21,0.12104
vit-large@imagenet-split-2-22,0.11095
vit-large@food101-23,0.10734
vit-large@mnist-24,0.13857
vit-large@frgfm#imagenette-25,0.11179
vit-large@imagenet-split-0-26,0.14181
vit-large@cifar100-27,0.13423
vit-large@imagenet-split-1-28,0.11926
vit-large@cifar100-29,0.11314
vit-large@imagenet-split-1-30,0.10483
vit-large@cifar100-31,0.1112
vit-large@cifar100-32,0.12002
vit-large@mnist-33,0.11195
vit-large@mnist-34,0.10201
vit-large@imagenet-split-0-35,0.1463
vit-large@Bingsu#Cat_and_Dog-36,0.30737
vit-large@cifar100-37,0.10343
vit-large@Bingsu#Cat_and_Dog-38,0.21221
vit-large@imagenet-split-1-39,0.12452
vit-large@imagenet-split-0-40,0.1104
vit-large@imagenet-split-1-41,0.15607
vit-large@Bingsu#Cat_and_Dog-42,0.21463
vit-large@Bingsu#Cat_and_Dog-43,0.41301
vit-large@cifar100-44,0.11901
vit-large@imagenet-split-2-45,0.1372
vit-large@cifar100-46,0.10943
vit-large@Bingsu#Cat_and_Dog-47,0.25898
vit-large@frgfm#imagenette-48,0.16931
vit-large@frgfm#imagenette-49,0.14295
vit-large@food101-50,0.13273
vit-large@frgfm#imagenette-51,0.12312
vit-large@frgfm#imagenette-52,0.12312
vit-large@frgfm#imagenette-53,0.12312
vit-large@frgfm#imagenette-54,0.12312
vit-large@frgfm#imagenette-55,0.12312
vit-large@frgfm#imagenette-56,0.12291
vit-large@Bingsu#Cat_and_Dog-57,0.23479
vit-large@imagenet-split-0-58,0.11918
vit-large@Bingsu#Cat_and_Dog-59,0.34124
vit-large@frgfm#imagenette-60,0.14186
vit-large@frgfm#imagenette-61,0.11789
vit-large@Bingsu#Cat_and_Dog-62,0.35737
vit-large@food101-63,0.10716
vit-large@food101-64,0.10712
vit-large@food101-65,0.10712
vit-large@frgfm#imagenette-66,0.21118
vit-large@frgfm#imagenette-67,0.19
vit-large@frgfm#imagenette-68,0.1268
vit-large@Bingsu#Cat_and_Dog-69,0.20979
vit-large@frgfm#imagenette-70,0.11049
vit-large@frgfm#imagenette-71,0.17193
vit-large@frgfm#imagenette-72,0.16779
vit-large@Bingsu#Cat_and_Dog-73,0.36382
vit-large@imagenet-split-2-74,0.136
vit-large@Bingsu#Cat_and_Dog-75,0.36463
vit-large@imagenet-split-1-76,0.16077
vit-large@Bingsu#Cat_and_Dog-77,0.25979
vit-large@fashion_mnist-78,0.10964
vit-large@frgfm#imagenette-79,0.11659
vit-large@fashion_mnist-80,0.10708
vit-large@imagenet-split-2-81,0.10742
vit-large@Bingsu#Cat_and_Dog-82,0.33801
vit-large@food101-83,0.10357
vit-large@cifar100-84,0.10268
vit-large@food101-85,0.14105
vit-large@cifar100-86,0.10578
vit-large@frgfm#imagenette-87,0.11986
vit-large@imagenet-split-0-88,0.15054
vit-large@imagenet-split-1-89,0.16033
vit-large@fashion_mnist-90,0.13469
vit-large@Bingsu#Cat_and_Dog-91,0.32269
vit-large@Bingsu#Cat_and_Dog-92,0.32027
vit-large@frgfm#imagenette-93,0.1155
vit-large@fashion_mnist-94,0.12893
vit-large@frgfm#imagenette-95,0.17084
vit-large@frgfm#imagenette-96,0.168
vit-large@frgfm#imagenette-97,0.16321
vit-large@cifar100-98,0.1183
vit-large@food101-99,0.96128
vit-large@frgfm#imagenette-100,0.13554
vit-large@Bingsu#Cat_and_Dog-101,0.29527
vit-large@Bingsu#Cat_and_Dog-102,0.27672
vit-large@food101-103,0.92968
vit-large@Bingsu#Cat_and_Dog-104,0.3364
vit-large@Bingsu#Cat_and_Dog-105,0.23801
vit-large@cifar100-106,0.13223
vit-large@cifar100-107,0.13223
vit-large@cifar100-108,0.13223
