full_resource,free_resource,pending_num,running_num,submit_num
48,48,0,0,0
48,43,0,2,2
48,42,0,3,1
48,34,0,4,2
48,40,0,1,0
48,38,0,3,2
48,30,0,4,2
48,23,0,4,1
48,11,0,7,4
48,7,0,8,2
48,15,0,7,0
48,3,0,9,3
48,6,0,9,2
48,5,0,10,1
48,5,0,10,2
48,16,0,9,2
48,38,0,2,0
48,16,0,6,5
48,7,0,8,2
48,24,0,5,0
48,31,0,5,1
48,25,0,8,3
48,31,0,6,2
48,31,0,7,2
48,25,0,10,3
48,1,1,16,8
48,0,3,16,6
48,1,0,20,9
48,0,7,21,12
48,3,0,21,1
48,1,0,24,8
48,15,0,19,4
48,0,4,27,14
48,8,0,27,2
48,13,0,16,2
48,7,0,14,5
48,2,4,16,10
48,2,4,14,4
48,0,2,14,3
48,11,1,14,2
48,12,0,11,1
48,7,1,18,9
48,14,3,14,4
48,3,3,12,4
48,8,7,9,4
48,8,6,12,5
48,9,5,11,1
48,4,2,12,3
48,2,0,13,4
48,7,0,12,2
48,21,0,9,1
48,5,0,12,5
48,2,0,13,4
48,18,0,11,0
48,26,0,11,4
48,29,0,9,1
48,36,0,9,2
48,29,0,9,1
48,27,0,11,6
48,35,0,10,1
48,39,0,6,1
48,29,0,6,3
48,19,0,9,4
48,17,0,10,3
48,0,3,8,7
48,0,16,8,13
48,0,12,11,3
48,0,11,11,2
48,0,12,10,4
48,0,10,10,1
48,0,8,11,2
48,0,12,6,4
48,0,38,12,32
48,0,37,11,3
48,0,37,11,2
48,0,35,12,4
48,0,89,11,57
48,0,90,11,5
48,0,97,11,9
48,0,93,12,3
48,2,93,10,2
48,0,93,6,3
48,0,95,6,4
48,0,100,6,8
48,0,100,6,3
48,0,107,6,10
48,0,108,6,5
48,0,108,11,6
48,0,114,5,5
48,0,119,5,5
48,0,119,6,4
48,0,120,6,4
48,0,121,6,3
48,0,121,6,2
48,0,169,6,50
48,0,169,6,3
48,0,171,6,5
48,0,168,6,0
48,0,166,6,0
48,0,163,6,0
48,0,160,6,0
48,0,158,6,0
48,0,157,6,0
48,0,155,6,0
48,0,153,6,0
48,0,148,6,0
48,0,147,6,0
48,0,142,6,0
48,0,140,6,0
48,0,137,6,0
48,0,137,6,0
48,0,129,11,0
48,0,124,11,0
48,0,120,11,0
48,0,118,11,0
48,0,121,6,0
48,0,113,11,0
48,0,111,11,0
48,0,108,11,0
48,0,100,16,0
48,0,96,16,0
48,8,97,9,0
48,0,92,9,0
48,0,80,16,0
48,0,75,16,0
48,0,69,17,0
48,0,64,16,0
48,8,60,12,0
48,8,55,11,0
48,0,52,11,0
48,1,48,10,0
48,1,46,10,0
48,5,45,7,0
48,5,42,7,0
48,0,41,6,0
48,0,38,6,0
48,0,36,6,0
48,0,34,6,0
48,0,30,6,0
48,0,28,6,0
48,0,24,6,0
48,0,22,6,0
48,0,19,6,0
48,0,15,6,0
48,0,15,6,0
48,0,13,6,0
48,0,11,6,0
48,0,9,6,0
48,0,4,6,0
48,6,2,6,0
48,30,0,3,0
48,30,0,3,0
48,48,0,0,0
