full_resource,free_resource,pending_num,running_num,submit_num
64,64,0,0,0
64,59,0,2,2
64,57,0,4,2
64,55,0,5,3
64,62,0,1,0
64,60,0,3,2
64,52,0,4,2
64,51,0,4,1
64,36,0,9,6
64,32,0,10,2
64,41,0,8,0
64,23,0,10,4
64,26,0,10,2
64,17,0,12,2
64,17,0,12,2
64,14,0,13,4
64,50,0,3,0
64,16,0,8,5
64,14,0,10,3
64,23,0,8,1
64,31,0,7,2
64,14,0,11,5
64,16,0,10,3
64,19,0,12,4
64,5,0,16,6
64,2,5,18,10
64,4,11,16,10
64,0,12,21,11
64,0,18,23,14
64,0,9,23,1
64,0,11,25,9
64,5,3,29,4
64,4,2,39,20
64,8,1,31,4
64,12,0,21,4
64,5,0,23,6
64,0,5,23,15
64,3,1,24,4
64,8,3,20,4
64,7,0,16,2
64,23,0,13,1
64,7,0,21,10
64,14,2,16,5
64,9,2,14,4
64,6,1,15,6
64,1,1,20,8
64,15,0,15,1
64,12,0,14,4
64,29,0,14,4
64,24,0,15,4
64,18,0,14,3
64,11,0,16,8
64,7,0,19,6
64,26,0,14,0
64,45,0,11,4
64,45,0,11,2
64,52,0,11,3
64,30,0,11,2
64,18,0,14,8
64,26,0,13,1
64,49,0,6,1
64,48,0,6,4
64,36,0,10,6
64,21,0,11,4
64,0,3,11,8
64,0,17,11,14
64,0,11,16,3
64,8,18,10,5
64,0,16,12,4
64,0,15,12,4
64,0,13,13,2
64,0,6,20,5
64,0,43,20,43
64,8,47,12,3
64,0,42,14,3
64,0,44,14,5
64,2,115,12,75
64,0,117,13,6
64,0,119,14,9
64,0,118,14,4
64,0,121,8,5
64,0,122,8,4
64,0,121,8,4
64,0,129,8,9
64,0,128,8,5
64,0,140,8,14
64,0,138,14,8
64,8,142,9,6
64,0,144,10,5
64,0,149,10,7
64,0,157,9,9
64,0,159,7,4
64,0,160,8,4
64,0,159,8,3
64,0,227,8,70
64,0,227,8,5
64,0,230,8,5
64,0,224,8,0
64,0,222,8,0
64,0,218,8,0
64,0,214,8,0
64,0,212,8,0
64,0,209,8,0
64,0,207,8,0
64,0,202,8,0
64,0,199,8,0
64,0,194,8,0
64,0,190,8,0
64,0,189,8,0
64,0,184,8,0
64,0,181,8,0
64,0,176,8,0
64,0,173,8,0
64,0,170,8,0
64,0,167,8,0
64,0,158,14,0
64,0,154,14,0
64,0,151,14,0
64,0,148,14,0
64,0,140,17,0
64,0,139,17,0
64,4,134,14,0
64,4,131,14,0
64,0,122,16,0
64,0,119,15,0
64,0,101,25,0
64,8,99,19,0
64,0,88,22,0
64,8,86,16,0
64,0,77,18,0
64,0,77,18,0
64,5,74,13,0
64,8,75,11,0
64,3,69,10,0
64,5,68,9,0
64,0,63,8,0
64,0,62,8,0
64,0,58,8,0
64,0,56,8,0
64,0,51,8,0
64,0,47,8,0
64,0,42,8,0
64,0,39,8,0
64,0,34,8,0
64,0,31,8,0
64,0,29,8,0
64,0,26,8,0
64,0,23,8,0
64,0,19,8,0
64,0,14,8,0
64,0,9,8,0
64,0,8,8,0
64,2,2,9,0
64,6,1,8,0
64,30,0,5,0
64,32,0,4,0
64,48,0,2,0
64,52,0,1,0
64,64,0,0,0
