name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,75,187.39900946617126,232.39900946617126,1,9170,2
roberta-base@sst2-1,92,28,257.39900946617126,349.39900946617126,1,168380,32
roberta-base@rte-2,766,74,193.39900946617126,959.3990094661713,1,4984.0,1
roberta-base@snli-3,786,54,3030.389104127884,3816.389104127884,11,1373440,1
roberta-base@qnli-4,1280,40,363.39900946617126,1643.3990094661713,1,261860,32
roberta-base@qqp-5,1987,53,2193.9900946617126,4180.990094661713,10,909620.0,32
roberta-base@sst2-6,2229,51,405.79801893234253,2634.7980189323425,2,168380,1
roberta-base@qnli-7,2634,6,454.79801893234253,3088.7980189323425,2,261860,12
roberta-base@qnli-8,2660,100,568.7980189323425,3228.7980189323425,2,261860,8
roberta-base@qnli-9,3002,118,692.1970283985138,3694.197028398514,3,261860,12
roberta-base@sst2-10,3002,118,469.79801893234253,3471.7980189323425,2,168380,12
roberta-base@sst2-11,3014,106,457.79801893234253,3471.7980189323425,2,168380,12
roberta-base@mrpc-12,3459,21,133.39900946617126,3592.3990094661713,1,9170,2
roberta-base@wnli-13,3853,107,169.39900946617126,4022.3990094661713,1,159.0,1
roberta-base@rte-14,4072,8,127.39900946617126,4199.399009466171,1,4984.0,1
roberta-base@qnli-15,4853,67,494.79801893234253,5347.7980189323425,2,261860,12
roberta-base@mnli-16,4906,14,1232.3940567970276,6138.394056797028,6,883584.0,1
roberta-base@qqp-17,4906,14,1887.7930662631989,6793.793066263199,7,909620.0,12
roberta-base@sst2-18,5098,62,409.79801893234253,5507.7980189323425,2,168380,8
roberta-base@qqp-19,6003,117,2752.3841514587402,8755.38415145874,16,909620.0,4
roberta-base@mnli-20,6111,9,1060.596037864685,7171.596037864685,4,883584.0,32
roberta-base@sst2-21,6467,13,360.79801893234253,6827.7980189323425,2,168380,8
roberta-base@qnli-22,7246,74,761.5960378646851,8007.596037864685,4,261860,4
roberta-base@sst2-23,7246,74,551.1970283985138,7797.197028398514,3,168380,1
roberta-base@sst2-24,7328,112,822.3940567970276,8150.394056797028,6,168380,4
roberta-base@qnli-25,7430,10,810.9950473308563,8240.995047330856,5,261860,1
roberta-base@sst2-26,7490,70,619.7980189323425,8109.7980189323425,2,168380,4
roberta-base@sst2-27,7516,44,510.79801893234253,8026.7980189323425,2,168380,4
roberta-base@sst2-28,7670,10,598.9950473308563,8268.995047330856,5,168380,8
roberta-base@sst2-29,7719,81,669.9950473308563,8388.995047330856,5,168380,8
roberta-base@qnli-30,7774,26,622.1970283985138,8396.197028398514,3,261860,8
roberta-base@rte-31,8067,93,212.39900946617126,8279.399009466171,1,4984.0,1
roberta-base@qnli-32,8264,16,433.79801893234253,8697.798018932343,2,261860,16
roberta-base@sst2-33,8267,13,327.79801893234253,8594.798018932343,2,168380,16
roberta-base@rte-34,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@qnli-35,8718,42,515.1970283985138,9233.197028398514,3,261860,12
roberta-base@qnli-36,8748,12,485.1970283985138,9233.197028398514,3,261860,12
roberta-base@qnli-37,8768,112,586.1970283985138,9354.197028398514,3,261860,12
roberta-base@mrpc-38,9026,94,206.39900946617126,9232.399009466171,1,9170,2
roberta-base@wnli-39,9147,93,155.39900946617126,9302.399009466171,1,159.0,1
roberta-base@mnli-40,9491,109,1067.596037864685,10558.596037864685,4,883584.0,16
