name,finish_time_fairness
roberta-base@mrpc-0,0.36745
roberta-base@sst2-1,0.0731
roberta-base@rte-2,0.43706
roberta-base@snli-3,0.05231
roberta-base@qnli-4,0.02503
roberta-base@qqp-5,0.25438
roberta-base@sst2-6,0.20534
roberta-base@qnli-7,0.08307
roberta-base@qnli-8,0.0687
roberta-base@qnli-9,0.22538
roberta-base@sst2-10,0.23772
roberta-base@sst2-11,0.13001
roberta-base@mrpc-12,0.26157
roberta-base@wnli-13,11.29327
roberta-base@rte-14,0.28791
roberta-base@qnli-15,0.16111
roberta-base@mnli-16,0.12524
roberta-base@qqp-17,0.04921
roberta-base@sst2-18,0.20736
roberta-base@qqp-19,0.22384
roberta-base@mnli-20,0.10778
roberta-base@sst2-21,0.18257
roberta-base@qnli-22,0.1391
roberta-base@sst2-23,0.15653
roberta-base@sst2-24,0.23355
roberta-base@qnli-25,0.14813
roberta-base@sst2-26,0.17602
roberta-base@sst2-27,0.0547
roberta-base@sst2-28,0.17011
roberta-base@sst2-29,0.19027
roberta-base@qnli-30,0.04285
roberta-base@rte-31,0.48
roberta-base@qnli-32,0.02988
roberta-base@sst2-33,0.03511
roberta-base@rte-34,0.35118
roberta-base@qnli-35,0.03548
roberta-base@qnli-36,0.0586
roberta-base@qnli-37,0.04037
roberta-base@mrpc-38,0.4047
roberta-base@wnli-39,10.35993
roberta-base@mnli-40,0.0392
roberta-base@wnli-41,8.29327
roberta-base@mrpc-42,0.34196
roberta-base@mrpc-43,0.34196
roberta-base@rte-44,0.40994
roberta-base@wnli-45,8.2266
roberta-base@wnli-46,8.2266
roberta-base@qnli-47,0.03975
roberta-base@mrpc-48,0.24588
roberta-base@wnli-49,6.0266
roberta-base@rte-50,0.40316
roberta-base@mrpc-51,0.40274
roberta-base@snli-52,0.17009
roberta-base@mnli-53,0.03527
roberta-base@qqp-54,0.1809
roberta-base@mrpc-55,0.68363
roberta-base@rte-56,0.84266
roberta-base@mrpc-57,0.49316
roberta-base@mrpc-58,0.27921
roberta-base@rte-59,0.41446
roberta-base@stsb-60,0.13762
roberta-base@wnli-61,9.95993
roberta-base@stsb-62,0.20266
roberta-base@snli-63,0.18368
roberta-base@wnli-64,10.95993
roberta-base@sst2-65,0.30695
roberta-base@stsb-66,0.17784
roberta-base@rte-67,0.47774
roberta-base@qnli-68,0.1025
roberta-base@wnli-69,4.75993
roberta-base@qqp-70,0.05951
roberta-base@qnli-71,0.05482
roberta-base@qqp-72,0.17965
roberta-base@sst2-73,0.03778
roberta-base@wnli-74,7.29327
roberta-base@qnli-75,0.17706
roberta-base@sst2-76,0.03918
roberta-base@qnli-77,0.23104
roberta-base@rte-78,0.38282
roberta-base@wnli-79,5.89327
roberta-base@mrpc-80,0.27529
roberta-base@wnli-81,4.55993
roberta-base@sst2-82,0.04327
roberta-base@qqp-83,0.04708
roberta-base@stsb-84,0.14898
roberta-base@wnli-85,5.2266
roberta-base@wnli-86,7.69327
roberta-base@sst2-87,0.06299
roberta-base@sst2-88,0.0251
roberta-base@qnli-89,0.21574
roberta-base@qqp-90,0.05706
roberta-base@sst2-91,0.27334
roberta-base@rte-92,0.51616
roberta-base@sst2-93,0.20817
roberta-base@sst2-94,0.20817
roberta-base@sst2-95,0.20817
roberta-base@qnli-96,0.03679
roberta-base@mnli-97,0.04016
roberta-base@sst2-98,0.03586
roberta-base@stsb-99,0.1586
roberta-base@sst2-100,0.28771
roberta-base@qnli-101,0.25188
roberta-base@stsb-102,0.18658
roberta-base@qnli-103,0.06302
roberta-base@qnli-104,0.31192
roberta-base@sst2-105,0.37202
roberta-base@sst2-106,0.36645
roberta-base@sst2-107,0.29521
roberta-base@sst2-108,0.2947
roberta-base@qnli-109,0.2511
roberta-base@sst2-110,0.37151
roberta-base@qnli-111,0.28705
roberta-base@sst2-112,0.38598
roberta-base@sst2-113,0.2947
roberta-base@rte-114,0.42576
roberta-base@qnli-115,0.20161
roberta-base@mrpc-116,0.30863
roberta-base@qnli-117,0.53659
roberta-base@sst2-118,0.55418
roberta-base@qnli-119,0.49752
roberta-base@qnli-120,0.39704
roberta-base@qnli-121,0.54349
roberta-base@qnli-122,0.53763
roberta-base@sst2-123,0.55367
roberta-base@sst2-124,0.55367
roberta-base@qnli-125,0.5373
roberta-base@sst2-126,0.57675
roberta-base@sst2-127,0.55367
roberta-base@sst2-128,0.57675
roberta-base@qnli-129,0.54297
roberta-base@qnli-130,0.38408
roberta-base@qnli-131,0.46287
roberta-base@qnli-132,0.49706
roberta-base@sst2-133,0.55367
roberta-base@qnli-134,0.4757
roberta-base@sst2-135,0.55367
roberta-base@wnli-136,5.75993
roberta-base@wnli-137,4.6266
roberta-base@sst2-138,0.46391
roberta-base@sst2-139,0.49042
roberta-base@qnli-140,0.36825
roberta-base@qnli-141,0.25006
roberta-base@sst2-142,0.26545
roberta-base@qnli-143,0.04242
roberta-base@sst2-144,0.04967
roberta-base@qnli-145,0.033
roberta-base@stsb-146,0.19882
roberta-base@stsb-147,0.128
roberta-base@qnli-148,0.19119
roberta-base@sst2-149,0.29834
roberta-base@sst2-150,0.22254
roberta-base@stsb-151,0.15773
roberta-base@sst2-152,0.06239
roberta-base@qnli-153,0.03369
roberta-base@rte-154,0.48226
roberta-base@rte-155,0.48226
roberta-base@mrpc-156,0.34
roberta-base@wnli-157,7.8266
roberta-base@sst2-158,0.03538
roberta-base@mnli-159,0.04036
roberta-base@qnli-160,0.2567
roberta-base@sst2-161,0.22507
roberta-base@wnli-162,9.69327
roberta-base@sst2-163,0.17346
roberta-base@rte-164,0.31729
roberta-base@sst2-165,0.0341
roberta-base@sst2-166,0.53353
roberta-base@qnli-167,0.36858
roberta-base@sst2-168,0.49366
roberta-base@sst2-169,0.39985
roberta-base@qnli-170,0.33231
roberta-base@sst2-171,0.41432
roberta-base@qnli-172,0.36923
roberta-base@sst2-173,0.39934
roberta-base@qnli-174,0.3452
roberta-base@sst2-175,0.39934
roberta-base@qnli-176,0.34676
roberta-base@sst2-177,0.39934
roberta-base@sst2-178,0.41381
roberta-base@qnli-179,0.27428
