name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,150,216.39900946617126,186.39900946617126,1,9170,1
roberta-base@sst2-1,92,103,169.39900946617126,233.39900946617126,1,168380,4
roberta-base@rte-2,766,148,216.39900946617126,908.3990094661713,1,4984.0,1
roberta-base@snli-3,786,128,196.39900946617126,928.3990094661713,1,1373440,2
roberta-base@qnli-4,1280,40,363.39900946617126,1643.3990094661713,1,261860,32
roberta-base@qqp-5,1987,53,1944.7930662631989,3931.793066263199,7,909620.0,32
roberta-base@sst2-6,2229,51,280.39900946617126,2509.3990094661713,1,168380,32
roberta-base@qnli-7,2634,6,577.5960378646851,3211.596037864685,4,261860,1
roberta-base@qnli-8,2660,100,684.5960378646851,3344.596037864685,4,261860,1
roberta-base@qnli-9,3002,236,585.1970283985138,3469.197028398514,3,261860,8
roberta-base@sst2-10,3002,236,585.1970283985138,3469.197028398514,3,168380,8
roberta-base@sst2-11,3014,106,585.5960378646851,3599.596037864685,4,168380,2
roberta-base@mrpc-12,3459,21,133.39900946617126,3592.3990094661713,1,9170,2
roberta-base@wnli-13,3853,107,168.39900946617126,4021.3990094661713,1,159.0,8
roberta-base@rte-14,4072,8,88.39900946617126,4160.399009466171,1,4984.0,8
roberta-base@qnli-15,4853,134,556.1970283985138,5342.197028398514,3,261860,8
roberta-base@mnli-16,4906,14,1107.9950473308563,6013.995047330856,5,883584.0,1
roberta-base@qqp-17,4906,81,503.1970283985138,5395.197028398514,3,909620.0,2
roberta-base@sst2-18,5098,62,416.79801893234253,5514.7980189323425,2,168380,1
roberta-base@qqp-19,6003,234,1190.9950473308563,7076.995047330856,5,909620.0,8
roberta-base@mnli-20,6111,126,1082.9950473308563,7184.995047330856,5,883584.0,8
roberta-base@sst2-21,6467,13,248.39900946617126,6715.399009466171,1,168380,20
roberta-base@qnli-22,7246,148,544.1970283985138,7716.197028398514,3,261860,4
roberta-base@sst2-23,7246,148,544.1970283985138,7716.197028398514,3,168380,4
roberta-base@sst2-24,7328,224,620.1970283985138,7836.197028398514,3,168380,4
roberta-base@qnli-25,7430,122,518.1970283985138,7938.197028398514,3,261860,4
roberta-base@sst2-26,7490,70,417.79801893234253,7907.7980189323425,2,168380,8
roberta-base@sst2-27,7516,44,371.79801893234253,7887.7980189323425,2,168380,2
roberta-base@sst2-28,7670,10,457.59603786468506,8127.596037864685,4,168380,1
roberta-base@sst2-29,7719,162,622.5960378646851,8260.596037864685,4,168380,4
roberta-base@qnli-30,7774,107,567.5960378646851,8315.596037864685,4,261860,1
roberta-base@rte-31,8067,93,212.39900946617126,8279.399009466171,1,4984.0,1
roberta-base@qnli-32,8264,29,363.1970283985138,8611.197028398514,3,261860,1
roberta-base@sst2-33,8267,26,360.1970283985138,8614.197028398514,3,168380,1
roberta-base@rte-34,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@qnli-35,8718,42,515.1970283985138,9233.197028398514,3,261860,12
roberta-base@qnli-36,8748,12,485.1970283985138,9233.197028398514,3,261860,12
roberta-base@qnli-37,8768,112,586.1970283985138,9354.197028398514,3,261860,12
roberta-base@mrpc-38,9026,94,206.39900946617126,9232.399009466171,1,9170,2
roberta-base@wnli-39,9147,93,155.39900946617126,9302.399009466171,1,159.0,1
roberta-base@mnli-40,9491,109,922.7980189323425,10413.798018932343,2,883584.0,32
roberta-base@wnli-41,9538,124,186.39900946617126,9662.399009466171,1,159.0,1
roberta-base@mrpc-42,9538,123,183.39900946617126,9659.399009466171,1,9170,1
roberta-base@mrpc-43,9538,123,184.39900946617126,9660.399009466171,1,9170,1
roberta-base@rte-44,9538,124,186.39900946617126,9662.399009466171,1,4984.0,1
roberta-base@wnli-45,9539,122,183.39900946617126,9661.399009466171,1,159.0,1
roberta-base@wnli-46,9539,122,182.39900946617126,9660.399009466171,1,159.0,1
roberta-base@qnli-47,9612,121,189.39900946617126,9693.399009466171,1,261860,1
roberta-base@mrpc-48,9707,26,94.39900946617126,9788.399009466171,1,9170,1
roberta-base@wnli-49,10052,28,90.39900946617126,10142.399009466171,1,159.0,1
roberta-base@rte-50,10462,98,178.39900946617126,10640.399009466171,1,4984.0,8
roberta-base@mrpc-51,10587,186,255.39900946617126,10749.399009466171,1,9170,1
roberta-base@snli-52,10617,125,1179.7930662631989,11733.793066263199,7,1373440,8
roberta-base@mnli-53,10618,124,1178.7930662631989,11734.793066263199,7,883584.0,2
roberta-base@qqp-54,10618,155,224.39900946617126,10780.399009466171,1,909620.0,8
roberta-base@mrpc-55,10835,85,197.39900946617126,11032.399009466171,1,9170,2
roberta-base@rte-56,11194,86,205.39900946617126,11399.399009466171,1,4984.0,1
roberta-base@mrpc-57,11370,30,142.39900946617126,11512.399009466171,1,9170,2
roberta-base@mrpc-58,11370,30,142.39900946617126,11512.399009466171,1,9170,2
roberta-base@rte-59,11696,128,204.39900946617126,11836.399009466171,1,4984.0,1
roberta-base@stsb-60,11714,110,186.39900946617126,11854.399009466171,1,12942.0,1
roberta-base@wnli-61,12033,174,234.39900946617126,12180.399009466171,1,159.0,1
roberta-base@stsb-62,12079,41,152.39900946617126,12231.399009466171,1,12942.0,4
roberta-base@snli-63,12082,125,185.39900946617126,12229.399009466171,1,1373440,8
roberta-base@wnli-64,12378,204,264.39900946617126,12540.399009466171,1,159.0,1
roberta-base@sst2-65,12456,126,186.39900946617126,12618.399009466171,1,168380,16
roberta-base@stsb-66,13108,92,203.39900946617126,13311.399009466171,1,12942.0,4
roberta-base@rte-67,13468,184,249.39900946617126,13625.399009466171,1,4984.0,1
roberta-base@qnli-68,13470,182,247.39900946617126,13627.399009466171,1,261860,4
roberta-base@wnli-69,13911,9,70.39900946617126,13981.399009466171,1,159.0,8
roberta-base@qqp-70,14031,9,1923.7930662631989,15954.793066263199,7,909620.0,4
roberta-base@qnli-71,14066,188,544.7980189323425,14516.798018932343,2,261860,1
roberta-base@qqp-72,14109,145,501.79801893234253,14559.798018932343,2,909620.0,8
roberta-base@sst2-73,14275,5,359.79801893234253,14634.798018932343,2,168380,1
roberta-base@wnli-74,14353,47,109.39900946617126,14462.399009466171,1,159.0,1
roberta-base@qnli-75,15165,75,623.5960378646851,15788.596037864685,4,261860,4
roberta-base@sst2-76,15342,18,372.79801893234253,15714.798018932343,2,168380,1
roberta-base@qnli-77,15496,104,552.1970283985138,16048.197028398514,3,261860,32
roberta-base@rte-78,16030,50,130.39900946617126,16160.399009466171,1,4984.0,8
roberta-base@wnli-79,16773,27,88.39900946617126,16861.39900946617,1,159.0,8
roberta-base@mrpc-80,17132,34,94.39900946617126,17198.39900946617,1,9170,1
roberta-base@wnli-81,17154,12,72.39900946617126,17220.39900946617,1,159.0,1
roberta-base@sst2-82,17159,1,479.59603786468506,17638.596037864685,4,168380,1
roberta-base@qqp-83,17263,17,1805.9950473308563,19068.995047330856,5,909620.0,16
roberta-base@stsb-84,17581,59,170.39900946617126,17751.39900946617,1,12942.0,4
roberta-base@wnli-85,17864,16,78.39900946617126,17942.39900946617,1,159.0,1
roberta-base@wnli-86,18187,53,115.39900946617126,18302.39900946617,1,159.0,1
roberta-base@sst2-87,18254,106,335.39900946617126,18589.39900946617,1,168380,32
roberta-base@sst2-88,18835,5,234.39900946617126,19069.39900946617,1,168380,32
roberta-base@qnli-89,19136,128,689.5960378646851,19761.596037864685,4,261860,8
roberta-base@qqp-90,19137,127,688.5960378646851,19762.596037864685,4,909620.0,2
roberta-base@sst2-91,19137,63,528.5960378646851,19665.596037864685,4,168380,8
roberta-base@rte-92,19211,218,292.39900946617126,19394.39900946617,1,4984.0,1
roberta-base@sst2-93,19247,73,420.79801893234253,19667.798018932343,2,168380,8
roberta-base@sst2-94,19247,182,256.39900946617126,19430.39900946617,1,168380,8
roberta-base@sst2-95,19247,73,420.79801893234253,19667.798018932343,2,168380,8
roberta-base@qnli-96,19734,66,529.1970283985138,20263.197028398514,3,261860,8
roberta-base@mnli-97,20006,34,979.5960378646851,20985.596037864685,4,883584.0,32
roberta-base@sst2-98,20140,20,255.39900946617126,20395.39900946617,1,168380,20
roberta-base@stsb-99,21050,70,181.39900946617126,21231.39900946617,1,12942.0,4
roberta-base@sst2-100,21147,186,520.1970283985138,21574.197028398514,3,168380,8
roberta-base@qnli-101,21147,186,520.1970283985138,21574.197028398514,3,261860,8
roberta-base@stsb-102,21258,204,276.39900946617126,21432.39900946617,1,12942.0,1
roberta-base@qnli-103,21333,129,201.39900946617126,21507.39900946617,1,261860,1
roberta-base@qnli-104,21547,106,772.1970283985138,22266.197028398514,3,261860,8
roberta-base@sst2-105,21547,106,772.1970283985138,22266.197028398514,3,168380,8
roberta-base@sst2-106,21547,53,772.9950473308563,22319.995047330856,5,168380,2
roberta-base@sst2-107,21547,53,752.5960378646851,22299.596037864685,4,168380,1
roberta-base@sst2-108,21548,52,771.9950473308563,22319.995047330856,5,168380,2
roberta-base@qnli-109,21548,52,889.3940567970276,22437.394056797028,6,261860,4
roberta-base@sst2-110,21548,52,771.9950473308563,22319.995047330856,5,168380,2
roberta-base@qnli-111,21548,52,879.9950473308563,22427.995047330856,5,261860,8
roberta-base@sst2-112,21548,52,524.7980189323425,22072.798018932343,2,168380,8
roberta-base@sst2-113,21548,52,771.9950473308563,22319.995047330856,5,168380,2
roberta-base@rte-114,21891,69,188.39900946617126,22079.39900946617,1,4984.0,1
