name,finish_time_fairness
roberta-large@mrpc-0,0.23864
roberta-large@qnli-1,0.03166
roberta-large@sst2-2,0.09251
roberta-large@qnli-3,0.15119
roberta-large@qnli-4,0.08862
roberta-large@sst2-5,0.57259
roberta-large@qnli-6,0.17687
roberta-large@mnli-7,0.04957
roberta-large@qqp-8,0.06891
roberta-large@mnli-9,0.06774
roberta-large@qnli-10,0.18155
roberta-large@sst2-11,0.42657
roberta-large@wnli-12,0.74536
roberta-large@rte-13,0.31564
roberta-large@rte-14,0.22211
roberta-large@qnli-15,0.0632
roberta-large@qnli-16,0.05646
roberta-large@rte-17,0.31564
roberta-large@wnli-18,0.83767
roberta-large@mrpc-19,0.2201
roberta-large@wnli-20,0.83254
roberta-large@qnli-21,0.03583
roberta-large@wnli-22,0.66331
roberta-large@mrpc-23,0.27144
roberta-large@sst2-24,0.08287
roberta-large@mnli-25,0.14172
roberta-large@rte-26,0.57139
roberta-large@rte-27,0.26805
roberta-large@stsb-28,0.17507
roberta-large@sst2-29,0.37024
roberta-large@stsb-30,0.22864
roberta-large@rte-31,0.314
roberta-large@sst2-32,0.18596
roberta-large@rte-33,0.1778
roberta-large@qqp-34,0.14357
roberta-large@qqp-35,0.14717
roberta-large@sst2-36,0.04377
roberta-large@rte-37,0.24508
roberta-large@mrpc-38,0.17162
roberta-large@snli-39,0.13547
roberta-large@wnli-40,0.34023
roberta-large@qnli-41,0.2122
roberta-large@qqp-42,0.15666
roberta-large@sst2-43,0.53736
roberta-large@sst2-44,0.61446
roberta-large@qnli-45,0.06831
roberta-large@stsb-46,0.24029
roberta-large@qnli-47,0.20919
roberta-large@sst2-48,0.66895
roberta-large@qnli-49,0.20728
roberta-large@sst2-50,0.66895
roberta-large@mrpc-51,0.23008
roberta-large@qnli-52,0.35202
roberta-large@wnli-53,0.75049
roberta-large@qnli-54,0.44806
roberta-large@sst2-55,0.85402
roberta-large@sst2-56,0.85402
roberta-large@qnli-57,0.48328
roberta-large@sst2-58,0.95938
roberta-large@sst2-59,0.85303
roberta-large@qnli-60,0.54683
roberta-large@sst2-61,0.85303
roberta-large@sst2-62,0.85303
roberta-large@sst2-63,1.07901
roberta-large@sst2-64,0.85303
roberta-large@sst2-65,0.85303
roberta-large@sst2-66,0.73075
roberta-large@sst2-67,0.71879
roberta-large@qnli-68,0.35284
roberta-large@qnli-69,0.30242
roberta-large@qnli-70,0.04945
roberta-large@qnli-71,0.05176
roberta-large@stsb-72,0.16227
roberta-large@sst2-73,0.34162
roberta-large@sst2-74,0.31969
roberta-large@rte-75,0.31729
roberta-large@mrpc-76,0.26573
roberta-large@wnli-77,0.83254
roberta-large@stsb-78,0.18672
roberta-large@qnli-79,0.03972
roberta-large@qnli-80,0.08262
roberta-large@qnli-81,0.2284
roberta-large@wnli-82,0.94536
roberta-large@sst2-83,0.22365
roberta-large@qnli-84,0.05701
roberta-large@sst2-85,0.72477
roberta-large@qnli-86,0.29012
roberta-large@qnli-87,0.3523
roberta-large@sst2-88,0.72377
roberta-large@qnli-89,0.28985
