name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,75,167.34559297561646,212.34559297561646,1,9170,8
roberta-large@qnli-1,1280,40,516.3455929756165,1796.3455929756165,1,235674.0,32
roberta-large@sst2-2,1987,53,281.6911859512329,2268.691185951233,2,84190.0,24
roberta-large@qnli-3,2634,6,816.7279648780823,3450.7279648780823,5,235674.0,1
roberta-large@qnli-4,2660,100,797.3823719024658,3457.382371902466,4,235674.0,12
roberta-large@sst2-5,3002,118,574.3823719024658,3576.382371902466,4,84190.0,1
roberta-large@qnli-6,4853,134,698.3823719024658,5484.382371902466,4,235674.0,8
roberta-large@mnli-7,4906,81,645.3823719024658,5537.382371902466,4,785408.0,2
roberta-large@qqp-8,6003,234,1597.3823719024658,7483.382371902466,4,909620.0,2
roberta-large@mnli-9,6111,126,1489.3823719024658,7591.382371902466,4,785408.0,2
roberta-large@qnli-10,7246,74,773.3823719024658,8019.382371902466,4,235674.0,1
roberta-large@sst2-11,7328,112,301.34559297561646,7629.3455929756165,1,84190.0,24
roberta-large@wnli-12,7516,44,145.34559297561646,7661.3455929756165,1,1590.0,1
roberta-large@rte-13,8067,93,192.34559297561646,8259.345592975616,1,4984.0,4
roberta-large@rte-14,8364,36,135.34559297561646,8499.345592975616,1,4984.0,4
roberta-large@qnli-15,8748,12,568.6911859512329,9316.691185951233,2,235674.0,24
roberta-large@qnli-16,8768,112,920.7279648780823,9688.727964878082,5,235674.0,1
roberta-large@rte-17,9147,93,192.34559297561646,9339.345592975616,1,4984.0,4
roberta-large@wnli-18,9538,124,224.34559297561646,9700.345592975616,1,1590.0,1
roberta-large@mrpc-19,9538,124,224.34559297561646,9700.345592975616,1,9170,1
roberta-large@wnli-20,9539,61,162.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@qnli-21,9612,108,584.3455929756165,10196.345592975616,1,235674.0,32
roberta-large@wnli-22,10052,28,129.34559297561646,10181.345592975616,1,1590.0,1
roberta-large@mrpc-23,10462,98,190.34559297561646,10652.345592975616,1,9170,8
roberta-large@sst2-24,10617,126,359.6911859512329,10913.691185951233,2,84190.0,2
roberta-large@mnli-25,10618,125,358.6911859512329,10914.691185951233,2,785408.0,8
roberta-large@rte-26,11194,86,185.34559297561646,11379.345592975616,1,4984.0,4
roberta-large@rte-27,11696,128,198.34559297561646,11830.345592975616,1,4984.0,1
roberta-large@stsb-28,11714,110,180.34559297561646,11848.345592975616,1,12942.0,1
roberta-large@sst2-29,12456,24,252.6911859512329,12708.691185951233,2,84190.0,24
roberta-large@stsb-30,13108,92,196.34559297561646,13304.345592975616,1,12942.0,8
roberta-large@rte-31,13468,184,240.34559297561646,13616.345592975616,1,4984.0,1
roberta-large@sst2-32,13470,182,238.34559297561646,13618.345592975616,1,84190.0,4
roberta-large@rte-33,13911,9,108.34559297561646,14019.345592975616,1,4984.0,4
roberta-large@qqp-34,14031,9,2029.3823719024658,16060.382371902466,4,909620.0,24
roberta-large@qqp-35,14109,51,2080.382371902466,16189.382371902466,4,909620.0,20
roberta-large@sst2-36,14275,5,244.34559297561646,14519.345592975616,1,84190.0,16
roberta-large@rte-37,16030,50,149.34559297561646,16179.345592975616,1,4984.0,4
roberta-large@mrpc-38,17132,28,120.34559297561646,17252.345592975616,1,9170,8
roberta-large@snli-39,17263,17,1329.691185951233,18592.691185951233,2,824064.0,20
roberta-large@wnli-40,18835,5,66.34559297561646,18901.345592975616,1,1590.0,8
roberta-large@qnli-41,19136,128,890.7279648780823,19962.727964878082,5,235674.0,8
roberta-large@qqp-42,19137,127,889.7279648780823,19963.727964878082,5,909620.0,8
roberta-large@sst2-43,19137,63,420.03677892684937,19557.03677892685,3,84190.0,2
roberta-large@sst2-44,19247,73,514.3823719024658,19761.382371902466,4,84190.0,1
roberta-large@qnli-45,20006,34,510.34559297561646,20516.345592975616,1,235674.0,32
roberta-large@stsb-46,21258,102,206.34559297561646,21464.345592975616,1,12942.0,8
roberta-large@qnli-47,21547,105,287.34559297561646,21781.345592975616,1,235674.0,8
roberta-large@sst2-48,21548,104,286.34559297561646,21782.345592975616,1,84190.0,8
roberta-large@qnli-49,21548,104,286.34559297561646,21782.345592975616,1,235674.0,8
roberta-large@sst2-50,21548,104,286.34559297561646,21782.345592975616,1,84190.0,8
roberta-large@mrpc-51,21891,69,161.34559297561646,22052.345592975616,1,9170,8
