name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,75,292.3224992752075,337.3224992752075,2,85221.0,3
vit@imagenet-split-1-1,92,28,489.16124963760376,581.1612496376038,1,750000,24
vit@frgfm#imagenette-2,491,109,346.3224992752075,837.3224992752075,2,85221.0,12
vit@Bingsu#Cat_and_Dog-3,766,74,164.16124963760376,930.1612496376038,1,63680.0,4
vit@food101-4,786,54,1359.1612496376038,2145.1612496376038,1,757500.0,4
vit@imagenet-split-0-5,1280,40,363.3224992752075,1643.3224992752075,2,250000.0,3
vit@Bingsu#Cat_and_Dog-6,1322,118,208.16124963760376,1530.1612496376038,1,63680.0,4
vit@mnist-7,1576,104,1145.1612496376038,2721.1612496376038,1,600000.0,4
vit@Bingsu#Cat_and_Dog-8,1747,53,143.16124963760376,1890.1612496376038,1,63680.0,4
vit@imagenet-split-2-9,1987,53,1811.3224992752075,3798.3224992752075,2,1000000.0,2
vit@imagenet-split-1-10,2229,51,628.4837489128113,2857.4837489128113,3,750000,1
vit@imagenet-split-2-11,2296,104,1862.3224992752075,4158.3224992752075,2,1000000.0,2
vit@food101-12,2296,104,1409.1612496376038,3705.1612496376038,1,757500.0,4
vit@mnist-13,2374,26,1067.1612496376038,3441.1612496376038,1,600000.0,4
vit@imagenet-split-1-14,2634,6,574.4837489128113,3208.4837489128113,3,750000,1
vit@imagenet-split-2-15,2660,100,1858.3224992752075,4518.3224992752075,2,1000000.0,2
vit@mnist-16,3002,118,1159.1612496376038,4161.161249637604,1,600000.0,4
vit@mnist-17,3002,118,1159.1612496376038,4161.161249637604,1,600000.0,4
vit@imagenet-split-0-18,3014,106,417.3224992752075,3431.3224992752075,2,250000.0,1
vit@imagenet-split-1-19,3350,10,580.644998550415,3930.644998550415,4,750000,4
vit@frgfm#imagenette-20,3459,21,238.32249927520752,3697.3224992752075,2,85221.0,3
vit@frgfm#imagenette-21,3853,107,324.3224992752075,4177.3224992752075,2,85221.0,3
vit@imagenet-split-2-22,3999,81,1839.3224992752075,5838.3224992752075,2,1000000.0,2
vit@frgfm#imagenette-23,4072,8,225.32249927520752,4297.3224992752075,2,85221.0,3
vit@Bingsu#Cat_and_Dog-24,4256,64,154.16124963760376,4410.161249637604,1,63680.0,4
vit@Bingsu#Cat_and_Dog-25,4295,25,115.16124963760376,4410.161249637604,1,63680.0,4
vit@mnist-26,4853,67,1108.1612496376038,5961.161249637604,1,600000.0,4
vit@fashion_mnist-27,4853,67,402.3224992752075,5255.3224992752075,2,600000.0,8
vit@food101-28,4906,14,1319.1612496376038,6225.161249637604,1,757500.0,4
vit@food101-29,4906,14,1319.1612496376038,6225.161249637604,1,757500.0,4
vit@fashion_mnist-30,5098,62,397.3224992752075,5495.3224992752075,2,600000.0,8
vit@fashion_mnist-31,5295,105,460.4837489128113,5755.483748912811,3,600000.0,20
