name,finish_time_fairness
vit@frgfm#imagenette-0,0.04753
vit@imagenet-split-1-1,0.03706
vit@frgfm#imagenette-2,0.05631
vit@Bingsu#Cat_and_Dog-3,0.05842
vit@food101-4,0.06229
vit@imagenet-split-0-5,0.02197
vit@Bingsu#Cat_and_Dog-6,0.07408
vit@mnist-7,0.06627
vit@Bingsu#Cat_and_Dog-8,0.05095
vit@imagenet-split-2-9,0.06287
vit@imagenet-split-1-10,0.07856
vit@imagenet-split-2-11,0.04379
vit@food101-12,0.04374
vit@mnist-13,0.02466
vit@imagenet-split-1-14,0.04352
vit@imagenet-split-2-15,0.0645
vit@mnist-16,0.06708
vit@mnist-17,0.06708
vit@imagenet-split-0-18,0.08658
vit@imagenet-split-1-19,0.04399
vit@frgfm#imagenette-20,0.03875
vit@frgfm#imagenette-21,0.05274
vit@imagenet-split-2-22,0.04325
vit@frgfm#imagenette-23,0.03664
vit@Bingsu#Cat_and_Dog-24,0.05486
vit@Bingsu#Cat_and_Dog-25,0.04098
vit@mnist-26,0.06413
vit@fashion_mnist-27,0.06889
vit@food101-28,0.06099
vit@food101-29,0.04094
vit@fashion_mnist-30,0.06803
vit@fashion_mnist-31,0.07885
vit@Bingsu#Cat_and_Dog-32,0.05166
vit@frgfm#imagenette-33,0.04965
vit@imagenet-split-2-34,0.04974
vit@food101-35,0.04355
vit@food101-36,0.04079
vit@fashion_mnist-37,0.01448
vit@mnist-38,0.0751
vit@frgfm#imagenette-39,0.03729
vit@mnist-40,0.02927
vit@fashion_mnist-41,0.05516
vit@cifar100-42,0.02481
vit@frgfm#imagenette-43,0.03696
vit@Bingsu#Cat_and_Dog-44,0.07266
vit@imagenet-split-0-45,0.08534
vit@cifar100-46,0.06342
vit@imagenet-split-1-47,0.06289
vit@fashion_mnist-48,0.05134
vit@cifar100-49,0.05418
vit@fashion_mnist-50,0.05505
vit@imagenet-split-1-51,0.05971
vit@Bingsu#Cat_and_Dog-52,0.04774
vit@imagenet-split-1-53,0.0679
vit@imagenet-split-2-54,0.06353
vit@cifar100-55,0.06495
vit@mnist-56,0.09359
vit@frgfm#imagenette-57,0.03531
vit@imagenet-split-0-58,0.09198
vit@imagenet-split-2-59,0.06686
vit@frgfm#imagenette-60,0.05225
vit@Bingsu#Cat_and_Dog-61,0.06447
vit@fashion_mnist-62,0.0958
vit@cifar100-63,0.04335
vit@imagenet-split-1-64,0.07737
vit@Bingsu#Cat_and_Dog-65,0.14638
vit@imagenet-split-0-66,0.03202
vit@imagenet-split-1-67,0.07351
vit@fashion_mnist-68,0.05128
vit@imagenet-split-1-69,0.07782
vit@frgfm#imagenette-70,0.05553
vit@imagenet-split-2-71,0.11281
vit@imagenet-split-1-72,0.02556
vit@mnist-73,0.03942
vit@cifar100-74,0.04462
vit@imagenet-split-0-75,0.02784
vit@imagenet-split-1-76,0.02496
vit@Bingsu#Cat_and_Dog-77,0.08339
vit@imagenet-split-1-78,0.02769
vit@fashion_mnist-79,0.19683
vit@Bingsu#Cat_and_Dog-80,0.08552
vit@cifar100-81,0.06238
vit@imagenet-split-2-82,0.06426
vit@cifar100-83,0.03701
vit@Bingsu#Cat_and_Dog-84,0.10439
vit@frgfm#imagenette-85,0.04669
vit@Bingsu#Cat_and_Dog-86,0.10296
vit@Bingsu#Cat_and_Dog-87,0.10261
vit@frgfm#imagenette-88,0.04637
vit@fashion_mnist-89,0.0312
