full_resource,free_resource,pending_num,running_num,submit_num
48,48,0,0,0
48,48,0,0,2
48,24,0,1,0
48,48,0,0,0
48,48,0,0,0
48,48,0,0,1
48,44,0,1,0
48,36,0,1,2
48,40,0,2,0
48,44,0,1,0
48,44,0,1,0
48,44,0,1,1
48,20,0,2,1
48,16,0,3,0
48,41,0,2,1
48,40,0,2,1
48,36,0,3,0
48,40,0,2,1
48,36,0,3,0
48,40,0,2,1
48,16,0,3,3
48,8,0,5,0
48,0,0,5,1
48,0,0,6,1
48,3,0,6,0
48,0,0,5,0
48,0,0,5,3
48,0,0,8,0
48,0,0,7,1
48,1,0,8,1
48,0,0,7,0
48,3,0,7,0
48,10,0,5,0
48,28,0,4,1
48,32,0,4,2
48,29,0,5,0
48,43,0,2,2
48,36,0,3,0
48,36,0,1,0
48,48,0,0,0
48,48,0,0,0
48,48,0,0,4
48,16,0,3,0
48,8,0,3,1
48,0,0,4,0
48,8,0,3,2
48,20,0,4,0
48,32,0,2,0
48,32,0,2,0
48,42,0,2,1
48,40,0,2,0
48,41,0,2,3
48,36,0,3,0
48,32,0,2,0
48,32,0,2,2
48,4,0,4,0
48,4,0,4,0
48,20,0,4,1
48,24,0,4,1
48,21,0,5,2
48,0,0,5,1
48,15,0,6,3
48,1,0,6,3
48,0,0,5,3
48,1,0,6,3
48,0,0,6,2
48,0,0,5,2
48,1,0,7,3
48,0,0,5,6
48,1,0,6,8
48,0,0,8,2
48,0,0,8,1
48,0,0,6,0
48,0,0,4,2
48,3,0,5,4
48,36,0,3,2
48,35,0,4,2
48,20,0,2,2
48,20,0,2,0
48,44,0,1,0
48,44,0,1,14
48,3,1,13,2
48,7,0,10,0
48,36,0,1,1
48,24,0,1,1
48,20,0,2,0
48,42,0,2,2
48,24,0,1,2
48,44,0,1,1
48,44,0,1,10
48,5,0,11,0
48,16,0,8,2
48,0,0,9,2
48,8,0,10,0
48,10,0,10,1
48,12,0,9,2
48,9,0,10,0
48,16,0,8,1
48,12,0,9,2
48,5,0,11,0
48,10,0,10,0
48,32,0,4,8
48,0,0,11,1
48,3,1,9,1
48,0,0,9,3
48,0,0,7,0
48,20,0,3,2
48,8,0,3,2
48,28,0,3,0
48,42,0,2,2
48,20,0,2,2
48,38,0,3,1
48,40,0,2,0
48,48,0,0,4
48,40,0,2,1
48,43,0,2,0
48,44,0,1,1
48,40,0,2,1
48,40,0,2,2
48,32,0,4,2
48,12,0,4,1
48,32,0,4,1
48,9,0,5,1
48,8,0,5,0
48,25,0,5,0
48,36,0,3,1
48,12,0,4,3
48,0,0,6,2
48,0,0,8,2
48,2,0,8,0
48,11,0,4,2
48,0,0,4,0
48,0,0,4,0
48,20,0,4,0
48,44,0,1,3
48,16,0,3,1
48,20,0,2,0
48,24,0,1,1
48,43,0,2,0
48,36,0,1,0
48,48,0,0,2
48,40,0,2,0
48,42,0,2,1
48,24,0,1,4
48,8,0,5,1
48,23,0,6,1
48,36,0,3,0
48,36,0,3,1
48,32,0,4,0
48,33,0,4,1
48,32,0,4,0
48,36,0,3,0
48,36,0,3,2
48,32,0,4,1
48,32,0,4,2
48,28,0,5,2
48,32,0,4,1
48,33,0,4,2
48,28,0,5,0
48,36,0,3,0
48,36,0,3,7
48,0,0,8,13
48,4,4,15,0
48,6,5,14,1
48,8,6,14,0
48,4,4,16,2
48,0,0,15,0
48,2,0,11,1
48,14,0,6,2
48,8,0,5,0
48,32,0,4,3
48,8,0,6,1
48,39,0,3,0
48,41,0,2,2
48,40,0,2,0
48,32,0,2,0
48,32,0,2,1
48,28,0,3,2
48,8,0,3,2
48,0,0,3,0
48,36,0,1,31
48,0,0,25,1
48,0,0,25,1
48,0,0,26,1
48,0,0,26,0
48,9,3,17,2
48,6,2,18,2
48,3,1,20,1
48,6,2,18,1
48,5,2,18,57
48,0,16,46,0
48,0,13,48,4
48,0,16,47,1
48,0,16,48,0
48,0,16,48,5
48,0,18,47,4
48,0,21,47,1
48,0,17,48,2
48,0,10,45,0
48,0,6,48,2
48,0,8,48,0
48,0,6,48,2
48,0,8,48,0
48,0,8,48,2
48,2,10,46,1
48,0,0,37,2
48,0,0,38,4
48,0,0,28,2
48,0,0,26,2
48,0,0,28,2
48,0,0,29,1
48,0,0,24,3
48,0,0,24,4
48,7,4,17,4
48,8,4,15,3
48,0,0,16,1
48,0,0,13,2
48,0,0,9,1
48,0,0,7,6
48,1,0,8,1
48,41,0,4,1
48,41,0,2,4
48,1,0,3,1
48,0,0,2,0
48,21,0,2,4
48,0,0,3,0
48,24,0,1,0
48,44,0,1,4
48,40,0,2,0
48,48,0,0,0
48,48,0,0,3
48,16,0,2,1
48,44,0,1,0
48,48,0,0,1
48,24,0,1,0
48,24,0,1,50
48,0,3,45,1
48,0,1,47,1
48,0,1,48,1
48,0,2,48,4
48,0,4,47,1
48,0,4,48,0
48,0,4,48,0
48,0,0,46,0
48,4,2,37,0
48,2,1,38,0
48,2,1,38,0
48,0,0,39,0
48,0,0,38,0
48,4,2,30,0
48,0,0,30,0
48,3,1,13,0
48,1,0,13,0
48,15,0,4,0
48,37,0,3,0
48,40,0,2,0
48,44,0,1,0
48,36,0,1,0
