name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.03336
vit-large@imagenet-split-1-1,0.01365
vit-large@Bingsu#Cat_and_Dog-2,0.13318
vit-large@food101-3,0.117
vit-large@imagenet-split-0-4,0.05763
vit-large@Bingsu#Cat_and_Dog-5,0.16866
vit-large@imagenet-split-2-6,0.05324
vit-large@imagenet-split-1-7,0.09645
vit-large@imagenet-split-1-8,0.0519
vit-large@imagenet-split-2-9,0.05639
vit-large@mnist-10,0.1562
vit-large@mnist-11,0.14331
vit-large@imagenet-split-0-12,0.12977
vit-large@frgfm#imagenette-13,0.05537
vit-large@frgfm#imagenette-14,0.09704
vit-large@frgfm#imagenette-15,0.07522
vit-large@Bingsu#Cat_and_Dog-16,0.09366
vit-large@mnist-17,0.1514
vit-large@fashion_mnist-18,0.13193
vit-large@food101-19,0.11977
vit-large@food101-20,0.08575
vit-large@fashion_mnist-21,0.13327
vit-large@imagenet-split-2-22,0.0297
vit-large@food101-23,0.02909
vit-large@mnist-24,0.12578
vit-large@frgfm#imagenette-25,0.07566
vit-large@imagenet-split-0-26,0.12528
vit-large@cifar100-27,0.1001
vit-large@imagenet-split-1-28,0.04148
vit-large@cifar100-29,0.05334
vit-large@imagenet-split-1-30,0.04486
vit-large@cifar100-31,0.01715
vit-large@cifar100-32,0.10633
vit-large@mnist-33,0.11078
vit-large@mnist-34,0.031
vit-large@imagenet-split-0-35,0.12977
vit-large@Bingsu#Cat_and_Dog-36,0.14689
vit-large@cifar100-37,0.00675
vit-large@Bingsu#Cat_and_Dog-38,0.15979
vit-large@imagenet-split-1-39,0.02765
vit-large@imagenet-split-0-40,0.01791
vit-large@imagenet-split-1-41,0.02465
vit-large@Bingsu#Cat_and_Dog-42,0.10253
vit-large@Bingsu#Cat_and_Dog-43,0.08398
vit-large@cifar100-44,0.00668
vit-large@imagenet-split-2-45,0.045
vit-large@cifar100-46,0.01909
vit-large@Bingsu#Cat_and_Dog-47,0.14689
vit-large@frgfm#imagenette-48,0.09396
vit-large@frgfm#imagenette-49,0.08282
vit-large@food101-50,0.01378
vit-large@frgfm#imagenette-51,0.03315
vit-large@frgfm#imagenette-52,0.08699
vit-large@frgfm#imagenette-53,0.08699
vit-large@frgfm#imagenette-54,0.07762
vit-large@frgfm#imagenette-55,0.06564
vit-large@frgfm#imagenette-56,0.06408
vit-large@Bingsu#Cat_and_Dog-57,0.12269
vit-large@imagenet-split-0-58,0.00601
vit-large@Bingsu#Cat_and_Dog-59,0.08398
vit-large@frgfm#imagenette-60,0.06866
vit-large@frgfm#imagenette-61,0.09483
vit-large@Bingsu#Cat_and_Dog-62,0.1485
vit-large@food101-63,0.09943
vit-large@food101-64,0.09802
vit-large@food101-65,0.09473
vit-large@frgfm#imagenette-66,0.15163
vit-large@frgfm#imagenette-67,0.15198
vit-large@frgfm#imagenette-68,0.0435
vit-large@Bingsu#Cat_and_Dog-69,0.09769
vit-large@frgfm#imagenette-70,0.08742
vit-large@frgfm#imagenette-71,0.0835
vit-large@frgfm#imagenette-72,0.09243
vit-large@Bingsu#Cat_and_Dog-73,0.08318
vit-large@imagenet-split-2-74,0.00828
vit-large@Bingsu#Cat_and_Dog-75,0.12753
vit-large@imagenet-split-1-76,0.03857
vit-large@Bingsu#Cat_and_Dog-77,0.14769
vit-large@fashion_mnist-78,0.02958
vit-large@frgfm#imagenette-79,0.04447
vit-large@fashion_mnist-80,0.0195
vit-large@imagenet-split-2-81,0.04745
vit-large@Bingsu#Cat_and_Dog-82,0.08076
vit-large@food101-83,0.08656
vit-large@cifar100-84,0.02754
vit-large@food101-85,0.13127
vit-large@cifar100-86,0.02728
vit-large@frgfm#imagenette-87,0.06103
vit-large@imagenet-split-0-88,0.1384
vit-large@imagenet-split-1-89,0.01573
vit-large@fashion_mnist-90,0.13903
vit-large@Bingsu#Cat_and_Dog-91,0.11382
vit-large@Bingsu#Cat_and_Dog-92,0.1114
vit-large@frgfm#imagenette-93,0.07936
vit-large@fashion_mnist-94,0.12591
vit-large@frgfm#imagenette-95,0.08241
vit-large@frgfm#imagenette-96,0.03053
vit-large@frgfm#imagenette-97,0.0521
vit-large@cifar100-98,0.00899
vit-large@food101-99,0.12608
vit-large@frgfm#imagenette-100,0.08633
vit-large@Bingsu#Cat_and_Dog-101,0.0864
vit-large@Bingsu#Cat_and_Dog-102,0.11624
vit-large@food101-103,0.13108
vit-large@Bingsu#Cat_and_Dog-104,0.12753
vit-large@Bingsu#Cat_and_Dog-105,0.07753
vit-large@cifar100-106,0.15426
vit-large@cifar100-107,0.15988
vit-large@cifar100-108,0.16197
vit-large@food101-109,0.03018
vit-large@cifar100-110,0.15972
vit-large@Bingsu#Cat_and_Dog-111,0.1614
vit-large@fashion_mnist-112,0.16578
vit-large@imagenet-split-1-113,0.03077
vit-large@mnist-114,0.16686
vit-large@imagenet-split-1-115,0.19227
vit-large@cifar100-116,0.15906
vit-large@fashion_mnist-117,0.16672
vit-large@frgfm#imagenette-118,0.0582
vit-large@fashion_mnist-119,0.03165
vit-large@food101-120,0.08647
vit-large@frgfm#imagenette-121,0.06912
vit-large@cifar100-122,0.01081
vit-large@fashion_mnist-123,0.02463
vit-large@Bingsu#Cat_and_Dog-124,0.12995
vit-large@fashion_mnist-125,0.0899
vit-large@imagenet-split-1-126,0.10324
vit-large@Bingsu#Cat_and_Dog-127,0.15576
vit-large@imagenet-split-0-128,0.0558
vit-large@mnist-129,0.25775
vit-large@fashion_mnist-130,0.25775
vit-large@imagenet-split-1-131,0.44192
vit-large@mnist-132,0.24215
vit-large@fashion_mnist-133,0.19956
vit-large@cifar100-134,0.4618
vit-large@cifar100-135,0.17822
vit-large@imagenet-split-0-136,0.19675
vit-large@fashion_mnist-137,0.20086
vit-large@imagenet-split-0-138,0.1385
vit-large@imagenet-split-1-139,0.21822
vit-large@cifar100-140,0.17244
vit-large@imagenet-split-0-141,0.1385
vit-large@mnist-142,0.20371
vit-large@fashion_mnist-143,0.27188
vit-large@Bingsu#Cat_and_Dog-144,0.33006
vit-large@cifar100-145,0.25953
vit-large@frgfm#imagenette-146,0.0822
vit-large@mnist-147,0.3374
vit-large@imagenet-split-1-148,0.2943
vit-large@cifar100-149,0.30754
vit-large@imagenet-split-0-150,0.1657
vit-large@fashion_mnist-151,0.3374
vit-large@mnist-152,0.29017
vit-large@imagenet-split-1-153,0.39492
vit-large@fashion_mnist-154,0.25989
vit-large@cifar100-155,0.26139
vit-large@imagenet-split-1-156,0.16547
vit-large@cifar100-157,0.26139
vit-large@imagenet-split-1-158,0.16563
vit-large@mnist-159,0.30543
vit-large@imagenet-split-0-160,0.14933
vit-large@fashion_mnist-161,0.23765
vit-large@mnist-162,0.23765
vit-large@mnist-163,0.25976
vit-large@cifar100-164,0.26139
vit-large@imagenet-split-1-165,0.36321
vit-large@fashion_mnist-166,0.25976
vit-large@cifar100-167,0.26139
vit-large@imagenet-split-1-168,0.16563
vit-large@imagenet-split-1-169,0.18379
vit-large@cifar100-170,0.26139
vit-large@imagenet-split-0-171,0.14933
vit-large@cifar100-172,0.26139
vit-large@imagenet-split-0-173,0.14919
vit-large@Bingsu#Cat_and_Dog-174,0.18006
vit-large@frgfm#imagenette-175,0.04864
vit-large@imagenet-split-1-176,0.03845
vit-large@mnist-177,0.05024
vit-large@frgfm#imagenette-178,0.08176
vit-large@Bingsu#Cat_and_Dog-179,0.20172
vit-large@fashion_mnist-180,0.27781
vit-large@mnist-181,0.27781
vit-large@imagenet-split-0-182,0.18816
vit-large@Bingsu#Cat_and_Dog-183,0.22361
vit-large@imagenet-split-2-184,0.0498
vit-large@imagenet-split-1-185,0.23856
vit-large@imagenet-split-0-186,0.07439
vit-large@fashion_mnist-187,0.15066
vit-large@imagenet-split-1-188,0.03839
vit-large@cifar100-189,0.03655
vit-large@mnist-190,0.02668
vit-large@imagenet-split-1-191,0.14444
vit-large@imagenet-split-1-192,0.03263
vit-large@frgfm#imagenette-193,0.07606
vit-large@frgfm#imagenette-194,0.06256
vit-large@frgfm#imagenette-195,0.05842
vit-large@fashion_mnist-196,0.0773
vit-large@imagenet-split-1-197,0.08876
vit-large@fashion_mnist-198,0.15058
vit-large@frgfm#imagenette-199,0.06583
vit-large@imagenet-split-0-200,0.05371
vit-large@cifar100-201,0.02529
vit-large@cifar100-202,0.1273
vit-large@frgfm#imagenette-203,0.07127
vit-large@Bingsu#Cat_and_Dog-204,0.25264
vit-large@fashion_mnist-205,0.0089
vit-large@Bingsu#Cat_and_Dog-206,0.13479
vit-large@mnist-207,0.0296
vit-large@frgfm#imagenette-208,0.06299
vit-large@fashion_mnist-209,0.01243
vit-large@Bingsu#Cat_and_Dog-210,0.10495
vit-large@imagenet-split-0-211,0.06613
vit-large@food101-212,0.09684
vit-large@imagenet-split-0-213,0.02414
vit-large@imagenet-split-1-214,0.10245
vit-large@Bingsu#Cat_and_Dog-215,0.14043
vit-large@cifar100-216,0.01496
vit-large@Bingsu#Cat_and_Dog-217,0.07511
vit-large@fashion_mnist-218,0.04182
vit-large@mnist-219,0.22149
vit-large@cifar100-220,0.24101
vit-large@fashion_mnist-221,0.23381
vit-large@imagenet-split-1-222,0.25435
vit-large@mnist-223,0.28498
vit-large@fashion_mnist-224,0.30011
vit-large@fashion_mnist-225,0.19883
vit-large@cifar100-226,0.20179
vit-large@cifar100-227,0.2195
vit-large@imagenet-split-1-228,0.17149
vit-large@fashion_mnist-229,0.1987
vit-large@imagenet-split-1-230,0.181
vit-large@imagenet-split-0-231,0.16319
vit-large@fashion_mnist-232,0.26967
vit-large@cifar100-233,0.20163
vit-large@cifar100-234,0.21934
vit-large@imagenet-split-0-235,0.15462
vit-large@cifar100-236,0.20163
vit-large@imagenet-split-1-237,0.30385
vit-large@imagenet-split-2-238,0.06343
vit-large@imagenet-split-1-239,0.30967
