full_resource,free_resource,pending_num,running_num,submit_num
48,48,0,0,0
48,48,0,0,2
48,24,0,1,0
48,48,0,0,0
48,48,0,0,0
48,48,0,0,0
48,48,0,0,0
48,48,0,0,2
48,32,0,2,0
48,36,0,1,0
48,36,0,1,0
48,36,0,1,1
48,24,0,2,1
48,20,0,3,0
48,24,0,2,0
48,24,0,2,0
48,24,0,2,0
48,24,0,2,1
48,0,0,3,0
48,0,0,3,1
48,4,0,3,0
48,4,0,3,0
48,4,0,3,1
48,0,0,4,1
48,0,0,5,0
48,0,0,4,0
48,0,0,4,3
48,0,0,7,0
48,0,0,6,0
48,0,0,5,1
48,0,0,6,0
48,3,0,6,0
48,0,0,4,0
48,2,0,4,1
48,0,0,4,1
48,6,0,4,0
48,0,0,3,1
48,34,0,3,0
48,48,0,0,0
48,48,0,0,0
48,48,0,0,0
48,48,0,0,4
48,0,0,4,0
48,0,0,4,1
48,0,0,5,0
48,0,0,5,0
48,0,0,5,0
48,0,0,5,0
48,0,0,5,0
48,0,0,5,0
48,4,0,4,0
48,21,0,3,2
48,12,0,3,0
48,4,0,3,0
48,4,0,3,1
48,4,0,4,0
48,4,0,4,0
48,4,0,4,0
48,4,0,4,0
48,6,0,4,0
48,0,0,3,1
48,4,0,4,2
48,6,0,6,2
48,4,0,6,2
48,0,0,5,1
48,0,0,5,2
48,0,0,7,1
48,0,0,7,1
48,2,0,7,2
48,1,0,5,3
48,0,0,6,1
48,0,0,7,0
48,2,0,6,0
48,2,0,4,2
48,0,0,4,2
48,8,0,2,1
48,20,0,2,1
48,12,0,2,1
48,0,0,3,0
48,34,0,2,0
48,36,0,1,8
48,1,0,6,2
48,0,0,6,0
48,40,0,3,0
48,48,0,0,1
48,36,0,1,0
48,36,0,1,0
48,36,0,1,0
48,48,0,0,1
48,36,0,1,4
48,4,0,5,0
48,10,0,4,1
48,0,0,4,0
48,0,0,4,0
48,10,0,4,1
48,0,0,4,2
48,4,0,5,0
48,10,0,4,0
48,12,0,3,2
48,4,0,5,0
48,4,0,5,0
48,8,0,5,3
48,0,0,5,0
48,0,0,4,0
48,10,0,4,2
48,4,0,4,0
48,12,0,3,0
48,12,0,3,0
48,12,0,3,0
48,12,0,3,0
48,12,0,3,1
48,8,0,4,1
48,4,0,4,0
48,4,0,4,2
48,4,0,5,1
48,9,0,4,0
48,0,0,2,1
48,12,0,3,1
48,4,0,3,2
48,6,0,5,1
48,0,0,5,1
48,0,0,6,0
48,0,0,6,0
48,0,0,5,0
48,0,0,5,0
48,0,0,4,0
48,5,0,4,0
48,24,0,2,1
48,12,0,3,1
48,4,0,4,0
48,4,0,4,1
48,0,0,5,0
48,0,0,5,0
48,4,0,4,0
48,4,0,4,2
48,4,0,6,0
48,0,0,3,0
48,0,0,3,0
48,20,0,3,0
48,24,0,2,0
48,24,0,2,1
48,24,0,2,0
48,35,0,2,1
48,14,0,2,4
48,0,0,4,1
48,4,0,4,0
48,2,0,3,0
48,4,0,2,1
48,0,0,3,0
48,0,0,3,1
48,22,0,4,0
48,36,0,1,0
48,36,0,1,1
48,32,0,2,1
48,24,0,2,1
48,20,0,3,0
48,24,0,2,0
48,24,0,2,1
48,20,0,3,0
48,24,0,2,0
48,24,0,2,5
48,0,0,6,7
48,0,0,12,0
48,0,0,11,1
48,0,0,12,0
48,0,0,12,1
48,0,0,12,0
48,1,0,12,1
48,0,0,12,2
48,0,0,9,0
48,0,0,8,1
48,1,0,8,0
48,0,0,4,0
48,0,0,4,0
48,0,0,4,0
48,0,0,3,0
48,0,0,3,1
48,0,0,3,2
48,12,0,2,2
48,0,0,4,0
48,0,0,3,15
48,9,5,12,0
48,9,5,12,0
48,5,3,12,1
48,2,1,14,0
48,6,3,12,0
48,4,2,13,1
48,4,2,12,1
48,0,0,15,0
48,3,1,12,27
48,0,0,32,0
48,0,0,30,2
48,0,0,31,0
48,0,0,29,0
48,0,0,26,4
48,0,0,28,3
48,0,0,29,0
48,2,1,26,1
48,0,0,26,0
48,12,4,19,2
48,12,4,17,0
48,12,4,17,1
48,6,2,20,0
48,6,2,20,1
48,15,5,12,0
48,7,2,12,2
48,0,0,11,3
48,0,0,12,0
48,1,0,11,1
48,0,0,11,1
48,0,0,11,1
48,0,0,10,0
48,2,0,7,2
48,0,0,4,1
48,0,0,4,1
48,0,0,3,1
48,4,0,4,2
48,0,0,4,1
48,0,0,5,3
48,0,0,7,1
48,2,0,6,1
48,0,0,6,2
48,0,0,7,1
48,4,0,3,0
48,4,0,2,1
48,0,0,3,0
48,0,0,3,0
48,16,0,3,3
48,4,0,4,0
48,0,0,3,0
48,0,0,3,2
48,3,0,4,0
48,32,0,2,0
48,36,0,1,1
48,4,0,2,0
48,4,0,2,19
48,11,8,12,0
48,11,7,12,0
48,11,5,13,1
48,7,4,15,1
48,10,6,14,0
48,10,6,14,0
48,10,6,14,0
48,10,6,14,0
48,9,4,15,0
48,13,5,12,0
48,2,2,11,0
48,0,0,10,0
48,0,0,7,0
48,0,0,6,0
48,3,0,5,0
48,0,0,4,0
48,8,0,2,0
48,47,0,1,0
