name,finish_time_fairness
roberta-base@mrpc-0,0.27725
roberta-base@qnli-1,0.02583
roberta-base@wnli-2,8.95993
roberta-base@snli-3,0.00724
roberta-base@qnli-4,0.02503
roberta-base@wnli-5,12.0266
roberta-base@qqp-6,0.04804
roberta-base@qnli-7,0.1219
roberta-base@qnli-8,0.08332
roberta-base@mnli-9,0.04731
roberta-base@qnli-10,0.10628
roberta-base@sst2-11,0.16516
roberta-base@sst2-12,0.13086
roberta-base@wnli-13,5.55993
roberta-base@rte-14,0.4235
roberta-base@rte-15,0.19977
roberta-base@wnli-16,5.75993
roberta-base@qnli-17,0.09097
roberta-base@qnli-18,0.09097
roberta-base@mnli-19,0.02839
roberta-base@mnli-20,0.01026
roberta-base@qnli-21,0.12549
roberta-base@qqp-22,0.02805
roberta-base@mnli-23,0.03951
roberta-base@qnli-24,0.10953
roberta-base@wnli-25,4.75993
roberta-base@qnli-26,0.08588
roberta-base@sst2-27,0.13353
roberta-base@sst2-28,0.1717
roberta-base@sst2-29,0.14273
roberta-base@qnli-30,0.09618
roberta-base@sst2-31,0.0564
roberta-base@qnli-32,0.10959
roberta-base@qnli-33,0.08267
roberta-base@sst2-34,0.04847
roberta-base@sst2-35,0.15381
roberta-base@stsb-36,0.17696
roberta-base@sst2-37,0.02232
roberta-base@rte-38,0.47096
roberta-base@sst2-39,0.12643
roberta-base@qnli-40,0.03286
roberta-base@qnli-41,0.03066
roberta-base@rte-42,0.35118
roberta-base@stsb-43,0.1009
roberta-base@qnli-44,0.01394
roberta-base@qqp-45,0.03617
roberta-base@qnli-46,0.03063
roberta-base@stsb-47,0.17696
roberta-base@wnli-48,10.4266
roberta-base@wnli-49,10.29327
roberta-base@snli-50,0.00955
roberta-base@wnli-51,8.29327
roberta-base@mrpc-52,0.24196
roberta-base@mrpc-53,0.24
roberta-base@stsb-54,0.10876
roberta-base@rte-55,0.4009
roberta-base@wnli-56,8.15993
roberta-base@wnli-57,8.2266
roberta-base@qnli-58,0.00857
roberta-base@mrpc-59,0.24392
roberta-base@wnli-60,5.95993
roberta-base@rte-61,0.40316
roberta-base@wnli-62,10.2266
roberta-base@snli-63,0.02157
roberta-base@mnli-64,0.04587
roberta-base@snli-65,0.00265
roberta-base@rte-66,0.83856
roberta-base@rte-67,0.84266
roberta-base@mrpc-68,0.50355
roberta-base@rte-69,0.32859
roberta-base@rte-70,0.31729
roberta-base@stsb-71,0.12275
roberta-base@rte-72,0.35118
roberta-base@stsb-73,0.13325
roberta-base@snli-74,0.00837
roberta-base@wnli-75,10.8266
roberta-base@sst2-76,0.13408
roberta-base@stsb-77,0.17784
roberta-base@qnli-78,0.03019
roberta-base@rte-79,0.3557
roberta-base@qnli-80,0.02875
roberta-base@qqp-81,0.04869
roberta-base@wnli-82,4.75993
roberta-base@qqp-83,0.04965
roberta-base@sst2-84,0.04714
roberta-base@qqp-85,0.0358
roberta-base@sst2-86,0.04847
roberta-base@rte-87,0.37604
roberta-base@qnli-88,0.21815
roberta-base@sst2-89,0.05468
roberta-base@qnli-90,0.18468
roberta-base@rte-91,0.24271
roberta-base@wnli-92,7.15993
roberta-base@stsb-93,0.121
roberta-base@sst2-94,0.11658
roberta-base@wnli-95,6.75993
roberta-base@mrpc-96,0.19882
roberta-base@wnli-97,4.4266
roberta-base@sst2-98,0.01247
roberta-base@qqp-99,0.14741
roberta-base@wnli-100,8.09327
roberta-base@mrpc-101,0.25176
roberta-base@wnli-102,7.69327
roberta-base@snli-103,0.18033
roberta-base@stsb-104,0.15598
roberta-base@rte-105,0.28113
roberta-base@qnli-106,0.17087
roberta-base@qnli-107,0.28633
roberta-base@qnli-108,0.25429
roberta-base@qqp-109,0.02292
roberta-base@sst2-110,0.26555
roberta-base@stsb-111,0.17958
roberta-base@sst2-112,0.20817
roberta-base@sst2-113,0.20817
roberta-base@sst2-114,0.20817
roberta-base@qnli-115,0.06688
roberta-base@qnli-116,0.21366
roberta-base@sst2-117,0.20767
roberta-base@wnli-118,6.4266
roberta-base@sst2-119,0.03164
roberta-base@mnli-120,0.03649
roberta-base@wnli-121,11.55993
roberta-base@sst2-122,0.01857
roberta-base@sst2-123,0.02917
roberta-base@rte-124,0.42802
roberta-base@sst2-125,0.19977
roberta-base@sst2-126,0.22882
roberta-base@stsb-127,0.15598
roberta-base@qnli-128,0.01229
roberta-base@qnli-129,0.24895
roberta-base@qnli-130,0.28868
roberta-base@sst2-131,0.38689
roberta-base@sst2-132,0.45227
roberta-base@sst2-133,0.26606
roberta-base@sst2-134,0.26555
roberta-base@qnli-135,0.26888
roberta-base@sst2-136,0.38598
roberta-base@sst2-137,0.37151
roberta-base@sst2-138,0.38031
roberta-base@qnli-139,0.26888
roberta-base@qnli-140,0.3383
roberta-base@qnli-141,0.28008
roberta-base@qnli-142,0.26888
roberta-base@qnli-143,0.28008
roberta-base@rte-144,0.42576
roberta-base@qnli-145,0.20291
roberta-base@mrpc-146,0.30863
roberta-base@qnli-147,0.24915
roberta-base@sst2-148,0.3872
roberta-base@qnli-149,0.46333
roberta-base@qnli-150,0.45695
roberta-base@sst2-151,0.55418
roberta-base@sst2-152,0.55418
roberta-base@qnli-153,0.3844
roberta-base@sst2-154,0.55418
roberta-base@sst2-155,0.55367
roberta-base@sst2-156,0.57644
roberta-base@qnli-157,0.47759
roberta-base@sst2-158,0.57675
roberta-base@sst2-159,0.57675
roberta-base@sst2-160,0.55367
roberta-base@qnli-161,0.47759
roberta-base@qnli-162,0.51666
