full_resource,free_resource,pending_num,running_num,submit_num
64,64,0,0,0
64,64,0,0,2
64,32,0,1,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,2
64,32,0,1,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,1
64,32,0,1,1
64,31,0,2,0
64,32,0,1,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,1
64,32,0,1,0
64,32,0,1,1
64,0,0,2,0
64,0,0,2,0
64,0,0,2,1
64,0,0,2,1
64,0,0,3,0
64,0,0,3,0
64,0,0,3,3
64,0,0,4,0
64,0,0,4,0
64,11,0,3,1
64,11,0,3,0
64,0,0,2,0
64,57,0,2,0
64,63,0,1,1
64,56,0,1,1
64,56,0,1,0
64,64,0,0,1
64,56,0,1,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,4
64,0,0,2,0
64,0,0,2,1
64,32,0,1,0
64,32,0,1,0
64,32,0,1,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,2
64,32,0,1,0
64,0,0,1,0
64,0,0,1,1
64,0,0,2,0
64,0,0,2,0
64,0,0,2,0
64,36,0,1,0
64,62,0,1,0
64,64,0,0,1
64,56,0,1,2
64,32,0,1,2
64,0,0,3,2
64,3,0,4,1
64,3,0,5,2
64,2,0,5,1
64,1,0,6,1
64,0,0,5,2
64,42,0,4,3
64,4,0,3,1
64,11,0,3,0
64,31,0,2,0
64,56,0,1,2
64,32,0,1,2
64,32,0,1,1
64,12,0,2,1
64,15,0,2,1
64,56,0,1,0
64,64,0,0,0
64,64,0,0,8
64,59,0,4,2
64,62,0,1,0
64,64,0,0,0
64,64,0,0,1
64,56,0,1,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,1
64,56,0,1,4
64,0,0,2,0
64,0,0,1,1
64,3,0,2,0
64,0,0,1,0
64,0,0,1,1
64,3,0,2,2
64,3,0,2,0
64,28,0,1,0
64,61,0,1,2
64,59,0,2,0
64,64,0,0,0
64,64,0,0,3
64,24,0,2,0
64,64,0,0,0
64,64,0,0,2
64,32,0,1,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,1
64,60,0,1,1
64,32,0,1,0
64,32,0,1,2
64,0,0,2,1
64,32,0,1,0
64,32,0,1,1
64,31,0,2,1
64,0,0,2,2
64,0,0,3,1
64,0,0,4,1
64,3,0,5,0
64,0,0,3,0
64,11,0,3,0
64,0,0,2,0
64,0,0,2,0
64,0,0,2,0
64,0,0,2,1
64,0,0,3,1
64,0,0,4,0
64,0,0,3,1
64,0,0,4,0
64,11,0,4,0
64,29,0,3,0
64,56,0,1,2
64,56,0,1,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,0
64,64,0,0,1
64,60,0,1,0
64,64,0,0,1
64,32,0,1,4
64,0,0,3,1
64,32,0,1,0
64,32,0,1,0
64,32,0,1,1
64,31,0,2,0
64,32,0,1,1
64,30,0,2,0
64,32,0,1,0
64,32,0,1,1
64,31,0,2,1
64,0,0,2,1
64,8,0,3,0
64,0,0,2,0
64,0,0,2,1
64,11,0,3,0
64,30,0,2,0
64,32,0,1,5
64,0,0,4,7
64,0,0,10,0
64,0,0,9,1
64,0,0,10,0
64,0,0,4,1
64,2,0,5,0
64,11,0,3,1
64,0,0,2,2
64,0,0,3,0
64,0,0,2,1
64,0,0,3,0
64,0,0,3,0
64,0,0,2,0
64,0,0,2,0
64,20,0,2,0
64,32,0,1,1
64,31,0,2,2
64,0,0,3,2
64,0,0,4,0
64,24,0,3,15
64,0,0,14,0
64,0,0,14,0
64,0,0,14,1
64,0,0,15,0
64,2,1,11,0
64,1,0,12,1
64,1,0,9,1
64,29,0,3,0
64,31,0,2,27
64,0,0,27,0
64,0,0,27,2
64,0,0,28,0
64,0,0,26,0
64,0,0,26,4
64,0,0,28,3
64,0,0,29,0
64,0,0,27,1
64,0,0,28,0
64,6,1,20,2
64,0,0,13,0
64,3,1,12,1
64,0,0,5,0
64,12,0,2,1
64,20,0,2,0
64,31,0,2,2
64,32,0,1,3
64,0,0,3,0
64,7,0,3,1
64,27,0,3,1
64,55,0,2,1
64,60,0,1,0
64,64,0,0,2
64,0,0,2,1
64,0,0,3,1
64,0,0,4,1
64,0,0,4,2
64,0,0,3,1
64,3,0,4,3
64,17,0,4,1
64,32,0,1,1
64,31,0,2,2
64,28,0,2,1
64,32,0,1,0
64,32,0,1,1
64,32,0,1,0
64,32,0,1,0
64,32,0,1,3
64,7,0,3,0
64,0,0,2,0
64,20,0,2,2
64,54,0,3,0
64,64,0,0,0
64,64,0,0,1
64,32,0,1,0
64,32,0,1,19
64,0,0,18,0
64,0,0,18,0
64,0,0,18,1
64,2,1,18,1
64,4,2,18,0
64,1,0,20,0
64,2,0,15,0
64,15,1,10,0
64,0,0,3,0
64,0,0,2,0
64,20,0,2,0
64,32,0,1,0
64,32,0,1,0
