name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,75,292.3224992752075,337.3224992752075,2,85221.0,3
vit@imagenet-split-1-1,92,28,489.16124963760376,581.1612496376038,1,750000,24
vit@frgfm#imagenette-2,491,109,346.3224992752075,837.3224992752075,2,85221.0,12
vit@Bingsu#Cat_and_Dog-3,510,90,180.16124963760376,690.1612496376038,1,63680.0,4
vit@Bingsu#Cat_and_Dog-4,766,74,164.16124963760376,930.1612496376038,1,63680.0,4
vit@Bingsu#Cat_and_Dog-5,782,58,148.16124963760376,930.1612496376038,1,63680.0,4
vit@food101-6,786,54,1359.1612496376038,2145.1612496376038,1,757500.0,4
vit@imagenet-split-0-7,1280,40,363.3224992752075,1643.3224992752075,2,250000.0,3
vit@Bingsu#Cat_and_Dog-8,1322,118,208.16124963760376,1530.1612496376038,1,63680.0,4
vit@mnist-9,1576,104,1145.1612496376038,2721.1612496376038,1,600000.0,4
vit@Bingsu#Cat_and_Dog-10,1747,53,143.16124963760376,1890.1612496376038,1,63680.0,4
vit@imagenet-split-2-11,1987,53,1811.3224992752075,3798.3224992752075,2,1000000.0,2
vit@frgfm#imagenette-12,2174,106,323.3224992752075,2497.3224992752075,2,85221.0,3
vit@imagenet-split-2-13,2217,63,1821.3224992752075,4038.3224992752075,2,1000000.0,2
vit@imagenet-split-1-14,2229,51,635.4837489128113,2864.4837489128113,3,750000,1
vit@imagenet-split-2-15,2296,104,1862.3224992752075,4158.3224992752075,2,1000000.0,2
vit@food101-16,2296,104,1409.1612496376038,3705.1612496376038,1,757500.0,4
vit@mnist-17,2374,26,1067.1612496376038,3441.1612496376038,1,600000.0,4
vit@imagenet-split-1-18,2634,6,590.4837489128113,3224.4837489128113,3,750000,1
vit@imagenet-split-0-19,2660,100,411.3224992752075,3071.3224992752075,2,250000.0,1
vit@mnist-20,3002,118,1159.1612496376038,4161.161249637604,1,600000.0,4
vit@mnist-21,3002,118,1159.1612496376038,4161.161249637604,1,600000.0,4
vit@mnist-22,3002,118,1159.1612496376038,4161.161249637604,1,600000.0,4
vit@imagenet-split-0-23,3014,106,429.3224992752075,3443.3224992752075,2,250000.0,3
vit@imagenet-split-1-24,3350,10,471.16124963760376,3821.1612496376038,1,750000,24
vit@frgfm#imagenette-25,3459,21,238.32249927520752,3697.3224992752075,2,85221.0,3
vit@mnist-26,3831,9,1050.1612496376038,4881.161249637604,1,600000.0,4
vit@frgfm#imagenette-27,3853,107,324.3224992752075,4177.3224992752075,2,85221.0,3
vit@imagenet-split-2-28,3999,81,1839.3224992752075,5838.3224992752075,2,1000000.0,2
vit@frgfm#imagenette-29,4072,8,225.32249927520752,4297.3224992752075,2,85221.0,3
vit@Bingsu#Cat_and_Dog-30,4256,64,154.16124963760376,4410.161249637604,1,63680.0,4
vit@Bingsu#Cat_and_Dog-31,4295,25,115.16124963760376,4410.161249637604,1,63680.0,4
