full_resource,free_resource,pending_num,running_num,submit_num
64,64,0,0,0
64,64,0,0,2
64,36,0,2,0
64,37,0,2,0
64,40,0,1,0
64,40,0,1,2
64,56,0,2,0
64,52,0,1,3
64,52,0,3,0
64,60,0,1,0
64,60,0,1,0
64,60,0,1,1
64,36,0,2,1
64,32,0,3,0
64,57,0,2,1
64,56,0,2,1
64,52,0,3,0
64,56,0,2,1
64,52,0,3,0
64,56,0,2,3
64,24,0,5,3
64,13,0,8,0
64,16,0,7,1
64,0,0,8,1
64,3,0,8,0
64,4,0,7,0
64,19,0,7,4
64,7,0,10,0
64,8,0,9,1
64,5,0,10,1
64,8,0,9,0
64,9,0,9,0
64,18,0,7,1
64,40,0,6,1
64,38,0,7,2
64,35,0,8,0
64,53,0,3,2
64,48,0,4,1
64,32,0,3,1
64,28,0,4,0
64,49,0,4,0
64,52,0,3,4
64,20,0,6,0
64,20,0,6,1
64,12,0,7,0
64,20,0,6,3
64,4,0,9,0
64,17,0,7,1
64,32,0,7,0
64,42,0,6,1
64,44,0,5,1
64,25,0,5,3
64,16,0,7,2
64,37,0,7,0
64,44,0,5,3
64,12,0,8,0
64,13,0,8,0
64,32,0,7,2
64,12,0,8,2
64,5,0,10,5
64,2,1,13,1
64,2,1,13,5
64,4,2,16,3
64,0,0,17,4
64,2,1,14,5
64,5,2,16,3
64,5,2,16,4
64,9,4,17,3
64,8,4,17,6
64,14,7,18,10
64,2,1,30,2
64,2,1,30,1
64,9,3,25,0
64,15,5,18,2
64,9,3,19,5
64,10,5,22,2
64,8,4,24,2
64,6,2,23,2
64,3,1,20,0
64,0,0,12,0
64,0,0,10,20
64,14,7,18,2
64,12,6,20,2
64,0,0,16,1
64,12,0,8,3
64,12,0,8,0
64,39,0,7,3
64,19,0,7,2
64,20,0,6,1
64,20,0,6,14
64,11,4,16,1
64,6,2,16,2
64,6,2,16,2
64,6,2,16,0
64,3,1,16,1
64,0,0,16,3
64,0,0,17,0
64,25,0,10,1
64,28,0,9,2
64,21,0,11,0
64,26,0,10,0
64,33,0,8,8
64,0,0,15,1
64,2,0,11,2
64,0,0,11,4
64,0,0,13,0
64,2,0,8,2
64,0,0,8,2
64,3,0,9,0
64,24,0,5,2
64,0,0,7,4
64,0,0,10,1
64,3,0,9,2
64,0,0,6,5
64,1,0,11,1
64,3,0,10,0
64,22,0,6,1
64,44,0,5,1
64,44,0,5,3
64,12,0,8,2
64,0,0,9,1
64,5,0,10,2
64,10,0,10,2
64,0,0,9,0
64,1,0,9,1
64,24,0,6,2
64,20,0,6,5
64,0,0,10,3
64,1,0,13,3
64,2,1,12,0
64,1,0,8,3
64,2,0,9,0
64,1,0,7,0
64,0,0,5,0
64,54,0,4,3
64,24,0,5,1
64,8,0,4,0
64,35,0,3,2
64,51,0,4,0
64,48,0,2,0
64,60,0,1,3
64,48,0,4,0
64,54,0,3,2
64,12,0,3,4
64,0,0,6,1
64,3,0,7,3
64,27,0,5,0
64,29,0,4,1
64,28,0,4,0
64,29,0,4,1
64,52,0,3,0
64,56,0,2,1
64,52,0,3,2
64,48,0,4,1
64,48,0,4,3
64,36,0,7,3
64,40,0,6,2
64,37,0,7,2
64,32,0,8,0
64,40,0,6,0
64,40,0,6,8
64,0,0,14,14
64,8,4,24,0
64,7,3,25,1
64,8,3,24,0
64,15,5,19,2
64,12,4,21,1
64,9,3,22,3
64,9,3,19,2
64,6,2,19,0
64,0,0,15,3
64,0,0,13,4
64,1,0,14,0
64,3,1,10,2
64,7,0,10,0
64,20,0,8,0
64,40,0,6,1
64,38,0,7,3
64,0,0,8,2
64,0,0,9,1
64,0,0,9,41
64,0,0,46,1
64,0,0,47,1
64,0,0,48,1
64,0,0,49,0
64,4,2,35,3
64,0,0,40,3
64,0,0,41,1
64,0,0,40,1
64,0,0,40,75
64,0,49,64,0
64,0,42,64,5
64,0,47,64,1
64,0,40,64,0
64,0,38,64,5
64,0,41,64,4
64,0,45,64,1
64,0,46,64,3
64,0,32,64,2
64,0,29,64,2
64,0,26,64,1
64,0,24,64,3
64,0,19,64,0
64,0,19,64,2
64,0,19,64,1
64,0,5,64,2
64,0,7,64,5
64,0,9,64,2
64,0,5,64,3
64,0,8,64,3
64,0,1,64,1
64,0,1,64,4
64,0,3,64,4
64,0,5,64,7
64,0,9,64,4
64,0,5,64,3
64,0,6,64,2
64,0,7,64,1
64,0,7,64,6
64,0,6,64,1
64,0,4,64,1
64,0,0,57,6
64,0,0,56,1
64,2,1,53,2
64,10,5,37,7
64,0,0,46,0
64,4,2,39,0
64,0,0,33,4
64,3,1,31,0
64,18,6,23,1
64,21,7,20,3
64,12,4,24,1
64,18,6,21,1
64,12,4,22,1
64,4,1,18,0
64,0,0,16,70
64,0,22,64,1
64,0,23,64,2
64,0,25,64,2
64,0,26,64,4
64,0,26,64,1
64,0,25,64,0
64,0,25,64,0
64,0,21,64,0
64,0,3,64,0
64,0,2,64,0
64,0,1,64,0
64,2,1,62,0
64,4,2,59,0
64,4,2,59,0
64,4,2,58,0
64,2,1,41,0
64,0,0,41,0
64,4,2,28,0
64,6,2,26,0
64,9,3,24,0
64,15,5,21,0
64,15,5,20,0
64,6,3,17,0
64,3,1,8,0
64,11,0,6,0
64,54,0,3,0
64,56,0,2,0
64,56,0,2,0
64,60,0,1,0
64,60,0,1,0
64,60,0,1,0
64,60,0,1,0
